security_code,security_name,worth_from,worth_to,rule,reason
002223,鱼跃医疗,2011,9999,锚3,品牌+渠道+品类矩阵2005-11扩张中毛利反升(27.7→35.5%);2018 X1属周期低谷误杀,2020呼吸制氧爆发验证机制未破,裁决不退
002270,华明装备,2021,9999,规则12,有载分接开关国内份额约七成全球第二,剥离数控后主业纯化(2020完成),牌照级客户认证壁垒
002273,水晶光电,2023,9999,规则12,薄膜光学面板全球第一+潜望微棱镜独供落地(2023机型公开),光学冷加工工艺壁垒
002352,顺丰控股,2017,9999,§5.4.1-4,借壳上市(2017),时效件直营网络+自有航空机队资本复制门槛极高(沿用Aug-9判定)
002379,宏桥控股,2024,9999,规则12,电解铝产能指标封顶+全球最大单一铝企注入完成(2024),港股母体19年记录核验业务连续性
002409,雅克科技,2022,9999,锚12,半导体前驱体全球第二(海力士核心供应)+LNG保温绝热板国产独家,材料平台成形
002463,沪电股份,2024,9999,锚6,AI高多层PCB双寡头格局+英伟达链认证(2024),2024ROE24.2%兑现;此前中游同质化判定维持
002484,江海股份,2025,9999,规则12,铝电解电容国内第一,AI服务器电源电容放量(2025中报)+超容薄膜三线布局
002532,天山铝业,2022,9999,锚12,电解铝产能指标+自备电+氧化铝一体化,产能红线下指标稀缺(沿用Aug-9判定)
002594,比亚迪,2021,9999,规则3.1,刀片电池(2020-03发布)+DM-i(2021-01上市)+垂直一体化,成本与技术双优势;规模周转型不以毛利否决(锚点)
002595,豪迈科技,2015,9999,规则12,轮胎模具全球份额约三成第一(2014-15公开),毛利33%+ROE约20%穿越2012-14弱周期,品类垄断豁免
002648,卫星化学,2022,9999,锚6,连云港乙烷裂解双线投产(2021-22),乙烷进口设施+长约构成结构性成本位,轻烃路线全球前四分位
002683,广东宏大,2023,9999,规则12,民爆产能许可证稀缺+矿服一体化前二格局,行业整合者地位(2023并表扩张)
002837,英维克,2024,9999,判例8,数据中心液冷温控三关已过:量产+头部云厂批量验证+盈利放量(2024年报)
002906,华阳集团,2023,9999,判例8,车载HUD国产份额第一(2022-23公开)+域控座舱放量,定点周期构成切换壁垒
002916,深南电路,2024,9999,锚6,IC载板国产唯二战略稀缺+AI高多层板放量(2024),载板产能爬坡完成
002920,德赛西威,2021,9999,§5.4.1-4,智能座舱域控国产第一,主机厂定点周期长且切换成本高(沿用Aug-9判定)
002938,鹏鼎控股,2024,9999,规则3.1,全球PCB份额第一,可竞争买方型迁移已发生:AI服务器硬板放量(2024年报),ROE十年稳定10-20%
300015,爱尔眼科,2014,9999,§5.4.1-4,分级连锁+医生培养体系跑通(2014异地复制盈利验证),医疗牌照+品牌网络(沿用Aug-9判定)
300124,汇川技术,2011,9999,§5.4.1-4,2010上市即变频伺服国产第一梯队毛利53%,§5.4.1-6次新顺延一年(锚点),技术自研替代外资
300274,阳光电源,2021,9999,锚6,光伏逆变器全球出货第一(2020公开)+储能PCS全球前二,渠道电网理解与全球服务网络构成结构壁垒
300316,晶盛机电,2021,9999,锚6,光伏单晶炉双寡头+半导体长晶设备国产第一验证(2021)+坩埚耗材平台,技术同源扩张
300346,南大光电,2024,9999,判例8,ArF光刻胶国产首家量产验证(2024)+特气前驱体平台,三关已过
300357,我武生物,2018,9999,锚12,粉尘螨滴剂脱敏治疗独家品种,毛利93-96%极窄(判据5①),2018摊薄后ROE回25%+;2025 X1属边界值触发,品类独家未破,裁决不退
300360,炬华科技,2024,9999,锚1,海外AMI智能计量放量ROE20%+高分红,盈利质量显著高于电表同业
300408,三环集团,2015,9999,§5.4.1-4,电子陶瓷材料+工艺自研平台,2013行业下行毛利反升,2014-12上市次新顺延一年
300415,伊之密,2023,9999,锚6,注塑压铸双品类国内前二,超大型一体化压铸机全球领先交付(2023),ROE20%+
300435,中泰股份,2023,9999,规则12,深冷技术板翅式换热器国内第一,氢能氦提纯稀缺工艺延伸
300470,中密控股,2021,9999,规则12,机械密封国产第一毛利57-60%极窄,干气密封核电管线批量验证(2021)国产替代唯一规模玩家
300476,胜宏科技,2024,9999,锚6,AI高阶HDI认证独占进入英伟达链放量(2024),ROE跳上30%档
300604,长川科技,2023,9999,判例8,半导体测试机国产第一全品类,数字测试机大客户验证放量(2023),行业下行年仍盈利
300685,艾德生物,2021,9999,规则12,肿瘤伴随诊断试剂批文矩阵国内第一+独家品种,毛利90%+极窄,注册审批壁垒
300699,光威复材,2018,9999,判例10,军品碳纤维独供定价权,材料端毛利高(沿用Aug-9判定)
300776,帝尔激光,2021,9999,规则12,光伏SE激光设备份额约八成(2021公开)品类独占,BC/TOPCon激光延伸;下游资本开支属性入分层不入名单
300811,铂科新材,2024,9999,规则12,金属软磁粉芯全球第一梯队,芯片电感粉批量进算力链(2024)
300832,新产业,2021,9999,锚6,国产化学发光双雄格局,仪器试剂封闭系统构成转换成本,海外中大型机放量(2021),毛利75-80%窄
300910,瑞丰新材,2022,9999,判例8,润滑油添加剂国产唯一全品类,复合剂大客户验证放量(2022营收三倍),打破四大外资垄断
301498,乖宝宠物,2024,9999,§5.4.1-4,宠物食品国产第一,自主品牌+渠道心智(沿用Aug-9判定)
301589,诺瓦星云,2025,9999,规则12,LED显示控制系统全球份额约七成独占,2024-02上市次新顺延一年
600085,同仁堂,2002,9999,锚3,老字号品牌+配方批文,1996-2002三项同时成立;2007 X1属周期低谷误杀,品牌机制未破,裁决不退(锚点)
600160,巨化股份,2022,9999,判例5,制冷剂配额制成型(2022)且配额第一+低成本+一体化,链主条件齐备(沿用Aug-9判定)
600183,生益科技,2024,9999,锚6,覆铜板全球第二+AI高速CCL认证寡头(2024),高速料等级壁垒兑现
600486,扬农化工,2021,9999,规则12,拟除虫菊酯原药全球份额过半+优嘉葫芦岛基地一体化,品类链主
600563,法拉电子,2021,9999,规则12,薄膜电容全球龙头,新能源车电容第一放量(2021)ROE22%+
600600,青岛啤酒,2009,9999,§5.4.1-4,百年品牌+全国产能渠道,行业CR5格局2009固化(沿用Aug-9判定)
600660,福耀玻璃,2003,9999,§5.4.1-4,汽车玻璃国内份额超六成+浮法一体化,1999-2003ROE连续28%+;2021 X1属周期低谷误杀,全球份额上行机制未破,裁决不退(锚点)
600750,华润江中,2009,9999,锚12,健胃消食片助消化OTC品类份额过半(2009);增长停滞属分层与估值折价事项,规则2不作第一轮排除,品类垄断未破
600900,长江电力,2016,9999,判例1,规则9特例兑现:溪向注入完成(2016)ROE上台阶+承诺分红,规制回报的franchise例外;2010 X1方向可成立以重入收尾(锚点)
600970,中材国际,2023,9999,规则12,全球水泥技术装备工程市占约六成五(2023公开)+运维转型,海外先发独占
600988,赤峰黄金,2023,9999,锚12,海外金矿整合完成(万象/瓦萨)+克金成本下降兑现(2023公开),三要素齐备
600989,宝丰能源,2021,9999,规则12,煤制烯烃吨成本全行业最低+自备煤焦化一体化,内蒙基地扩张(2021),低成本链主
601138,工业富联,2023,9999,规则3.1,可竞争买方型迁移已发生:AI服务器英伟达微软放量(2023),ROE九年稳定15-33%(3.1判例成文)
601899,紫金矿业,2016,9999,锚12,2013-15金铜熊市持续盈利证明低成本曲线+卡莫阿等逆周期并购扩储,三要素2016可判;2009年价格上行期不可分的原判成立
601958,金钼股份,2024,9999,锚12,全球前三钼矿低成本主矿+特钢军工需求结构化(2024),钼价中枢上移兑现
601965,中国汽研,2024,9999,规则12,强制检测认证资质稀缺+智能网联强检标准落地扩容(2024)
603067,振华股份,2022,9999,规则12,铬盐全球份额第一,环保准入壁垒下行业出清完成(2022),链主延伸维K3
603129,春风动力,2022,9999,锚6,全地形车全球前二+中大排量摩托国产第一(2022公开),品牌出海兑现
603156,养元饮品,2018,9999,规则12,核桃乳品类份额约八成+ROE长期27%+,上市即判;增长停滞属分层折价事项(规则2)
603279,景津装备,2021,9999,规则12,压滤机全球份额第一(约四成),新能源过滤延伸放量(2021)ROE上台阶
603501,豪威集团,2021,9999,§5.4.1-4,CIS全球第三,设计与客户资源成型(沿用Aug-9判定)
603508,思维列控,2021,9999,规则3.1,结构性单一买方+LKJ强制安装准入资质(3.1判例成文),换代放量ROE回稳(2021)
603529,爱玛科技,2022,9999,锚6,新国标出清后电动两轮双寡头格局固化(2022),规模渠道品牌三合一ROE31%
603556,海兴电力,2023,9999,锚1,海外配用电收入过半+亚非拉本地化渠道三十年壁垒,盈利质量显著高于同业(2023)
603993,洛阳钼业,2018,9999,锚12,2016收购刚果金TFM后铜钴资源与低成本曲线成型(沿用Aug-9判定)
605305,中际联合,2021,9999,规则12,风电高空安全升降设备全球份额第一,毛利47-57%窄高,品类独占
688008,澜起科技,2020,9999,§5.4.1-4,内存接口芯片全球三强+JEDEC标准参与者(沿用Aug-9判定)
688012,中微公司,2022,9999,锚6,刻蚀设备国产龙头,工艺验证周期长客户切换成本极高(沿用Aug-9判定)
688018,乐鑫科技,2023,9999,规则12,IoT WiFi MCU全球出货第一+开源开发者生态壁垒(2023)
688072,拓荆科技,2023,9999,判例8,薄膜沉积设备国产唯一规模玩家,产线批量验证+盈利兑现(2023)三关已过
688100,威胜信息,2023,9999,规则12,配电物联网通信终端细分第一,数字化放量ROE上行(2023)
688120,华海清科,2023,9999,锚6,CMP设备国产唯一,工艺验证周期长(沿用Aug-9判定)
688122,西部超导,2022,9999,判例10,超导线材与高温合金军品独供,材料端定价权(沿用Aug-9判定)
688188,柏楚电子,2021,9999,§5.4.1-4,激光切割控制系统份额超六成,软硬件一体+工艺库(沿用Aug-9判定)
688190,云路股份,2023,9999,规则12,非晶合金带材全球份额第一(约四成)+纳米晶延伸(2023)
688200,华峰测控,2021,9999,规则12,模拟测试机国产份额第一,毛利80%极窄,STS8300放量(2021)
688208,道通科技,2023,9999,锚6,汽车智能诊断全球前二+北美渠道生态,充电桩投入期结束ROE回稳(2023)
688256,寒武纪,2025,9999,判例8,AI芯片量产+大客户批量验证+盈利转正三关已过(2025)(沿用Aug-9判定)
688300,联瑞新材,2024,9999,规则12,球形硅微粉国内第一,AI基板CCL用low-α粉认证独占级放量(2024)
688301,奕瑞科技,2022,9999,§5.4.1-4,数字化X线探测器国产替代,工艺与客户认证壁垒(沿用Aug-9判定)
688516,奥特维,2022,9999,规则12,光伏串焊机份额约七成(2022公开)+0BB迭代领先,半导体键合延伸;下游资本开支属性入分层
688630,芯碁微装,2024,9999,规则12,PCB直写光刻LDI国产份额第一,载板掩膜版延伸(2024)
688692,达梦数据,2024,9999,锚6,国产数据库信创份额第一,迁移成本极高,上市即判业务史披露充分(沿用Aug-9判定)
688708,佳驰科技,2025,9999,判例10,隐身电磁功能材料军品独供毛利77-82%,2024-12上市次新顺延一年
688775,影石创新,2025,9999,规则12,全景相机全球份额约三分之二+品牌生态,上市即判业务史披露充分(2025)
689009,九号公司,2023,9999,锚6,智能电两轮差异化+割草机器人第二曲线放量(2023),平衡滑板车全球第一的品牌渠道复用
920394,民士达,2023,9999,规则12,芳纶纸国产独家量产(杜邦替代),蜂窝绝缘认证壁垒(2023)
920982,锦波生物,2023,9999,规则12,重组III型人源化胶原蛋白独家械三证,薇旖美放量(2023),品类独家
000022,深赤湾A,2004,2015,规则9,基础设施垄断回报兑现期(2004ROE32%)成立;2015年起回报回落至管制默认水平,改善通道关闭,退出
000513,丽珠集团,0,0,防3,仿制药与原料药中游无持久独占,维持Aug-9判定
000661,长春高新,2015,2024,锚12,金赛生长激素近品类垄断(2015放量);2024集采扩围+长效竞品放量,垄断破,退出(判例12型)
000708,中信特钢,2020,2023,判例4,重组后全球最大专业特钢平台+轴承钢份额独占(2020);2023地产链需求结构性萎缩兑现,退出
000733,振华科技,2021,2024,判例10,军用元器件型号锁定资质壁垒(2021);2024军品集采降价ROE塌,按3.1强制检验买方抽走剩余成立,退出
000885,城发环境,0,0,规则9,高速+垃圾焚烧规制回报,护城河不转化超额,从未够格
000915,华特达因,0,0,判例5型,集团多元结构+伊可新单品依赖,多元化拖累判boundary,从未够格
000963,华东医药,0,0,防3,医药商业为主+工业仿制,无持久独占
002038,双鹭药业,0,0,防3,生物类似药无独占持续性
002041,登海种业,0,0,防3,玉米品种更替期回报归零,审定资格保护资格而非回报
002049,紫光国微,2019,2024,锚12,特种IC军用FPGA近垄断(2019);2024军品降价+竞品(复旦微/成都华微)放量稀释垄断,退出
002287,奇正藏药,2015,9999,锚12,消痛贴膏藏药独家品种毛利85%+,品类独占未破,维持在册(实盘池候选,§5用户裁定)
002304,洋河股份,2009,2025,锚3,双名酒+绵柔品类+渠道深耕(2009);2024-25行业下行中批价份额持续跑输头部,相对竞争力削弱兑现,退出
002410,广联达,2012,2024,§5.4.1-4,造价软件计价规则库事实垄断(2012);2024下游建筑业结构性萎缩+客户付费能力恶化,垄断变现基础受损,退出
002508,老板电器,2014,2022,锚12,高端厨电双寡头(2014);2022地产下行需求结构性萎缩兑现(判例4型),退出
002572,索菲亚,0,0,防3,定制家具加盟模式可复制,欧派更强(判7)
002607,中公教育,2018,2021,§5.4.1-4,公考培训绝对龙头(2018借壳);2021协议班现金流模式崩塌+政策冲击,退出
002677,浙江美大,2018,2023,判例11,集成灶开创者(2018);2023品类被厨电巨头与新品牌复制,份额回报双塌,证伪退出
002812,恩捷股份,2020,2023,判例2,湿法隔膜全球份额过半(2020);2023产能过剩价格战,主链资本复制兑现,退出
002832,比音勒芬,0,0,防2,高端运动服饰细分品牌,赛道拥挤无独占,资本复制测试未过硬证
002912,中新赛克,0,0,防3,网络可视化政府采购竞争充分
300009,安科生物,0,0,判7,生长激素第二梯队,更强同行长春高新已破
300026,红日药业,0,0,防3,血必净单品依赖
300146,汤臣倍健,2013,2019,§5.4.1-4,膳食补充剂药店渠道份额第一(2013);2019线上渠道结构性分流+商誉巨亏兑现,退出(判例12型)
300294,博雅生物,0,0,规则10,浆站牌照真但回报长期10-16%未超额,牌照不转化
300395,菲利华,2020,9999,锚12,石英材料军品+半导体双资质认证周期极长,资质壁垒未破,维持在册(实盘池候选,§5用户裁定)
300406,九强生物,0,0,防3,生化试剂集采环境竞争充分
300482,万孚生物,0,0,防3,POCT竞争充分,新冠达标年属4c
300595,欧普康视,2019,2024,规则12,角膜塑形镜国产独家批文(2019);2024竞品获批放量+离焦镜替代分流,独占性破,退出
300759,康龙化成,2020,9999,§5.4.1-4,CRO国内第二一体化平台份额稳定(§12.35.2三问判定),维持在册(实盘池候选,§5用户裁定)
300775,三角防务,0,0,判7,航空模锻件二供,更强同行中航重机在位,回报达标记录为零
300782,卓胜微,2019,2023,判例8,射频开关LNA国产绝对第一大客户验证(2019);2023国产竞品复制实际发生+价格战,证伪退出(判例11)
600161,天坛生物,0,0,规则10,浆站数第一但吨浆回报长期10-13%未超额,牌照不转化
600188,兖矿能源,2002,2015,锚12,优质煤种穿越1999-2000低迷毛利53%+(2002);2013-15成本位劣化毛利塌至14.5%,低成本证伪,退出;2022重入属4c价格爆发,不予恢复
600252,中恒集团,0,0,防3,血栓通单品依赖+多元投资
600398,海澜之家,0,0,防3,男装加盟类金融模式,回报中枢六年单向下行,无定价权硬证
600507,方大特钢,0,0,防4,普通钢企成本改善无独占(负锚)
600566,济川药业,2015,2020,锚12,蒲地蓝等独家品种+置换后ROE七年26%+(2015);2020医保调整+辅助用药清理打破政策价差,退出
600612,老凤祥,0,0,防3,黄金珠宝料价加工费定价,毛利9%无定价权
600702,舍得酒业,0,0,规则1,名酒品牌真但2013-15与2024-25两次未穿越下行,穿越验证失败
600763,通策医疗,2018,2022,§5.4.1-4,浙江口腔区域网络+医教研体系(2018);2022种植牙集采+省外复制证伪,退出
600779,水井坊,0,0,规则1,高端单品规模小,2003亏损与2013-15塌陷,未穿越验证
600867,通化东宝,0,0,防3,胰岛素单品面临集采,高毛利低回报并存十年
600925,苏能股份,0,0,规则12,煤炭采矿权同构判定不满足链主条件,普通区域煤企
600976,健民集团,0,0,防3,利润主体来自参股公司牛黄价格弹性,母体中成药平庸
601001,晋控煤业,0,0,规则12,动力煤单一业务无一体化链主地位,仅有矿与产能不满足规则12,判据1煤炭同构口径被v6收紧
601318,中国平安,2007,2021,§5.4.2,保险牌照+综合金融代理人渠道优势(2007);2021代理人模式坍塌+资产端减值,渠道护城河破,退出
601857,中国石油,2007,2016,锚12,油气区块行政垄断+2000-07回报兑现(2007);2016回报中枢塌陷,规则10兑现,退出;2021后油价回升属4c不恢复
601877,正泰电器,0,0,防3,低压电器与德力西施耐德竞争充分,招标定价
601888,中国中免,2017,2024,锚12,免税牌照份额九成+日上并购兑现(2017);2024出境游与电商结构性分流,渠道价值破,退出(锚点判例12)
603267,鸿远电子,0,0,判7,军用MLCC二线,更强同行已退出
603338,浙江鼎力,0,0,判例11,高空作业平台国产第一但复制已实际发生(徐工临工星邦进入+价格战)
603392,万泰生物,2021,2024,规则12,国产二价HPV独家品种放量(2021);2024九价扩龄+价格战,独占性破,退出
603486,科沃斯,0,0,判例11,扫地机复制已实际发生(云鲸追觅切入),负判例成文
603606,东方电缆,2020,9999,§5.4.1-4,海缆工厂码头一体化+敷设船+认证三寡头(§12.35.2三问判定),维持在册(实盘池候选,§5用户裁定)
603868,飞科电器,2016,2023,锚12,电动剃须刀份额过半品牌全渠道(2016);2023新品牌切入份额下滑,复制发生,退出
603882,金域医学,0,0,防3,第三方检验规模第一但低壁垒高应收,达标年属新冠4c
603939,益丰药房,0,0,防3,药店连锁门店网络非壁垒,摊薄后回报从未回升
603986,兆易创新,0,0,防3,存储设计周期属性,华邦旺宏竞争无独占,达标年属缺货周期4c
688002,睿创微纳,0,0,防3,红外双寡头但回报未转化(ROE长年8-15%),从严不入
688385,复旦微电,0,0,判7,军用FPGA二供,更强同行紫光国微已退出,达标年属缺货4c
688578,艾力斯,0,0,判例7,三代EGFR三分格局中优秀一员而非品类独家
000157,中联重科,0,0,判7,工程机械竞争充分无独占,与徐工三一同判
600271,航天信息,2009,2020,锚12,金税税控行政独占ROE20%+(2009);2020电子发票改革终结垄断变现,退出
002007,华兰生物,2009,2021,锚12,浆站牌照+采浆规模,2008-16回报兑现ROE20%+(与博雅天坛区别在回报已转化);2021采浆停滞+流感疫苗竞争涌入回报塌,退出
600111,北方稀土,0,0,§12.35.2,配额与定价受管制,发展受限(用户第三问),维持原否
002430,杭氧股份,0,0,防3,空分设备与气体运营强位置未转化超额回报(ROE长年12-15%)
300012,华测检测,0,0,防3,第三方检测网络强位置,公信力资产未达独占,与金域同判
000725,京东方A,2019,9999,规则6,LCD不可逆结构性整合+资本规模壁垒,韩厂退出格局定局(2019),规则6成文判例,维持在册(实盘池候选,§5用户裁定)
300144,宋城演艺,2015,2022,§5.4.1-4,旅游演艺模式+场馆卡位(2015);2022异地复制回报证伪+恢复不及,退出
603806,福斯特,2015,9999,判例2,光伏胶膜环节复制尝试被证伪+至暗期独家盈利,判例2成文,维持在册(实盘池候选,§5用户裁定)
603899,晨光股份,2015,2023,锚3,文具品牌+渠道网络(2015);2023线上分流+传统文具TAM萎缩,低毛利转型,退出
002414,高德红外,2020,2024,判例10,民营导弹总体独家牌照+红外芯片自研(2020);2024军品需求塌回报转负,退出
603160,汇顶科技,2017,2021,判例8,屏下指纹独家量产+大客户验证(2017);2021竞品复制致价格崩,判例11成文证伪,退出
002460,赣锋锂业,2018,2023,锚12,全球锂化合物前三+氢氧化锂龙头(2018);2023锂价崩且成本曲线非最低兑现,三要素破,退出
688981,中芯国际,2021,9999,判例9,先进制程国产唯一战略稀缺,判例9成文,维持在册(实盘池候选,§5用户裁定)
688777,中控技术,2022,9999,锚6,流程工业DCS国产份额第一+替换成本极高(2022),维持在册(实盘池候选,§5用户裁定)
002738,中矿资源,0,0,防5,铯铷垄断真实但体量小,整体回报由锂周期主导(4c),从严不入
688041,海光信息,2023,9999,锚6,国产x86授权独占+CPU/DCU双寡头(2023),维持在册(实盘池候选,§5用户裁定)
688271,联影医疗,2023,9999,锚6,高端医学影像国产第一,整机+核心部件自研(2023),维持在册(实盘池候选,§5用户裁定)
301269,华大九天,0,0,判例8,EDA点工具第一但全流程未突破+盈利微弱,三关未过
688281,华秦科技,2023,9999,判例10,隐身伪装材料军品独供(2023),材料端定价权,维持在册(实盘池候选,§5用户裁定)
300034,钢研高纳,2023,9999,判例10,高温合金军品材料端,判例10成文列举,维持在册(实盘池候选,§5用户裁定)
688563,航材股份,2024,9999,判例10,航发钛合金/橡胶/透明件多品类独供平台(2024),维持在册(实盘池候选,§5用户裁定)
300054,鼎龙股份,2024,9999,判例9,CMP抛光垫国产份额九成独占+显示材料延伸(2024),维持在册(实盘池候选,§5用户裁定)
688235,百济神州,2025,9999,判例8,泽布替尼全球BIC+商业化盈利转正三关已过(2025),维持在册(实盘池候选,§5用户裁定)
000895,双汇发展,2004,9999,锚3,肉制品绝对龙头+屠宰冷链网络,ROE长期25%+穿越周期(时代扫描补漏),维持在册(实盘池候选,§5用户裁定)
002027,分众传媒,2016,9999,锚6,楼宇媒体点位网络垄断(2016借壳),2018-19新潮进攻未撼动(判例11通过),维持在册(实盘池候选,§5用户裁定)
600585,海螺水泥,2003,2021,判例4,成本曲线最低+需求成长期为worth(2003);2021地产下行需求条件失效(锚点出锚),退出
002833,弘亚数控,2017,2024,§5.4.1-4,板式家具设备国产第一ROE28%+穿越(2017);2024家具需求随地产结构性萎缩兑现(判例4型),退出
600519,贵州茅台,2002,9999,锚3,品牌+产区+基酒库存上市即判(锚点),judgment_log 2002判worth理由只引1998-2002读数,v5首屏2004按锚点提前
600276,恒瑞医药,2002,9999,§5.4.1-4,仿创药+注射剂批文壁垒(锚点),2001-03毛利59-67%对同业25%超额35pp+,v5首屏2004按锚点提前
000651,格力电器,2005,9999,§5.4.1-4,空调双寡头+自建渠道体系确立(2005国美冲突自建渠道,锚点),v5首屏2009按锚点提前
600887,伊利股份,2006,9999,锚3,乳业双寡头全国化渠道网络(2006,锚点),2008三聚氰胺属穿越测试非否决,v5首屏2012按锚点提前
