security_code,worth_from,anchor,reason
000708,2020,§5.4.1-4,特殊钢认证与工艺壁垒；2018-2019两年ROE19.3/24.2%对同业10%，营收722亿
000717,0,,钢铁毛利差-13~-27
000729,0,,啤酒毛利高但ROE长期低于同业5-8pp，回报未转化
000733,2022,判例10,军用电子元器件资质；2019-2021三年毛利大幅抬升至同业+25且持续盈利
000736,0,,地产开发
000739,0,,原料药仅近段ROE超额，早中段无
000761,0,,钢铁毛利低于同业且后期连年巨亏
000762,0,,铬铁与盐湖锂资源独占但ROE多年为负，未转化为回报
000786,2017,判例3,石膏板份额过半且下行周期利润创新高；2014-2016三年ROE超额转正
000789,0,,区域水泥毛利接近同业中位，无独占
000799,0,,白酒毛利差+38~+50但ROE差-16~+3，回报未转化
000800,0,,重卡毛利低于同业且ROE波动含负
000807,0,,电解铝毛利持续低于同业
000809,0,,营收0.2-16亿剧烈波动，业务不连续
000822,0,,纯碱毛利与ROE双负
000829,0,,手机分销毛利差-14
000858,2007,锚3,白酒品牌与产区；2006年报毛利52.8%对同业22.7、ROE15.0%，毛利已连续六年高于同业20pp以上
000861,0,,百货柜台出租，商业地产收租无独占，后期ROE转负
000866,0,,数据不全仅五年
000869,2006,锚3,烟台产区与百年品牌；2001-2005五年毛利差+40且ROE超额为正
000876,0,,饲料毛利5-17%持续低于同业
000877,0,,水泥无超额
000885,2020,锚12,高速公路收费为特许经营牌照；2018-2019两年毛利59.6/57.9%对同业33，ROE26.9/21.4%
000893,0,,老挝钾盐仅近段且规模小
000895,2006,§5.4.1-4,肉制品冷链与经销网络规模；2005年报ROE21.9%对同业10.8，2001起连续五年15-22%
000897,0,,地产开发
000906,0,,大宗贸易毛利差-18
000908,0,,借壳且ROE剧烈负值，业务不连续
000910,0,,地板无超额
000911,0,,制糖毛利低于同业且连年亏损
000915,2011,锚12,儿童药品类与品牌；2010年报毛利68.1%对同业27.9、ROE由10.3%升至18.3%，回报开始转化
000917,0,,传媒毛利与ROE双负
000918,0,,地产近段连年亏损
000921,0,,家电毛利17-24%低于同业，ROE波动含巨额负值
000926,0,,房地产开发，后期连年巨亏
000932,0,,钢铁毛利差-14~-25
000937,0,,煤炭中近段无超额
000938,0,,IT分销毛利4-22%且ROE4-12%低于同业
000952,0,,维生素B2读数波动且ROE长期为负差
000957,0,,客车毛利差-13
000963,2010,§5.4.1-4,药品生产与商业渠道；2009年报ROE40.2%对同业15.2，连续三年28%以上且穿越周期
000979,0,,地产近段8年全亏
000983,0,,焦煤超额仅+1~+6，幅度不足
000989,0,,中药毛利高但ROE无超额
000998,0,,种业毛利高于同业但ROE多年个位数含负，回报未转化
000999,2010,锚12,感冒灵OTC品类份额第一；2009年报毛利50.6%对同业28.1、ROE21.3%
001309,0,,存储模组毛利差为负且仅九年读数
001696,0,,摩托车发动机毛利11-19%低于同业
001872,2006,锚12,港口岸线地理独占；2001-2005毛利差+20且ROE超额+14
002001,2012,§5.4.1-4,维生素E/A全球寡头与发酵合成技术；2009-2011三年毛利差转正+15且ROE持续超额
002002,0,,数据不全
002003,0,,服装辅料份额第一但超额仅+8~+13，幅度不足
002008,0,,激光设备毛利仅高于同业8-14pp且ROE0.2-51%不穿越周期
002010,0,,化工与物流混业无持续超额
002011,0,,制冷配件中段为负
002014,0,,软包装毛利17-25%低于同业
002016,0,,房地产小盘，业绩剧烈波动
002019,0,,添加剂与医药读数波动
002020,0,,仿制药ROE超额仅近段
002024,2007,§5.4.1-4,家电连锁网络与规模；2001-2006六年ROE持续高出同业29pp（后被电商瓦解，按不退出口径仍持有）
002027,2018,§5.4.1-4,电梯媒体点位网络；2015-2017三年毛利差+46与ROE差+25双高
002030,0,,诊断试剂毛利高但ROE无超额
002032,2014,锚12,炊具品类第一与SEB技术通道；2011-2013三年ROE超额稳定+7以上
002035,0,,二线厨电，方太老板压制下超额不稳
002038,2011,锚12,复合辅酶等生物制品；2008-2010三年毛利差+45且ROE超额+10
002041,2012,锚12,玉米种子品种权；2009-2011三年毛利差+30以上且ROE超额转正
002043,0,,人造板毛利10-19%持续低于同业
002048,0,,汽车零部件毛利差为负
002049,2021,判例10,特种集成电路军品资质与型号锁定；2019-2020两年毛利52.3/59.5%、ROE17.7/31.9%
002050,2013,§5.4.1-4,制冷元件全球份额第一；2010-2012三年ROE持续超额且24年全盈利
002051,0,,工程承包无超额
002053,0,,风电与盐业ROE 2-29%波动含负
002056,0,,磁材与光伏中段为负
002060,0,,建筑施工毛利8-13%，无定价权
002064,0,,氨纶毛利差为负
002065,0,,系统集成毛利差-11~-13
002075,0,,钢铁毛利低于同业且剧烈波动
002078,0,,造纸毛利13-26%低于同业
002081,0,,装饰工程毛利与同业持平无定价权，超额来自周转
002082,0,,铝加工毛利差为负
002085,0,,铝合金车轮毛利12-28%低于同业
002091,0,,贸易与化工毛利差为负
002092,0,,氯碱毛利波动且后期连年亏损
002096,0,,民爆牌照但超额衰减至近段毛利差+1
002097,0,,工程机械毛利接近同业且ROE含负
002104,0,,智能卡竞争充分，2016年起ROE塌至0-8%
002107,0,,中成药毛利极高但ROE超额不稳且规模仅9亿
002110,0,,钢铁毛利差-15~-24
002116,0,,工程设计无超额
002124,0,,生猪养殖ROE剧烈波动含-116%，无穿越周期证据
002127,0,,品牌授权中段强近段塌
002128,2007,锚12,霍林河褐煤指标稀缺+坑口电厂一体化成本最低；2006年报毛利40.5%对同业30.1、ROE44.3%对同业17.8，已连续三年30%以上
002129,0,,硅片毛利差为负
002130,0,,热缩材料毛利高出同业5-10pp但ROE 0.8-40%剧烈波动
002131,0,,泵与广告混业无超额
002139,0,,智能控制器毛利差为负
002140,0,,化工工程无超额
002147,0,,近段ROE-103且仅2/8盈利
002154,0,,男装毛利高但ROE无超额
002158,0,,螺杆压缩机国产替代，2013-2018 ROE塌至10-12%，不穿越周期
002160,0,,铝箔加工毛利持续低于同业
002164,0,,齿轮箱中段毛利与ROE双负
002170,0,,复合肥毛利持续低于同业
002171,0,,铜加工毛利差-19~-24
002179,2016,判例10,军用连接器资质与型号锁定；2014-2015两年ROE12.5/18.2%、毛利稳定33%对同业28-30
002185,0,,封测毛利低于同业且ROE个位数
002191,0,,烟标牌照但超额仅+5~+12
002195,0,,互联网ROE无超额
002202,0,,风机早段超额为上市初期效应，中近段塌至+2/-0
002203,0,,铜加工毛利差-19~-23
002204,0,,通用设备毛利低于同业且ROE塌至0.2-0.7%
002206,0,,化纤毛利持续低于同业
002208,0,,区域地产
002212,0,,网络安全早中段毛利差-24~-29
002215,0,,农药制剂超额衰减
002217,0,,显示器件后期连年巨亏
002219,0,,医疗近段ROE-21
002233,0,,水泥无超额
002240,0,,锂盐毛利与ROE双负
002245,0,,小型锂电毛利持续低于同业
002249,0,,微电机毛利持续低于同业
002250,0,,专用化学品2016年起ROE塌至0.7-10%，不穿越周期
002251,0,,超市百货后期连年巨亏
002258,0,,农药超额幅度不足
002262,2016,锚12,麻醉与精神药品定点生产牌照为国家严格管制稀缺资质；2013-2015三年ROE超额转正+9
002264,0,,零售毛利差-21
002271,0,,防水材料竞争充分无独占
002287,2015,锚12,消痛贴膏独家藏药品种且原料工艺不可复制；2012-2014三年毛利差+50且ROE超额转正
002292,0,,玩具动漫近段ROE-13
002293,0,,家纺毛利优势来自零售加价而非定价权，ROE长期13-17%未显著超额
002294,2009,锚12,氯吡格雷首仿专利期与医保准入；2008年报毛利50.8%对同业25.3、ROE57.2%，连续三年毛利46%以上
002299,0,,白羽鸡毛利差为负
002305,0,,地产近段仅1/7盈利
002307,0,,公路桥梁施工毛利9-17%低于同业
002309,0,,电缆近段ROE-47
002310,0,,园林工程近段仅1/7盈利
002311,2020,§5.4.1-4,饲料配方研发与服务网络及规模采购；2017-2019三年ROE超额+6以上且20年全盈利穿越猪周期
002314,0,,园区物业无持续超额
002315,0,,B2B平台中段ROE为负差且规模仅15亿
002317,0,,中成药ROE超额小且近段转负
002318,0,,不锈钢管早中段无超额
002320,0,,琼州海峡航线牌照独占但ROE长期个位数，回报未转化
002325,0,,公共建筑装饰后期连年巨亏
002327,0,,家纺品牌壁垒弱，与罗莱同口径
002343,0,,影视毛利与ROE双负
002344,0,,专业市场ROE超额仅早段
002353,0,,油服设备超额不稳定
002366,0,,核电装备业绩剧烈波动且多年亏损
002368,0,,系统集成毛利15-24%远低于同业32-45%
002371,2021,锚6,半导体设备工艺验证周期长客户切换成本高；2019-2020两年营收60.6→96.8亿翻倍而毛利守住36.7/39.4%
002372,2015,§5.4.1-4,PPR管道品牌与服务网络；2013-2014两年毛利39.1/41.1%对同业28、ROE17.1/19.1%
002373,0,,智能交通毛利差为负
002382,0,,手套近段ROE-10
002383,0,,导航近段ROE-17
002397,0,,家纺ROE超额为负
002400,0,,广告毛利差为负
002410,2012,§5.4.1-4,造价软件计价规则库形成事实标准；2009-2011三年毛利差+55且ROE超额+18
002411,0,,近段ROE-20
002414,0,,红外ROE超额仅早段，中近段转负
002422,0,,大输液2015年起ROE塌至5-14%，回报不持续
002424,0,,苗药后期ROE转负
002429,0,,电视代工毛利10-18%低于同业
002432,0,,家用医疗器械中段仅3/6盈利
002437,0,,医药ROE超额小且近段5/7盈利
002439,0,,网络安全毛利高但ROE 6-31%波动且后期转负
002444,0,,手工具出口ODM为主，毛利低于同业且无品牌溢价
002450,0,,近段营收归零
002458,0,,鸡苗中段仅3/6盈利
002460,0,,锂加工毛利与ROE均无超额
002463,0,,PCB早中段无超额
002466,2016,锚12,控股格林布什全球最优质锂辉石矿；2013-2015三年毛利差+28
002468,0,,快递毛利差为负
002475,2020,§5.4.1-4,复杂供应链爬坡与多品类制造能力；2017-2019三年ROE超额+7以上且19年全盈利
002482,0,,装饰近段仅2/7盈利
002493,0,,炼化毛利差为负
002507,2017,锚12,乌江榨菜品类份额三成且多次提价兑现；2014-2016三年毛利差+15且ROE超额转正
002508,2014,§5.4.1-4,高端厨电双寡头；2011-2013三年毛利差+26且ROE超额转正抬升
002511,0,,生活用纸超额幅度不足
002517,0,,游戏早段为负且无持久壁垒
002533,0,,电缆毛利差为负
002555,0,,游戏单品依赖无持久壁垒
002568,2022,锚12,预调鸡尾酒品类份额高；2019-2021三年毛利差+41且ROE超额转正+11
002572,2014,§5.4.1-4,定制家具品牌与经销网络；2011-2013三年ROE超额+20附近且18年全盈利
002583,0,,专网通信近段仅2/6盈利
002589,0,,医药流通无超额
002594,0,,整车毛利与ROE均无超额，资本复制测试不过（垂直一体化的成本优势未在毛利上体现）
002597,0,,甜味剂份额高但毛利无优势
002602,0,,游戏ROE无超额
002605,0,,扑克与游戏早中段为负
002607,2018,§5.4.1-4,公考培训师资体系与千余网点；2015-2017三年ROE超额+50附近（后协议班模式崩塌，按不退出口径仍持有）
002608,0,,电力投资
002610,0,,光伏配件近段ROE-26
002614,0,,按摩椅ROE无超额
002624,0,,游戏壁垒弱
002626,0,,营养品原料超额中等，幅度不足
002640,0,,跨境电商近段仅2/6盈利
002641,0,,塑管毛利差为负
002648,0,,石化毛利差约为零
002661,0,,挂面毛利差为负
002668,0,,冰箱毛利差为负
002677,2014,锚12,集成灶品类开创者与份额第一；2011-2013三年毛利差+25且ROE超额+8以上
002680,0,,数据不全且近段仅2/4盈利
002690,2014,锚12,色选机品类垄断与定价权；2011-2013三年毛利差+23且ROE超额+7
002707,0,,旅游近段ROE-39
002709,0,,电解液毛利差约为零
002714,2015,判例6,成本低于行业且规模第一、深亏周期未失血；2012-2014三年ROE持续超额+19以上穿越猪周期
002738,0,,铯铷资源垄断但超额仅近段
002745,0,,LED无超额
002756,0,,不锈钢与锂毛利差为负
002791,0,,建筑五金超额衰减至近段-3
002801,0,,微特电机规模仅13亿
002803,0,,包装与跨境电商读数波动
002812,2020,§5.4.1-4,湿法隔膜份额过半与设备工艺壁垒；2017-2019三年毛利差+13且ROE超额+6
002832,2019,锚3,高尔夫细分服饰品牌；2016-2018三年毛利差+35且ROE超额+11以上
002838,0,,改性塑料毛利差为负
002850,0,,锂电结构件毛利差约为零
002869,0,,ETC近段ROE-7且仅3/5盈利
002901,2020,锚12,骨科植入耗材注册壁垒；2017-2019三年毛利差+55且ROE超额+21
002912,2020,§5.4.1-4,网络可视化基础架构；2017-2019三年毛利差+38且ROE超额+9
002916,0,,PCB毛利无优势
002932,0,,诊断近段ROE转负
002997,0,,汽车模具毛利差为负
003010,0,,电商代运营无壁垒
300005,0,,户外服饰中段毛利差归零
300009,2019,锚12,生长激素与干扰素生物制品；2016-2018三年毛利差+45且ROE超额转正
300010,0,,教育信息化毛利与ROE双负
300014,0,,锂电毛利差为负
300017,0,,CDN近段ROE转负
300022,0,,农机分销毛利与ROE双负
300026,2012,锚12,血必净独家品种与配方颗粒；2009-2011三年毛利差+49且ROE超额+16（后集采压制，按不退出口径持有）
300027,0,,影视近段7年全亏
300033,2012,§5.4.1-4,金融信息流量入口与牌照；2009-2011三年毛利差+51且ROE超额+32
300049,0,,肝纤维化诊断毛利高但ROE超额为负
300059,2021,§5.4.1-4,互联网券商与基金销售双牌照；2018-2020三年毛利与ROE双超额
300071,0,,广告中近段塌
300073,0,,正极材料毛利差为负
300080,0,,光伏材料毛利与ROE双负
300113,0,,网吧软件超额衰减且近段ROE转负
300114,0,,军工电测超额幅度不足
300142,0,,疫苗中近段ROE为负差
300145,0,,泵类超额幅度不足
300146,2013,锚12,膳食补充剂药店渠道份额第一与品牌；2010-2012三年毛利差+35且ROE超额+45（后商誉减值，按不退出口径持有）
300158,0,,中药ROE超额为负
300166,0,,大数据超额衰减
300194,0,,抗生素ROE超额为负
300202,0,,金融设备近段仅1/6盈利
300206,0,,医疗电子ROE超额不足
300207,0,,电池模组毛利差为负
300209,0,,近段仅1/6盈利
300244,0,,第三方检验毛利差约为零
300255,0,,肝素近段ROE-15
300267,0,,药用辅料近段仅2/6盈利
300294,2014,锚12,血浆站为政策性稀缺牌照属capped-capacity型；2011-2013三年毛利差+38
300296,0,,LED显示近段仅4/6盈利
300297,0,,近段ROE-59
300308,2022,§5.4.1-4,Q1现业务2017起营收16倍同时毛利27→42%（量价齐升非商品）｜Q2云厂商导入认证12-18个月且为双寡头｜Q3算力需求不受限。原判用了借壳前中际装备的读数，作废
300327,0,,家电芯片超额稳定但规模仅6-13亿，不构成规模壁垒
300346,0,,电子特气ROE超额不足
300347,0,,临床CRO毛利差约为零
300349,0,,智能燃气表超额幅度不足
300355,0,,生态修复无超额
300363,0,,CDMO的ROE超额为负
300367,0,,近段营收归零
300373,0,,功率半导体超额中等
300390,0,,锂中段毛利与ROE双负
300394,2021,§5.4.1-4,光器件封装工艺；2018-2020三年毛利差+24且ROE超额
300395,2019,锚12,石英材料军品与半导体双资质且认证周期极长；2016-2018三年毛利差+18且ROE超额
300406,2019,锚12,生化诊断试剂；2016-2018三年毛利差+39且ROE超额+8
300418,0,,游戏平台近段仅3/5盈利
300426,0,,影视中段ROE-52
300428,0,,铝合金车轮毛利差为负
300451,0,,医疗信息化近段仅3/5盈利
300459,0,,游戏近段ROE-28
300463,0,,诊断近段ROE转负
300482,2019,锚12,即时检测试剂；2016-2018三年毛利差+36且ROE超额+9
300487,2022,§5.4.1-4,吸附分离树脂与系统装置；2019-2021三年毛利差+12以上且ROE超额抬升
300492,0,,教育规模仅2亿
300498,0,,养殖近段仅5/7盈利，判例6要求的深亏周期未失血不成立（对照牧原16/17）
300502,2023,§5.4.1-4,Q1营收7.5倍同时毛利36.7→47.8%｜Q2光模块双寡头之一｜Q3同上。原判「中段无超额」用的是错的对照组
300525,0,,财政票据信息化规模仅6亿且超额中等
300529,2019,锚12,血液灌流器品类近乎独占；2016-2018三年毛利差+56且ROE超额+16
300552,0,,ETC近段仅1/5盈利
300559,0,,考试信息化规模仅4亿
300572,0,,检测设备近段仅1/5盈利
300573,2024,锚12,低浓度阿托品与环孢素滴眼液独家品种；2021-2023三年毛利差+54且ROE超额转正
300601,0,,疫苗ROE超额不稳定
300604,0,,半导体测试机中段ROE为负差
300627,2021,§5.4.1-4,北斗高精度定位与测绘装备；2018-2020三年毛利差+26且ROE超额+8
300638,0,,通信模组毛利差为负
300639,0,,分子诊断近段ROE转负
300659,0,,保密安全近段仅1/5盈利
300661,2021,§5.4.1-4,模拟集成电路料号积累；2018-2020三年毛利差+17且ROE超额+8
300676,0,,基因测序中近段ROE为负差
300693,0,,电能质量中段ROE超额仅+2
300702,0,,沙坦原料药近段ROE转负
300705,0,,凝胶贴膏中段ROE超额归零
300750,2019,锚6,动力电池全球份额第一与产能技术壁垒；2015-2017三年ROE超额+36
300751,0,,光伏设备超额衰减
300759,2020,§5.4.1-4,Q1CRO第二桶内份额13.9%、营收17倍｜Q2药明压制但份额稳定｜Q3不受限。原判对照组为39家含设计院与试剂公司，不可用
300769,0,,磷酸铁锂近段ROE-20
300775,2024,判例10,航空大型模锻件型号锁定；2021-2023三年毛利差+19且ROE超额转正
300782,2019,§5.4.1-4,射频前端分立器件；2016-2018三年毛利差+29且ROE超额极高（后被替代，按不退出口径持有）
300795,0,,会展规模仅8亿
300803,0,,证券信息中段仅5/7盈利
300820,0,,工业电源规模仅15亿，不构成规模壁垒
300842,0,,光伏银浆毛利差为负
300857,0,,存储硬件毛利差为负
300866,2021,§5.4.1-4,消费电子品牌出海与供应链；2018-2020三年毛利差+16且ROE超额+21
300869,0,,医疗监护近段仅3/5盈利
300893,0,,汽车安全件毛利差仅+5
300896,2021,锚12,嗨体为医美三类证独家品种且注册壁垒高；2018-2020三年毛利差+63且ROE超额+20
300910,0,,润滑油添加剂早段为负
300972,0,,量贩零食近段毛利差为负
301015,0,,医药品牌运营为渠道代理，无独占
600005,0,,钢铁近段毛利与ROE双负
600012,0,,高速公路特许经营属规制回报，规则6判boundary
600019,0,,钢铁中近段毛利差-16~-18
600026,0,,油运中段毛利与ROE双负
600027,0,,规制电力
600031,2009,锚1,混凝土机械全球第一且毛利显著高于同业；2001-2008八年毛利差+16与ROE差+17双超额（后2012年起营收腰斩，按不退出口径持有）
600033,0,,高速公路规制回报
600039,0,,建筑早中段无超额
600048,0,,地产开发资本可复制
600052,0,,商务服务无超额
600054,0,,景区地理独占但ROE无超额
600056,0,,医药分销毛利差为负
600058,0,,钢贸毛利差-12~-17
600062,0,,输液ROE超额仅+1~+5
600066,2012,§5.4.1-4,客车非标定制与全国服务网络；2009-2011三年ROE超额且25年全盈利
600067,0,,电缆近段毛利与ROE双负
600068,0,,水利水电施工无超额
600074,0,,退市前近段仅2/7盈利
600079,0,,医药毛利高但ROE无超额
600087,0,,油运中段仅3/8盈利
600089,0,,变压器毛利差为负
600096,0,,化肥中段毛利与ROE双负
600097,0,,远洋捕捞超额幅度不足
600104,0,,整车近段毛利差-16
600111,0,,白云鄂博稀土资源独占但ROE未转化超额
600115,0,,航空毛利与ROE双负
600123,0,,煤炭ROE超额衰减至零
600132,2023,§5.4.1-4,嘉士伯资产注入后乌苏1664品牌矩阵；2020-2022三年毛利差+23且ROE超额极高
600143,0,,改性塑料毛利差为负
600153,0,,供应链毛利差-12~-14
600161,2006,锚12,血浆站为政策性稀缺牌照且浆站数全国最多；2001-2005五年毛利差+34且ROE超额为正
600162,0,,地产无超额
600163,0,,风电中段毛利与ROE双负
600166,0,,商用车毛利与ROE双负
600167,0,,集中供热属规制回报
600176,2020,判例4,玻纤全球第一且成本曲线最低、需求长期成长；2017-2019三年毛利差+9且ROE超额转正
600177,0,,服装地产投资混业
600182,0,,轮胎毛利差为负
600183,0,,覆铜板毛利差为负
600195,0,,兽药超额幅度不足
600196,0,,医药ROE超额小，利润由投资驱动
600197,0,,区域白酒ROE超额仅+2~+4
600199,0,,白酒ROE超额为负
600201,0,,兽用疫苗ROE超额小
600211,0,,藏药中段毛利与ROE双负
600216,0,,医药ROE超额为负
600217,0,,再生资源无超额
600230,0,,TDI中近段毛利与ROE双负
600232,0,,纺机毛利与ROE双负
600236,0,,水电属规制回报
600238,0,,保健酒近段仅2/9盈利
600240,0,,近段ROE-92
600248,0,,建筑毛利差为负
600252,2013,锚12,血栓通独家品种；2010-2012三年毛利差+46且ROE超额+14（后医保限制，按不退出口径持有）
600256,0,,LNG与煤化工超额幅度不足
600267,0,,原料药ROE超额为负
600269,0,,高速公路规制回报
600280,0,,零售近段仅3/9盈利
600285,2022,锚12,橡胶膏剂贴膏类品类地位；2019-2021三年毛利差+45且ROE超额转正
600295,0,,羊绒与铁合金超额幅度不足
600298,2021,§5.4.1-4,酵母国内份额过半与发酵菌种及规模成本；2018-2020三年ROE超额转正+9
600299,0,,蛋氨酸中段毛利与ROE双负
600307,0,,钢铁毛利与ROE双负
600309,2006,锚6,MDI寡头与技术壁垒；2001-2005五年毛利差+15与ROE差+30双超额且25年全盈利
600315,2013,锚12,六神在花露水品类份额超六成；2010-2012三年毛利差+35且ROE超额+12（后管理层动荡，按不退出口径持有）
600329,0,,中药ROE超额小
600335,0,,汽车贸易毛利差为负
600340,0,,地产近段仅5/9盈利
600346,0,,炼化早中段毛利与ROE双负
600348,0,,煤炭超额幅度不足
600350,0,,高速公路规制回报
600352,0,,染料寡头但毛利无优势
600361,0,,铝加工毛利差为负
600362,0,,铜冶炼毛利差-20~-24
600373,0,,出版超额幅度不足
600381,0,,冬虫夏草近段ROE-22
600383,0,,地产开发
600393,0,,地产近段仅3/9盈利
600395,0,,煤炭超额幅度不足
600398,2016,§5.4.1-4,男装加盟连锁与品牌运营；2013-2015三年ROE超额+25且25年全盈利
600406,2006,锚6,电网自动化系统与行业标准；2001-2005五年毛利与ROE双超额且25年全盈利
600408,0,,焦炭中近段毛利与ROE双负
600415,2006,锚12,义乌小商品市场独占资产；2001-2005五年毛利差+18且ROE超额+14
600418,0,,汽车毛利与ROE双负
600420,0,,医药ROE超额小
600422,0,,中药ROE超额约为零
600426,2021,§5.4.1-4,洁净煤气化平台吨成本行业最低；2018-2020三年ROE超额转正+7
600438,0,,饲料与光伏毛利差为负
600459,0,,贵金属毛利差为负
600475,0,,锅炉毛利差为负
600477,0,,钢结构毛利与ROE双负
600479,0,,妇科药ROE超额不稳
600481,0,,溴冷机中近段无超额
600486,0,,菊酯农药毛利无优势
600487,0,,光缆毛利差为负
600491,0,,建筑毛利与ROE双负
600497,0,,铅锌中近段毛利与ROE双负
600507,2015,判例6,钢铁行业内成本领先；2012-2014三年ROE超额且行业深亏期仍盈利、25年全盈利
600510,0,,地产与纺织混业无超额
600511,0,,医药分销毛利差为负
600512,0,,建筑中近段ROE为负差
600513,0,,医药ROE超额为负
600516,0,,石墨电极ROE超额为负
600518,0,,中药材近段毛利与ROE双负
600521,0,,原料药毛利高但ROE超额仅+1
600525,0,,智能电网近段ROE-14
600528,0,,轨交装备毛利差为负
600533,0,,地产中近段无超额
600545,0,,纺机近段仅4/9盈利
600546,0,,煤炭早中段毛利差为负
600547,0,,黄金毛利差为负
600549,0,,钨超额不稳定
600557,0,,中药毛利高但ROE超额仅+1~+7
600559,0,,白酒ROE超额不足
600562,0,,雷达超额幅度不足
600566,2015,锚12,蒲地蓝口服液独家品种；2012-2014三年毛利差+57且ROE超额+17
600570,2006,§5.4.1-4,证券核心交易系统份额过半且切换成本极高；2001-2005五年毛利差+28且ROE超额
600572,0,,中药ROE超额小
600580,0,,电机毛利差为负
600582,0,,煤机超额衰减至近段转负
600583,0,,海洋工程中近段无超额
600588,2006,§5.4.1-4,ERP份额第一且转换成本高；2001-2005五年毛利差+68且ROE超额（后云转型阵痛，按不退出口径持有）
600594,0,,中药近段ROE-7
600597,0,,乳业中近段无超额
600600,0,,啤酒毛利高但ROE超额仅+1~+4，回报不足
600612,2013,§5.4.1-4,老字号品牌与全国黄金珠宝渠道；2010-2012三年ROE超额转正+13
600616,0,,黄酒ROE超额为负
600621,0,,券商ROE超额为负
600622,0,,地产近段仅6/9盈利
600633,0,,游戏ROE超额小
600636,0,,近段ROE-9
600639,0,,园区地产ROE超额小
600641,0,,地产超额幅度不足
600647,0,,近段营收归零
600657,0,,地产无超额
600658,0,,园区近段仅6/9盈利
600663,0,,陆家嘴区位独占但ROE超额仅近段
600668,0,,水泥与医药混业超额小
600674,0,,水电属规制回报
600675,0,,地产超额幅度不足
600684,0,,地产无超额
600685,0,,船舶毛利差为负
600686,0,,客车中近段毛利与ROE双负
