security_code,as_of_year,cutoff_notice,verdict,basis,business_desc_at_period,reason,evidence,batch,judged_at
600978,2006,2007-04-30,boundary_pending,fin,制造业-家具制造业｜广东｜员工231人,家具出口：毛利率 24~28% 窄但不高，上市（2004-08）后摊薄 ROE 13.4%/19.3% 可观测、低于 25%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600840,2006,2007-04-30,boundary_pending,fin,其它｜浙江,投资/贸易混业：1998、2001 亏损，ROE −18%~18% 摆动，2006 单年 43.8% 为一次性跃升,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000667,2006,2007-04-30,boundary_pending,fin,房地产业-房地产业｜湖北｜员工90人,地产：ROE 0.6~16.2% 十年未达门槛，1999-2001 近零,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600840,2007,2008-02-02,boundary_pending,fin,其它｜浙江,此前八年 ROE −18%~18% 含两亏损年，2006-07 地产景气单年跃升至 43.8%/47.1%，不满足多年稳定,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600068,2007,2008-04-30,boundary_pending,fin,建筑业-土木工程建筑业｜湖北,建筑：ROE 1.5~13.7% 十年低位，2006 重组营收 16.5→93.6 亿可比性中断，毛利率 15~17%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000046,2007,2008-04-30,boundary_pending,fin,"金融业-其他金融业｜北京｜员工4,816人",金融/地产混业：ROE 3.5~22% 无序摆动，2007 回落 8.5%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600240,2007,2008-04-30,boundary_pending,fin,房地产业-房地产业｜北京｜员工26人,地产：2002-2003 亏损，营收 0.1→11.2→6.9 亿无序，ROE 0~17.8%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000939,2007,2008-04-30,boundary_pending,fin,"电力、热力、燃气及水生产和供应业-电力、热力生产和供应业｜湖北｜员工1,569人",电力/环保工程：ROE 13~17% 六年低于门槛，2007 单年 29.6%；毛利率 73%→16% 单边下行后反弹，不窄,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000616,2007,2008-04-30,boundary_pending,fin,房地产业-房地产业｜辽宁｜员工146人,地产：ROE 1.4~28% 随结算节奏摆动（2004 27%、2005 4.7%、2007 28%），毛利率 87%→17%→41%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600627,2007,2008-04-17,boundary_pending,fin,其它｜上海,输配电设备：毛利率 13~15% 低，ROE 2005-06 33% 后 2007 回落 20.6%，此前 1~13%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000861,2007,2008-04-30,boundary_pending,fin,租赁和商务服务业-商务服务业｜广东｜员工604人,商业物业：2002 亏损，ROE −11%~11.3%，未达门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000040,2007,2008-04-30,boundary_pending,fin,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业｜广东,电力/环保：2001-2002 亏损，ROE ≤7.4%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000527,2008,2009-03-10,boundary_pending,boundary,制造业-电气机械和器材制造业｜广东,家电：2007-08 ROE 21%/28.8%、营收两年 2.1 倍而毛利率 17.7→19.2% 不降反升（5② 形态成形），但此前十年 ROE 7~15%、2008 净利 −15%，多年稳定尚未成立,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000540,2008,2009-04-30,boundary_pending,fin,"房地产业-房地产业｜贵州｜员工1,936人",地产：2004-2005 巨亏（ROE −37%/−69%）、BPS 0.46，2007-08 ROE 35%/29% 系低基数，亏损年否决,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600122,2008,2009-04-30,boundary_pending,fin,批发和零售业-零售业｜江苏｜员工467人,IT 分销/零售：ROE 1~14.7%、毛利率 22%→8.5% 十年单边下行,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600090,2008,2009-04-30,boundary_pending,fin,批发和零售业-批发业｜新疆,医药批发：2003-2005 BPS 为负、2004 亏损，2006 ROE 162% 为净资产为负后的无意义读数,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000578,2008,2009-03-26,boundary_pending,boundary,行业不详｜青海,钾肥/盐湖资源：2004-2005、2007 亏损、BPS 一度为负，2008 重组后首年 ROE 47.7%/毛利率 75.8%，净资产口径不连续（判据 7），资源牌照同构须待主体稳定,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000780,2008,2009-04-30,boundary_pending,boundary,采矿业-煤炭开采和洗选业｜内蒙古,煤炭采矿权为真（判据 1 同构候选），2008 ROE 24.9%/净利 5.17 亿过门槛，但煤炭主体 2007 借壳注入、可比历史仅 2 年（2005 亏损为注入前无关业务），待三年观测,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000602,2008,2009-04-14,boundary_pending,fin,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业｜广东,电力/IT 混业：1999-2000 亏损，ROE 2002 26%→2008 9.7% 单边下行，毛利率 70%→10%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000835,2008,2009-04-30,boundary_pending,fin,信息传输、软件和信息技术服务业-互联网和相关服务｜四川,2002 亏损、此前 ROE 4~12%，2007-08 ROE 35%/29% 系两年跃升，毛利率 15~21% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000511,2008,2009-04-30,boundary_pending,fin,房地产业-房地产业｜辽宁｜员工28人,地产：1996-97 亏损，ROE 2.6~11.4% 未达门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000961,2009,2010-04-30,boundary_pending,fin,房地产业-房地产业｜江苏｜员工860人,地产/建筑：2000-2006 ROE 1.3~10%，2008 重组后净利 0.26→4.87 亿、毛利率 7.6%→28.7% 跳变，可比性中断，2008-09 ROE 16~18% 仅两年,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
601989,2009,2010-04-30,boundary_pending,boundary,"制造业-铁路、船舶、航空航天和其他运输设备制造业｜北京｜员工27,681人",船舶制造：上市当年（2009-12，判据 4a 摊薄不足三个月）、可比历史 4 年，摊薄后回报不可观测；毛利率 17~20% 偏低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000418,2009,2010-04-30,boundary_pending,fin,制造业-电气机械和器材制造业｜江苏,家电：2002 亏损 −25%、2001-2006 ROE ≤3.5%，2007-09 ROE 23.5→4.6→14.9% 摆动,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600631,2009,2010-03-31,boundary_pending,fin,批发和零售业｜上海,零售：ROE 2.9~10.7% 十四年未达门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000979,2009,2010-04-30,boundary_pending,fin,房地产业-房地产业｜安徽｜员工30人,地产：连续亏损、BPS 为负，ROE 读数无意义,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002325,2009,2010-04-30,boundary_pending,fin,建筑业-建筑装饰、装修和其他建筑业｜广东｜员工69人,幕墙装饰承包：毛利率 11.8~13.9% 窄而低（成本加成，判据 5③ 只窄不高），上市当年（2009-12）摊薄未反映,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002308,2009,2010-04-30,boundary_pending,boundary,制造业-计算机、通信和其他电子设备制造业｜广东｜员工206人,显示/可视化：毛利率 58~63% 窄而高、ROE 38~85%，但上市当年 2009-11 摊薄不足三个月（判据 4a）、可比历史 4 年，列入优先复核,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600647,2009,2010-04-30,boundary_pending,fin,科学研究和技术服务业-专业技术服务业｜上海｜员工337人,电气安装/投资：多年亏损、BPS 为负，2009 ROE 76.5% 系低基数,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000024,2010,2011-03-22,boundary_pending,fin,房地产业-房地产业｜广东,地产：十五年 ROE 7.9~21.8% 仅 2007 单年超 20%，2008-2010 回落 10.5~13.7%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600823,2010,2011-03-12,boundary_pending,boundary,房地产业-房地产业｜上海｜员工913人,地产：2008 重组 BPS 2.55→8.37、ROE 1.0%，净资产口径不连续（判据 7），2010 ROE 12.9% 未达门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000578,2010,2011-03-08,boundary_pending,boundary,行业不详｜青海,盐湖资源（资源牌照为真）：毛利率 67~76% 高，但重组后 ROE 47.7→20.1→17.9% 三年单边下行、可比历史仅 3 年，回报过门槛未稳定,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000602,2010,2011-02-17,boundary_pending,fin,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业｜广东,2009-2010 亏损、毛利率 2.9%，此前 ROE 26%→9.7% 单边下行,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000979,2010,2011-04-30,boundary_pending,fin,房地产业-房地产业｜安徽｜员工30人,地产：2004-2008 连续亏损/净资产为负，2009-10 重组后 ROE 读数无可比基数,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
601299,2010,2011-04-08,boundary_pending,fin,制造业-铁路、船舶、航空航天和其他运输设备制造业｜北京,轨道装备：上市次年摊薄后 ROE 8.4% 可观测、毛利率 12.5~16% 低且随营收三倍下行,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000671,2010,2011-04-28,boundary_pending,fin,"房地产业-房地产业｜福建｜员工1,551人",地产/贸易混业：2001-2007 ROE −1.2~8.2%，2008-2010 16.8%→45.3% 跃升伴 BPS 5.15→3.02 不连续，毛利率 71%→11%→36% 无序,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000043,2010,2011-02-26,boundary_pending,fin,"房地产业-房地产业｜广东｜员工41,450人",地产：2000-2001 亏损，ROE 0.5~21.6% 无序摆动，2010 13.6%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
601268,2010,2011-04-30,boundary_pending,fin,"制造业-专用设备制造业｜四川｜员工7,567人",重型装备：上市当年摊薄后 ROE 5.3%，此前 0.6~21.1% 摆动，毛利率 18~21%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002336,2010,2011-04-11,boundary_pending,fin,"批发和零售业-零售业｜广东｜员工1,898人",零售：毛利率 20.1~20.8% 窄而低（判据 5③），上市当年（2010-01）摊薄后 ROE 7.1% 可观测且远低于门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600077,2010,2011-03-05,boundary_pending,fin,房地产业-房地产业｜浙江｜员工291人,地产/贸易：2002-03、2008-09 亏损，2010 单年 ROE 23.2% 系重组跃升,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600263,2010,2011-03-10,boundary_pending,fin,其它｜北京,路桥施工：ROE 2~9%，毛利率 8~10% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000522,2010,2011-03-05,boundary_pending,fin,制造业-医药制造业｜广东,医药：1997-98 亏损、1998 净资产为负，2001-2009 ROE 2.2~18.3% 未达门槛，2010 单年 20.3%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000562,2010,2011-04-30,boundary_pending,boundary,金融业-资本市场服务｜新疆,券商（判据 3）：ROE −84.6%~42.2% 一年内大幅摆动,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600652,2010,2011-04-30,boundary_pending,fin,信息传输、软件和信息技术服务业-互联网和相关服务｜上海｜员工25人,混业：ROE −1.0~13.6%、2008 亏损，十五年未达门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002220,2010,2011-04-30,boundary_pending,fin,制造业-农副食品加工业｜辽宁,农副食品：上市后摊薄 ROE 13.8~19.3% 低于 25%，毛利率 14~19% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600806,2010,2011-04-30,boundary_pending,fin,制造业-通用设备制造业｜云南｜员工848人,机床：1998-99、2004 亏损，ROE 2007 顶 32.1% 后单边下行至 13.8%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002118,2010,2011-03-30,boundary_pending,boundary,制造业-医药制造业｜吉林,医药：2003-2009 毛利率 76~81% 窄而高但未穿越下行期，摊薄后 2008-09 ROE 15.2% 低于门槛，2010 营收 2.5 倍而毛利率 −22pp、ROE 33% 系结构变化，待观测,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000606,2010,2011-03-04,boundary_pending,fin,信息传输、软件和信息技术服务业-互联网和相关服务｜青海｜员工7人,IT 服务：ROE 0.1~12.5%、2009 亏损,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600636,2011,2012-03-24,boundary_pending,fin,信息传输、软件和信息技术服务业-软件和信息技术服务业｜上海｜员工518人,氟化工：2008 亏损、2009-10 ROE 2.6~6%，2011 制冷剂景气单年 ROE 63.5%/毛利率 35.8%，周期顶不外推,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000918,2011,2012-04-06,boundary_pending,fin,房地产业-房地产业｜浙江｜员工499人,地产：2004-2008 连续亏损/净资产为负，2009-10 ROE 52%/32% 系低基数，2011 回落 5.1%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000861,2011,2012-04-11,boundary_pending,boundary,租赁和商务服务业-商务服务业｜广东｜员工604人,商业物业运营：2007 转型后毛利率 42~47% 窄而高、ROE 11→19→19→32→37% 五年上行、营收 5 倍，但 ≥25% 仅两年、转型前 ROE ≤10% 含 2002 亏损，列优先复核,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000522,2011,2012-03-06,boundary_pending,fin,制造业-医药制造业｜广东,医药：2001-2009 ROE 2~18% 十年未达门槛，2010-11 20~21% 仅两年，毛利率 33~37% 中等，1998 巨亏,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
601258,2011,2012-04-12,boundary_pending,fin,批发和零售业-零售业｜吉林,汽车经销：毛利率 8~11.5% 低，上市当年（2011-04）摊薄后 ROE 9.0%、净利 −47%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000732,2011,2012-03-29,boundary_pending,fin,"房地产业-房地产业｜福建｜员工2,132人",地产：2004-2008 亏损/净资产为负，2009 ROE 48.4% 系低基数，2010-11 22.5%/19.6% 重组后仅三年,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
300104,2011,2012-04-30,boundary_pending,fin,信息传输、软件和信息技术服务业-互联网和相关服务｜北京｜员工207人,互联网/软件：上市后摊薄 ROE 15.6%/13.2% 可观测且低于 25%，毛利率 80%→54% 下行,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600705,2011,2012-02-10,boundary_pending,fin,金融业-货币金融服务｜黑龙江,金融控股：2004-2006 亏损/净资产为负，2007、2010 ROE 895%/199% 系重组低基数，2011 17.7%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002503,2011,2012-04-25,boundary_pending,fin,制造业-纺织服装、服饰业｜广东｜员工142人,服装：营收 10 倍/毛利率 24→35% 的 5② 形态建立在上市前 1~3 亿净资产上，上市后摊薄 ROE 10.1% 可观测且远低于门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000666,2011,2012-03-29,boundary_pending,fin,金融业-资本市场服务｜北京,纺机/金融并表：十五年 ROE ≤8.5%、2009 亏损，2011 15.1% 随并表跃升，毛利率 8.6~16%,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600723,2011,2012-03-17,boundary_pending,fin,批发和零售业-零售业｜北京,零售：2003、2008 亏损，2003-09 ROE ≤2.9%，2010 合并重组后 12.8~16.5% 可比性中断,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
601028,2011,2012-04-18,boundary_pending,fin,采矿业-有色金属矿采选业｜山东,矿产贸易/钢管：毛利率 12.5~18.9% 低，2011 净利 −21%、ROE 28.8→13.4% 下行，上市当年,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
601558,2011,2012-04-30,boundary_pending,fin,"制造业-通用设备制造业｜北京｜员工1,488人",风电设备：上市当年净利 −79%、摊薄后 ROE 4.6%，毛利率 12.5~20.8% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002411,2011,2012-04-12,boundary_pending,fin,"制造业-医药制造业｜陕西｜员工1,909人",医药化工：上市后摊薄 ROE 8.2~8.4% 可观测，毛利率 15~18% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600677,2011,2012-04-30,boundary_pending,fin,"批发和零售业-批发业｜浙江｜员工1,909人",贸易/通信混业：ROE 1~18.6% 摆动、2006 亏损 −94%，毛利率 5~13% 低,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002450,2011,2012-04-30,boundary_pending,fin,制造业-橡胶和塑料制品业｜江苏,预涂膜/光学膜：上市后摊薄 ROE 13.1%/13.7% 可观测且低于门槛，2011 营收三倍而毛利率 26.2→19.4% 下行,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
000982,2011,2012-02-29,boundary_pending,fin,制造业-纺织业｜宁夏｜员工201人,羊绒纺织：2005-2006 亏损、BPS 跌至 0.68，2010-11 ROE 20~24% 仅两年，毛利率 21% 中等,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
002610,2011,2012-04-24,boundary_pending,fin,"制造业-电气机械和器材制造业｜浙江｜员工1,457人",光伏配件：毛利率 20.9%→15.0% 随营收四倍下行且绝对水平低，上市当年 BPS +141% 超净利 +95%（4b 摊薄未反映）,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
600225,2011,2012-04-18,boundary_pending,fin,信息传输、软件和信息技术服务业-软件和信息技术服务业｜天津｜员工419人,软件/地产借壳：2006-2008 净资产为负，2009 重组后主体不可比，三年 ROE 20.6~23.5% 低于门槛,输入=build_judgment_input.py 盲判块（按公告日截断、无简称代码）,R1-主判,2026-08-21
