security_code,event,period,notice,trigger,basis,reason,evidence
002275,exit,2021-12-31,2022-04-27,X1,fin,滚动三年加权ROE中位2020年为14.1%、2021年为11.6%，连续两期跌破退出线15.0%（=基准线15%与入选期中位30.4%的较低者）。,2017 ROE 18.4%；2018 ROE 18.4%；2019 ROE 14.1%；2020 ROE 9.6%；2021 ROE 11.6%
600588,exit,2017-12-31,2018-03-24,X1,fin,滚动三年加权ROE中位2016年为6.8%、2017年为6.7%，连续两期跌破退出线15.0%（=基准线15%与入选期中位22.3%的较低者）。,2013 ROE 15.2%；2014 ROE 15.1%；2015 ROE 6.8%；2016 ROE 3.5%；2017 ROE 6.7%
601818,exit,2025-12-31,2026-03-31,X3,fin,滚动三年加权ROE中位2024年为8.4%、2025年为7.9%，连续两期跌破退出线10.0%（=基准线10%与入选期中位21.0%的较低者）。,2021 ROE 10.6%；2022 ROE 10.3%；2023 ROE 8.4%；2024 ROE 7.9%；2025 ROE 7.0%
000887,exit,2020-12-31,2021-04-30,X1,fin,滚动三年加权ROE中位2019年为14.0%、2020年为6.9%，连续两期跌破退出线15.0%（=基准线15%与入选期中位27.1%的较低者）。,2016 ROE 16.8%；2017 ROE 16.1%；2018 ROE 14.0%；2019 ROE 6.9%；2020 ROE 5.5%
002063,exit,2016-12-31,2017-04-20,X1,fin,滚动三年加权ROE中位2015年为11.0%、2016年为7.6%，连续两期跌破退出线15.0%（=基准线15%与入选期中位25.4%的较低者）。,2012 ROE 26.4%；2013 ROE 22.8%；2014 ROE 11.0%；2015 ROE 7.4%；2016 ROE 7.6%
002223,exit,2018-12-31,2019-04-18,X1,fin,滚动三年加权ROE中位2017年为14.3%、2018年为13.7%，连续两期跌破退出线15.0%（=基准线15%与入选期中位23.1%的较低者）。,2014 ROE 18.2%；2015 ROE 18.9%；2016 ROE 14.3%；2017 ROE 11.4%；2018 ROE 13.7%
002252,exit,2016-12-31,2017-04-12,X1,fin,滚动三年加权ROE中位2015年为14.9%、2016年为14.9%，连续两期跌破退出线15.0%（=基准线15%与入选期中位23.5%的较低者）。　触发值14.9%与退出线15.0%仅差0.1pp，属边界触发；同期归母虽增但源于净资产同步扩张，加权ROE自2012年24.0%起未回20%以上。,2012 ROE 24.0%；2013 ROE 13.6%；2014 ROE 15.8%；2015 ROE 14.9%；2016 ROE 14.2%
600594,exit,2017-12-31,2018-04-28,X1,fin,滚动三年加权ROE中位2016年为10.3%、2017年为9.6%，连续两期跌破退出线15.0%（=基准线15%与入选期中位25.0%的较低者）。,2013 ROE 24.8%；2014 ROE 15.2%；2015 ROE 5.4%；2016 ROE 10.3%；2017 ROE 9.6%
002153,exit,2018-12-31,2019-04-23,X1,fin,滚动三年加权ROE中位2017年为8.6%、2018年为8.1%，连续两期跌破退出线15.0%（=基准线15%与入选期中位27.0%的较低者）。,2014 ROE 21.9%；2015 ROE 17.5%；2016 ROE 8.1%；2017 ROE 8.6%；2018 ROE 6.8%
002236,exit,2025-12-31,2026-04-18,X1,fin,滚动三年加权ROE中位2024年为9.5%、2025年为10.4%，连续两期跌破退出线15.0%（=基准线15%与入选期中位28.4%的较低者）。,2021 ROE 15.6%；2022 ROE 9.5%；2023 ROE 22.4%；2024 ROE 8.2%；2025 ROE 10.4%
600315,exit,2018-12-31,2019-03-13,X1,fin,滚动三年加权ROE中位2017年为7.2%、2018年为7.2%，连续两期跌破退出线15.0%（=基准线15%与入选期中位22.0%的较低者）。,2014 ROE 26.5%；2015 ROE 46.5%；2016 ROE 3.6%；2017 ROE 7.2%；2018 ROE 9.7%
601515,exit,2021-12-31,2022-04-15,X1,fin,滚动三年加权ROE中位2020年为13.0%、2021年为13.0%，连续两期跌破退出线15.0%（=基准线15%与入选期中位55.2%的较低者）。,2017 ROE 17.5%；2018 ROE 18.3%；2019 ROE 10.3%；2020 ROE 13.0%；2021 ROE 16.5%
002294,exit,2021-12-31,2022-03-29,X1,fin,滚动三年加权ROE中位2020年为11.1%、2021年为7.6%，连续两期跌破退出线15.0%（=基准线15%与入选期中位29.5%的较低者）。,2017 ROE 25.9%；2018 ROE 23.4%；2019 ROE 11.1%；2020 ROE 1.0%；2021 ROE 7.6%
002739,exit,2018-12-31,2019-04-26,X1,fin,滚动三年加权ROE中位2017年为14.0%、2018年为13.3%，连续两期跌破退出线15.0%（=基准线15%与入选期中位30.8%的较低者）。,2014 ROE 30.8%；2015 ROE 26.2%；2016 ROE 14.0%；2017 ROE 13.3%；2018 ROE 11.7%
002807,exit,2018-12-31,2019-03-15,X3,fin,滚动三年加权ROE中位2017年为9.9%、2018年为9.1%，连续两期跌破退出线10.0%（=基准线10%与入选期中位12.1%的较低者）。,2014 ROE 14.1%；2015 ROE 12.1%；2016 ROE 9.9%；2017 ROE 9.1%；2018 ROE 8.9%
002807,reentry,2023-12-31,2024-03-30,重入,fin,滚动三年加权ROE中位2022年为10.2%、2023年为11.9%，连续两期重回退出线10.0%以上（X3镜像口径）。,2019 ROE 9.1%；2020 ROE 8.8%；2021 ROE 10.2%；2022 ROE 11.9%；2023 ROE 12.6%
601997,exit,2025-12-31,2026-04-23,X3,fin,滚动三年加权ROE中位2024年为9.8%、2025年为8.3%，连续两期跌破退出线10.0%（=基准线10%与入选期中位26.4%的较低者）。,2021 ROE 13.3%；2022 ROE 11.8%；2023 ROE 9.8%；2024 ROE 8.3%；2025 ROE 8.0%
002841,exit,2025-12-31,2026-03-25,X1,fin,滚动三年加权ROE中位2024年为11.2%、2025年为7.7%，连续两期跌破退出线15.0%（=基准线15%与入选期中位54.6%的较低者）。　营收由2020年171.3亿增至2025年243.5亿而归母由19.02亿降至10.13亿，毛利率由26.5%降至20.0%，X2 亦成立。,2021 ROE 21.8%；2022 ROE 20.9%；2023 ROE 11.2%；2024 ROE 7.7%；2025 ROE 7.7%
002507,exit,2023-12-31,2024-03-30,X1,fin,滚动三年加权ROE中位2022年为12.6%、2023年为12.1%，连续两期跌破退出线15.0%（=基准线15%与入选期中位23.8%的较低者）。,2019 ROE 22.6%；2020 ROE 24.7%；2021 ROE 12.6%；2022 ROE 12.1%；2023 ROE 10.4%
002936,exit,2021-12-31,2022-03-31,X3,fin,滚动三年加权ROE中位2020年为9.3%、2021年为8.4%，连续两期跌破退出线10.0%（=基准线10%与入选期中位18.8%的较低者）。,2017 ROE 18.8%；2018 ROE 10.0%；2019 ROE 9.3%；2020 ROE 8.4%；2021 ROE 7.2%
300357,exit,2025-12-31,2026-04-24,X1,fin,滚动三年加权ROE中位2024年为15.0%、2025年为15.0%，连续两期跌破退出线15.0%（=基准线15%与入选期中位25.6%的较低者）。　触发值为边界值，2025年为可观测末期，该判定在下一期年报披露后应优先复核。,2021 ROE 21.4%；2022 ROE 18.8%；2023 ROE 15.0%；2024 ROE 13.9%；2025 ROE 15.2%
002958,exit,2024-12-31,2025-04-25,X3,fin,滚动三年加权ROE中位2023年为7.3%、2024年为7.3%，连续两期跌破退出线10.0%（=基准线10%与入选期中位12.9%的较低者）。,2020 ROE 11.6%；2021 ROE 10.6%；2022 ROE 7.0%；2023 ROE 7.3%；2024 ROE 7.6%
002966,exit,2021-12-31,2022-03-29,X3,fin,滚动三年加权ROE中位2020年为9.8%、2021年为9.8%，连续两期跌破退出线10.0%（=基准线10%与入选期中位10.1%的较低者）。,2017 ROE 10.2%；2018 ROE 10.1%；2019 ROE 9.8%；2020 ROE 9.0%；2021 ROE 10.0%
002966,reentry,2024-12-31,2025-04-29,重入,fin,滚动三年加权ROE中位2023年为11.5%、2024年为11.7%，连续两期重回退出线10.0%以上（X3镜像口径）。,2020 ROE 9.0%；2021 ROE 10.0%；2022 ROE 11.5%；2023 ROE 12.0%；2024 ROE 11.7%
600928,exit,2024-12-31,2025-04-30,X3,fin,滚动三年加权ROE中位2023年为8.6%、2024年为8.2%，连续两期跌破退出线10.0%（=基准线10%与入选期中位12.6%的较低者）。,2020 ROE 11.2%；2021 ROE 10.6%；2022 ROE 8.6%；2023 ROE 8.2%；2024 ROE 8.0%
601077,exit,2022-12-31,2023-03-31,X3,fin,滚动三年加权ROE中位2021年为9.9%、2022年为9.8%，连续两期跌破退出线10.0%（=基准线10%与入选期中位13.6%的较低者）。,2018 ROE 13.6%；2019 ROE 12.8%；2020 ROE 9.3%；2021 ROE 9.9%；2022 ROE 9.8%
601860,exit,2023-12-31,2024-04-26,X3,fin,滚动三年加权ROE中位2022年为9.8%、2023年为9.6%，连续两期跌破退出线10.0%（=基准线10%与入选期中位11.9%的较低者）。,2019 ROE 10.8%；2020 ROE 10.1%；2021 ROE 9.8%；2022 ROE 9.6%；2023 ROE 9.1%
601916,exit,2023-12-31,2024-03-29,X3,fin,滚动三年加权ROE中位2022年为9.8%、2023年为9.4%，连续两期跌破退出线10.0%（=基准线10%与入选期中位14.0%的较低者）。,2019 ROE 12.9%；2020 ROE 10.0%；2021 ROE 9.8%；2022 ROE 9.0%；2023 ROE 9.4%
002901,exit,2024-12-31,2025-04-24,X1,fin,滚动三年加权ROE中位2023年为3.2%、2024年为3.2%，连续两期跌破退出线15.0%（=基准线15%与入选期中位29.8%的较低者）。,2020 ROE 32.0%；2021 ROE 29.6%；2022 ROE 3.2%；2023 ROE 1.9%；2024 ROE 11.3%
