security_code,security_name,exchange,board,industry,listing_date,round1_attention_class,round1_attention_reason,round1_note,round1_reviewed_at_utc,prior_final_decision,prior_watch_selection_route,prior_decision_reason,prior_quality_tier,prior_strategy_tag,prior_tier_reason,prior_valuation_tier,prior_valuation_reason,prior_core_pool_eligible,decision_log_entries,decision_log_last_at_utc
000151,中成股份,SZSE,main_board,F 批发零售,2000-09-06,boundary_pending,国际工程与贸易，25年报ROE65.5%但毛利仅15.3%，高回报来自非经营性项目,无重大变化则维持,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000153,丰原药业,SZSE,main_board,C 制造业,2000-09-20,boundary_pending,营收 38.6亿、毛利 18.4%；ROE18-25 5/6/8/7/9/9/8/5，近三年中位 8.2%,无重大变化则维持,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000155,川能动力,SZSE,main_board,D 水电煤气,2000-09-26,boundary_pending,风电运营+锂矿，25年报 ROE4.8%、毛利41.5%；电价受管制、锂矿尚未放量,锂矿达产成本曲线验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000156,华数传媒,SZSE,main_board,I 信息技术,2000-09-06,boundary_pending,营收 91.8亿、毛利 29.5%；ROE18-25 6/7/6/7/6/5/4/3，近三年中位 3.6%,智慧广电/宽带转型兑现,2026-08-10T00:00:00+00:00,watch,direct_watch,"Retained. 华数传媒: Zhejiang cable plus national interactive TV, internet TV and digital media platform with stronger new-media optionality than ordinary cable networks triage 65.13; moat 61.00; technology 67.75; market 77.30; quality 73.60; governance 67.40.",,,,,,,1,
000157,中联重科,SZSE,main_board,C 制造业,2000-10-12,boundary_pending,工程机械，近三年 ROE 中位仅 6.4%；防7 与三一重工对照（后者同周期下 11.2%）,,2026-08-09T00:00:00+00:00,watch,direct_watch,"Retained. 中联重科: global engineering-machinery platform with cranes, concrete machinery, aerial work, agriculture/mining equipment, and strong R&D infrastructure. triage 58.73; moat 51.00; technology 63.00; market 72.25; quality 61.70; governance 67.40.",,,,,,,120,2026-08-09T22:17:00+00:00
000158,常山北明,SZSE,main_board,I 信息技术,2000-07-24,boundary_pending,纺织+软件，25年报 ROE0.6%，双主业无协同,自研软件盈利验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000159,国际实业,SZSE,main_board,F 批发零售,2000-09-26,boundary_pending,营收 19.9亿、毛利 12.3%；ROE18-25 3/1/4/1/13/3/2/2，近三年中位 2.4%,无重大变化则维持,2026-08-10T00:00:00+00:00,,,,,,,,,,0,
000166,申万宏源,SZSE,main_board,J 金融业,2015-01-26,boundary_pending,营收 242.6亿、毛利缺失；ROE18-25 6/7/9/10/3/5/5/9，近三年中位 5.1%,差异化/财富管理领先,2026-08-10T00:00:00+00:00,watch,boundary_judged_watch,Retained after boundary review. 申万宏源: central-Huijin-controlled merged broker with broad branch network and comprehensive license platform triage 56.61; moat 67.57; technology 33.00; market 74.54; quality 68.96; governance 66.35.,,,,,,,1,
000301,东方盛虹,SZSE,main_board,C 制造业,2000-05-29,boundary_pending,炼化+新材料，25年报 ROE0.4%，中报预告+987%系低基数,炼化景气与减债后复核,2026-08-09T00:00:00+00:00,watch,boundary_judged_watch,Watch. 东方盛虹: 东方盛虹有炼化、EVA/聚酯化纤和新能源材料布局，规模平台强，但周期和资本开支使其只能边界关注。 triage 58.73; moat 60.00; technology 59.70; market 80.81; quality 45.75; governance 66.12.,,,,,,,1,
000333,美的集团,SZSE,main_board,C 制造业,2013-09-18,worth_attention,L2 层，多年 ROE 结构稳定或上升，2025年报与2026Q1 未见护城河损坏,防3.1 ROE 检验通过；维持在池,2026-08-09T00:00:00+00:00,watch,direct_watch,"Watch. 美的集团: 美的集团 has global appliance scale, HVAC/components, automation/industrial technology, R&D and channel/service depth. It is one of the clearest durable A-share consumer-industrial platforms. triage 57.62; moat 49.00; technology 56.06; market 75.50; quality 61.22; governance 67.67.",L2,A-DCF/现金流复利型,,中性,预期年化名义约15%（FCF收益率7%+股息回购5%+保守增长3%），但2026Q1扣非-14%显示国补退坡后白电景气回落，全年增长需验证；PE处自身5年中位数附近（57.8%分位），非历史低位。质量与股东回报扎实、价格有吸引力，但存在业绩验证折扣，定较低估而非低估。,yes,302,2026-08-23T21:38:14+00:00
000338,潍柴动力,SZSE,main_board,C 制造业,2007-04-30,worth_attention,L2 层，多年 ROE 结构稳定或上升，2025年报与2026Q1 未见护城河损坏,防3.1 ROE 检验通过；维持在池,2026-08-09T00:00:00+00:00,watch,direct_watch,"Retained. 潍柴动力: Heavy-duty powertrain and engine platform with global scale, supply chain, service network, and system integration depth. triage 68.58; moat 69.00; technology 72.50; market 85.00; quality 54.69; governance 66.63.",L2,C-GARP成长型,,中性,重卡动力链龙头+大缸径发动机的AIDC第二曲线真实（Q1'26+13.8%），但PE-TTM/PB分别处5年90.5%/92.8%分位——市场已按新故事完成重估，26E+32%一致预期隐含大缸径快速放量，PEG约1.0无折扣。故事与定价平衡，定中性。,yes,226,2026-08-23T21:38:14+00:00
000400,许继电气,SZSE,main_board,C 制造业,1997-04-18,boundary_pending,2026H1 中报复核（2026-08-23）：营收 65.25 亿(+1.2%)、归母 4.16 亿(-34.4%)、ROE 3.4%（25H1 5.5%）、毛利 19.9%（25H1 23.8%）——H1 ROE 折年约 6.8% 仍低于 10%，回报不足结论不变；维持 boundary_pending。前判（2025年报+2026Q1，2026-08-10）：营收 149.9亿、毛利 23.4%；ROE18-25 3/6/8/8/8/9/10/10，近三年中位 9.9%,UHV份额/技术领先,2026-08-23T00:00:00+00:00,watch,direct_watch,Watch. 许继电气: 许继电气在直流输电、智能变配电、保护自动化和充换电等国网核心设备中具备体系内资质和工程履历。 triage 65.74; moat 61.97; technology 61.76; market 80.11; quality 50.79; governance 68.48.,,,,,,,1,
000401,金隅冀东,SZSE,main_board,C 制造业,1996-06-14,boundary_pending,水泥，25年报 ROE0.8%、中报增亏,需求企稳+成本曲线验证,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000402,金 融 街,SZSE,main_board,K 房地产,1996-06-26,boundary_pending,商办地产，25年报净利-53.8亿,减债+持有物业占比提升,2026-08-09T00:00:00+00:00,,,,,,,,,,0,
000403,派林生物,SZSE,main_board,C 制造业,1996-06-28,boundary_pending,血液制品持浆站牌照，毛利41.5%但ROE仅5.2%，牌照未转化为高回报,,2026-08-09T00:00:00+00:00,,,,,,,,,,120,2026-08-09T22:17:00+00:00
