security_code,security_name,q1_business_model_score,q2_moat_score,q2_reason,q3_capital_allocation_score,q4_management_score,credibility_deduction,quality_score,quality_tier,tier_reason,prior_tier,primary_strategy_tag,flags,score_reason,batch,evidence_status,evidence_note,evidence_sources,score_version,scored_at
601088,中国神华,68,84,煤-电-路-港一体化，自有铁路与港口是监管+资本双重不可复制；终端需求长期收缩,80,74,0,77.7,L1,通道A 护城河型：Q2=84 Q1=68,L1,F-垄断资源型,,Q2 煤-电-路-港一体化不可再造（自有铁路+港口双重不可复制）；Q1 终端需求长期收缩的商品,anchor,verified,煤电路港航一体化确认：2025 自有铁路周转量 3130 亿吨公里、长协占比高、成本优势筑牢安全边际、分红比例再创新高。2026 展望「电力稳、化工增」，动力煤消费小幅增 1% 至约 42 亿吨，供需由宽松转向平衡偏紧、煤价中枢有望抬升——近端需求并未收缩，「终端需求长期收缩」指能源转型的长期结构，不构成 2-3 年内侵蚀路径。Q2=84 成立。,国联民生/国海/银河 2025年报点评(601088),v0.4,2026-07-31
600415,小商品城,74,84,义乌产业集群+政府特许，新建一个义乌在物理与生态上均不可能；覆盖全部租金利润,74,72,0,77.7,L1,通道A 护城河型：Q2=84 Q1=74,L2,C-GARP成长型,,义乌小商品市场是不可复制的产业集群+特许经营，Q2 几乎不可颠覆；租金现金流稳定,B14其他,verified,"66,600 摊位、79,500 商户、出口 230+ 国家；市场经营业务毛利率 **82.93%**；**商位出租率持续锁定 98% 以上、接近物理满载**；时隔十余年再涨租——定价权与产业集群锁均确认。Chinagoods GMV 650 亿(2025)。Q2=84 成立。",cinn.cn 小商品城赴港IPO; 标普义乌小商品城主体评级报告,v0.4,2026-07-31
688120,华海清科,68,82,CMP国内唯一+清华体系技术源；细分市场窄，AMAT可回归,76,74,0,76.1,L1,通道A 护城河型：Q2=82 Q1=68,L2,D-产业链爆发/关键瓶颈型,,CMP国内唯一+清华体系技术源+客户验证壁垒,B7半导体设备,corrected,**Q2 打低**：**CMP 设备国内市占率超 90%**，已出厂第 1000 台设备，装机基础与客户验证锁真实；正由 CMP 向离子注入、减薄设备延伸，平台化在建。国内近乎垄断且该业务即公司全部收入，覆盖度满。80→82，**升 L1（通道A）**。,zhuanlan.zhihu.com/p/2043969177497625648 2026中国半导体设备国产化率; caifuhao.eastmoney.com/news/20260725214823947695760,v0.4,2026-07-31
600862,中航高科,70,82,军机复材主承力结构独家配套，换供应商需全机重新适航，比连接器更难替代,74,72,0,75.9,L1,通道A 护城河型：Q2=82 Q1=70,L2,D-产业链爆发/关键瓶颈型,,军机复材主承力结构独家配套+中航体系+认证壁垒,B6军工,corrected,**原判措辞无据**：「军机复材主承力结构独家配套」中的「独家」未获证据支持。证据支持的是：承担国产大飞机复合材料结构及预浸料/蜂窝原材料研制生产、中国商飞前机身筒段一级供应商、航空预浸料领域领先地位、适航认证构成「技术门槛+认证周期」双重壁垒。改为「主供/领先」，Q2 83→82，仍在 L1。,2025年半年度报告(600862); 2026年经营计划公告,v0.4,2026-07-31
688122,西部超导,68,82,低温超导线材国内唯一（ITER供货背书）+ 航空钛合金牌号，双重不可替代,74,74,0,75.7,L1,通道A 护城河型：Q2=82 Q1=68,L2,D-产业链爆发/关键瓶颈型,,低温超导线材国内唯一+航空钛合金牌号认证，双重不可替代,B6军工,verified_stronger,国内唯一低温超导线材商业化生产企业、国内无竞争对手；ITER 计划国内唯一低温超导线材供应商；全球唯一 NbTi 锭棒—线材—磁体全流程生产企业。证据强于原判，Q2=82 保守但保留。,2024年年度报告(688122); 2025年半年度报告,v0.4,2026-07-31
600161,天坛生物,70,82,单采血浆站牌照法定管制、新设审批极难，浆站数量全国第一——法律锁强于技术锁,72,72,0,75.5,L1,通道A 护城河型：Q2=82 Q1=70,L2,C-GARP成长型,,单采血浆站牌照法定管制+浆站数量全国第一+中生体系，真实硬载体,B13医药,verified,107 个单采血浆站（85 在营），2025 年采浆 2801 吨，站点数与采浆规模均全国第一，约占国内 20% 份额；十四五规划中浆站审批优势确认。法律锁确认，Q2=82 成立。,2025年年度报告(600161); 万联医药公司点评,v0.4,2026-07-31
002049,紫光国微,72,82,军用FPGA资质+型号绑定，与复旦微电双寡头,72,68,0,75.4,L1,通道A 护城河型：Q2=82 Q1=72,L2,D-产业链爆发/关键瓶颈型,,军用FPGA/特种IC资质壁垒+型号绑定；Q4 计紫光集团破产重整与股权变动影响,B6军工,corrected,**Q2 打低**：与复旦微电构成国产特种 FPGA **双寡头**，紫光国微在低轨卫星领域 **FPGA 市占率超 60%**；特种 IC 业务**毛利率 77.54%**——高毛利本身即门槛的价格证据；军工航天可靠性验证优势强于复旦微电，产品谱系更宽。80→82，**升 L1（通道A）**。,emcreative.eastmoney.com 特种集成电路优先级总览(2026-01); fpgahome.com/news/6997 FPGA双雄争霸,v0.4,2026-07-31
000538,云南白药,80,83,国家保密配方（法定，保护级别低于绝密）+ 牙膏品牌心智,62,62,0,74.9,L1,通道A 护城河型：Q2=83 Q1=80,L2,A-DCF/现金流复利型,governance_open_issue,国家保密配方法定独占+牙膏高毛利复购；Q3/Q4 炒股巨亏与董事长被查是资本配置与治理重大污点,B2中药,verified_with_caveat,保密配方与牙膏 25% 份额行业第一确认。但牙膏营收年均增长仅约 1.5%，2026-2028 预计年均 2%，「市场增长触达天花板」；证券投资 2021 年末累计亏损约 19.29 亿、2022 年再亏 6.09 亿。护城河完好（增长见顶不构成侵蚀路径），Q2=83 成立；资本配置与治理之差已由 Q3=62/Q4=62 与参考分 74.9（L1 内倒数第二）如实反映——这正是两输出设计要捕捉的信息。,jiemian.com/article/10858285; 云南白药深度报告(2026-07-13),v0.4,2026-07-31
600160,巨化股份,66,83,三代制冷剂配额=法定独占硬载体；产品仍为大宗,72,70,0,74.6,L1,通道A 护城河型：Q2=83 Q1=66,L2,F-垄断资源型,,三代制冷剂配额是法定独占硬载体；产品仍为大宗、强周期,B4化工,corrected,**Q2 打低**：公司及子公司 R32 合计年产能 19 万吨，**国家核定生产配额占全国 44.99%**——配额是法定分配、不可通过投资获得，44.99% 的份额意味着近乎定价权。2026 配额方案维持基准并将品种间调整比例上限由 10% 提升至 30%（灵活度提升利好龙头）；R32/R125/R134a 价格 2026 年内持续走强，R134a 突破 6 万元/吨。法定配额锁按 §4.1 属 81-83 段上沿，81→83，**升 L1（通道A）**。,sohu.com/a/965354909_323087 开源证券制冷剂配额点评; finance.sina.com.cn/jjxw/2026-06-16,v0.4,2026-07-31
600406,国电南瑞,74,85,电网调度事实标准，技术锁极硬；但客户即控股股东，护城河与关联绑定，独立性打折,74,68,-3,74.5,L1,通道A 护城河型：Q2=85 Q1=74,L1,A-DCF/现金流复利型,governance_open_issue,Q2 电网调度事实标准+特高压二次深壁垒；客户=控股股东，治理折扣与可信度折扣分开计,anchor,verified_stronger,电网调度自动化、特高压控制保护、继电保护等核心领域市占率超 75-80%；国内电力行业绝大多数自动化标准由其发起——标准制定者身份确认。证据强于原判，Q2=85 保留。,2025年半年度报告(600406); 东方财富行业分析,v0.4,2026-07-31
300760,迈瑞医疗,76,79,装机+服务网络+注册证真实；联影在高端影像追赶，集采压毛利,82,82,0,79.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,C-GARP成长型,"erosion_path(中,影响可控)",四维均衡无极致；集采压毛利（中概率、影响可控）,anchor,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。医疗器械**国内第一**+装机保有量+服务网络+注册证组合。78→79（集采侵蚀路径旗标不变，仍 L2）,—,v0.4,2026-07-31
300750,宁德时代,74,82,全球份额第一+工艺良率+客户认证；固态路线与客户二供是明确侵蚀路径,84,80,-2,78.1,L2,达强档水平但存在中概率可见侵蚀路径,L1,D-产业链爆发/关键瓶颈型,erosion_path(中),地位在Q2、结构在Q1（单价通缩+千亿维持性开支+强势客户）；固态/二供为中概率侵蚀路径,anchor,calibration_model_knowledge,,,v0.4,2026-07-31
000333,美的集团,74,77,全球家电规模+效率；成熟品类竞争激烈、小米进入,78,88,0,78.1,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,A-DCF/现金流复利型,"erosion_path(低端,中)",Q4 接近满分（何享健→方洪波交接为A股治理典范）；Q1/Q2 成熟品类竞争+小米进入,anchor,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。家电**全球规模第一梯队**+效率与供应链+ToB 转型（库卡/楼宇）。76→77,—,v0.4,2026-07-31
603288,海天味业,85,77,渠道与品牌真实，但零添加事件已证明可被攻击、份额流向千禾,75,73,0,78.0,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,A-DCF/现金流复利型,,Q1 调味品复购+渠道预收；Q2 被证明可攻击（零添加事件丢份额予千禾）；Q4 计事件应对与无必要港股融资,anchor,calibration_model_knowledge,,,v0.4,2026-07-31
688012,中微公司,70,81,刻蚀设备进入先进制程产线，客户验证周期极长；对标Lam/TEL仍有代差,80,76,0,77.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,D-产业链爆发/关键瓶颈型,,刻蚀深度技术+先进制程客户验证史；平台窄于北华；Q4 计尹志尧年龄与接班风险,anchor,verified,原判坐实且两面都有证据：CCP/ICP 刻蚀覆盖 **65nm 至 3nm 全制程、已进入台积电 5nm 与 3nm 供应链**（客户验证极强）；但全球刻蚀市场泛林/东电/应材三家合计超 90%，**中微+北方华创全球合计仅约 2.36%**——覆盖度受限。Q2=81 成立，**维持 L2**。,m.lejucaijing.com/report-161553 中微公司首次覆盖; zhuanlan.zhihu.com/p/2043969177497625648,v0.4,2026-07-31
300124,汇川技术,72,77,国产替代执行力+行业线应用工程沉淀；电控业务商品化,80,82,0,77.1,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,C-GARP成长型,,国产替代执行力+行业线应用工程沉淀；电控业务商品化拖Q1,anchor,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。工控**国产第一**+行业线应用工程沉淀（know-how 需逐行业积累）。76→77,—,v0.4,2026-07-31
002179,中航光电,72,80,军用连接器型号定型后更换需重做适航认证，时间不可压缩3-5年,78,76,0,77.0,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,D-产业链爆发/关键瓶颈型,,军工连接器认证壁垒极高、型号定型后难更换；Q3 新能源/通信民品扩张回报好,B6军工,corrected,**覆盖度打折**：军品型号定型锁真实，但**民品收入占比已达 52%**——超过一半收入不受该锁保护。民品有真实位置（液冷连接器国内市占第一、光通信收入 36.59 亿 +28.74%）但可竞争；全球连接器份额 10.1%（国内唯一进入全球前十），而立讯精密全球份额 13.9% 反超。Q2 定义含「覆盖多大比例的利润」，故 83→80。**降至 L2**。,sina 中航光电2025营收213.86亿; caifuhao 2026国产连接器市场数据,v0.4,2026-07-31
002270,华明装备,74,80,有载分接开关国内垄断+全球第二，电网认证周期极长,76,74,0,76.8,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,有载分接开关国内垄断+全球第二，电网认证周期极长；Q3 分红高、聚焦主业,B10电新,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式2。有载分接开关**国内垄断+全球第二**，电网认证周期极长；细分市场小不减门槛硬度。78→80,—,v0.4,2026-07-31
601100,恒立液压,72,79,高压柱塞泵/马达工艺突破+铸造能力，国内唯一规模化,76,78,0,76.5,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,高压柱塞泵/马达工艺突破+铸造能力，国内唯一规模化，真实进口替代,B11机械,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式2。高压柱塞泵/马达工艺突破+铸造能力，**国内唯一规模化**，进口替代的门槛是工艺良率而非资本。78→79,—,v0.4,2026-07-31
600563,法拉电子,76,78,薄膜电容全球第一+工艺积累+新能源认证,74,76,0,76.4,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,A-DCF/现金流复利型,,薄膜电容全球第一+工艺积累+新能源认证；现金流极好、几乎无负债、扩产克制,B14其他,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。薄膜电容**全球第一**+工艺积累+新能源车规认证。76→78,—,v0.4,2026-07-31
605499,东鹏饮料,83,71,,82,72,0,76.35,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,Q1 单品复购+经销预收+轻资产；Q2 配方无壁垒、渠道心智可被携资追赶；Q3 双路径同跑；Q4 计大股东频繁减持,anchor,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。能量饮料**国内份额第一**+经销网络深度+性价比心智。70→71,—,v0.4,2026-07-31
601225,陕西煤业,70,80,陕北优质煤田+运输通道，成本曲线极左,78,74,0,76.2,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,F-垄断资源型,,陕北优质煤田+运输通道，成本曲线极左、现金流好；Q3 分红率60%+返还路径,B5资源,calibration_model_knowledge,,,v0.4,2026-07-31
002595,豪迈科技,74,77,轮胎模具全球第一+定制化客户绑定+精密制造,76,78,0,76.2,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,轮胎模具全球第一+定制化客户绑定+精密制造；现金流好、扩产克制,B11机械,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：**模式1**。轮胎模具**全球第一**+定制化客户绑定+精密制造，原判未计全球第一。75→77,—,v0.4,2026-07-31
600938,中国海油,62,81,海上油气专营权=法定独占 + 储量替代率>130%,84,76,0,76.1,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,F-垄断资源型,,Q3 强（储量替代率>130%+产量6-7%增长+分红承诺，双路径同跑）；Q1 纯上游价格承受者,anchor,calibration_model_knowledge,,,v0.4,2026-07-31
300628,亿联网络,82,74,,74,74,0,76.0,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,A-DCF/现金流复利型,,SIP话机全球第一+渠道绑定；硬件毛利70%+、几乎无应收、现金流极好；会议业务竞争激烈,B14其他,calibration_model_knowledge,,,v0.4,2026-07-31
600887,伊利股份,74,76,,76,78,0,75.8,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,A-DCF/现金流复利型,,全国渠道+品牌真实但蒙牛对峙、原奶周期；Q3 分红提升+回购；Q4 潘刚长期稳定,B1消费,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。乳业**国内第一**+全国冷链渠道+奶源布局，原判未充分计入渠道深度。74→76,—,v0.4,2026-07-31
603195,公牛集团,80,74,,76,73,0,75.75,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L1,A-DCF/现金流复利型,,Q1 小电工高毛利低资本开支；Q2 渠道密度+安全心智可被时间+资金追赶；Q4 计2021纵向垄断处罚,anchor,calibration_model_knowledge,,,v0.4,2026-07-31
002050,三花智控,70,79,制冷元器件全球第一+汽车热管理认证周期长+特斯拉绑定,76,76,0,75.7,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,制冷元器件全球第一+汽车热管理认证周期长+特斯拉绑定，真实,B10电新,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。制冷元器件**全球第一**+汽车热管理认证周期长+特斯拉绑定。78→79,—,v0.4,2026-07-31
300274,阳光电源,70,77,全球逆变器第一+品牌渠道+储能系统能力；华为对峙,80,76,0,75.7,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,全球逆变器第一+品牌渠道+储能系统能力；Q3 储能再投回报极好；华为对峙,B10电新,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：**模式1**。**全球逆变器第一**+品牌渠道+储能系统集成能力；华为对峙真实但不改变全球第一的规模与渠道壁垒。75→77,—,v0.4,2026-07-31
002372,伟星新材,80,71,,78,78,0,75.7,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,A-DCF/现金流复利型,,零售管道星管家服务模式、几乎无应收、现金流极好；Q2 服务+品牌可被模仿，地产下行冲击,B4化工,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式2。零售管道「星管家」服务模式+品牌，服务网络需长期建设。70→71,—,v0.4,2026-07-31
002001,新和成,70,79,VA/VE全球寡头+生物发酵技术+蛋氨酸突破,76,76,0,75.7,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,VA/VE全球寡头+生物发酵技术+蛋氨酸突破；维生素价格周期剧烈,B4化工,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。VA/VE **全球寡头**（四家格局）+生物发酵技术+蛋氨酸突破。78→79,—,v0.4,2026-07-31
002594,比亚迪,66,79,垂直一体化全球独一份，但属「能力」而非法律或物理锁，理论可复制（虽极难）,78,78,0,75.4,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,D-产业链爆发/关键瓶颈型,,垂直一体化（电池/IGBT/整车）全球独一份+品牌+规模，真实难复制；整车重资产+价格战,B10电新,calibration_model_knowledge,,,v0.4,2026-07-31
300395,菲利华,70,80,半导体级石英+航空石英纤维双认证，SEMI与军品认证周期均极长,74,74,0,75.4,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,D-产业链爆发/关键瓶颈型,,半导体级石英+航空石英纤维双认证，SEMI与军品认证周期均极长,B6军工,calibration_model_knowledge,,,v0.4,2026-07-31
002262,恩华药业,74,81,麻醉精神类药品生产经营牌照法定管制，准入极难——法律锁,70,70,0,75.4,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L3,C-GARP成长型,,麻醉精神类药品生产经营牌照法定管制、准入极难，真实硬载体,B13医药,verified_with_caveat,门槛比原判更硬：**具备麻醉、精神类定点生产资质的企业寥寥无几**（法律准入锁），公司为定点基地；**7 个独家上市品种、15 个首家上市品种、29 个产品全国市占率第一**。单看资质与品种地位可达 82-83。但按 §4.1「河在被填平取带内下沿」：2023 年后集采扩围、**麻精类非管制品种首次纳入集采、高毛利时代终结**，护城河保护的利润池被永久压缩。故取 81，**维持 L2**。（与迈瑞医疗集采处置口径一致）,caifuhao.eastmoney.com/news/20260122174536096385480; finance.sina.com.cn/tech/roll/2026-05-10 麻醉赛道变天,v0.4,2026-07-31
300896,爱美客,82,75,三类械注册证+嗨体品类定义者；新进入者增多、韩系冲击,70,72,0,75.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,医美耗材毛利95%+、几乎无资本开支、现金流极好；三类械注册证+嗨体品类定义者；新进入者与韩系冲击,B13医药,calibration_model_knowledge,,,v0.4,2026-07-31
600885,宏发股份,70,79,继电器全球第一+认证周期长+品类广度,74,76,0,75.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,继电器全球第一+认证周期长+品类广度，真实壁垒,B10电新,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。继电器**全球第一**+认证周期长+品类广度。78→79,—,v0.4,2026-07-31
688188,柏楚电子,76,77,激光切割控制系统国内垄断+算法积累,72,74,0,75.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,激光切割控制系统国内垄断+算法积累，软件属性高毛利,B12软件,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式2。激光切割控制系统**国内垄断**+算法积累，软件属性高毛利；市场规模小不减垄断硬度。75→77,—,v0.4,2026-07-31
002690,美亚光电,76,76,,74,74,0,75.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,色选机国内垄断+口腔CBCT国产第一；现金流极好、几乎无应收,B12软件,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式2。色选机**国内垄断**+口腔 CBCT 国产第一，双垄断位置。74→76,—,v0.4,2026-07-31
000999,华润三九,76,75,,76,74,0,75.3,L2,资本复制测试通过，但存在可见侵蚀路径或明确同业竞争,L2,C-GARP成长型,,999 OTC品牌矩阵+渠道，可被追；Q3 昆药并购整合能力兑现,B2中药,reexamined_no_source,按 §10.7 偏差模式复检（未取外部新证）：模式1。999 品牌矩阵+OTC 渠道深度**国内 OTC 第一梯队**+昆药整合。74→75,—,v0.4,2026-07-31
