as_of,net_assets_cny,total_assets_cny,margin_debt_cny,credit_line_cny,leverage_ratio,guarantee_ratio_pct,holdings_market_value_cny,cash_cny,position_count,top_position_weight_pct,account_peak_net_assets_cny,drawdown_from_peak_pct,source,note
2026-07-23,2826027,4809149,1983122,,1.70,242.5,4791829,0,18,18.3,2826027,0.0,estimated_from_user_trades,"2026-07-23收盘估算：8笔成交回写后按收盘价计——A股市值4,791,829+长鑫成本17,320=总资产4,809,149；负债=7/22精确数1,813,614.19+当日净买入169,508（卖383,293/买552,801，未计费税）≈1,983,122；净资产≈2,826,027较峰值2,825,217高约810元（+0.03%）刷新峰值（估算口径，待券商精确数确认）；杠杆1.65→1.70x、总仓位169.6%N超160%N包络（连续第7日、缺口扩大至约27.0万）；现金≈0；请用户回报券商精确净资产/负债校正"
2026-07-24,2749199.59,4681445.00,1932245.41,,1.70,242.3,4681445.00,0,18,18.9,2826027,-2.7,user_reported_broker_exact,"用户2026-07-24盘后精确数：净资产2,749,199.59/总资产4,681,445/负债1,932,245.41（=总-净）/担保比例242.3%/杠杆1.70x。当日换股：卖药明康德2100@124.75回笼261,975（实现+41,937/+19.1%）→买小商品城19200@10.95用210,240、净回笼51,735全额偿还融资（负债1,983,122估→1,932,245.41，微降杠杆）；持仓数仍18（17只A股+长鑫，药明出小商品城入）；现金≈0、持仓市值≈总资产为倒推。总仓位170.3%N仍超160%N包络上限（连续第8日、缺口约28.3万），换股为敞口中性未收敛包络；峰值沿用7/23估算2,826,027（未经券商确认）、回撤-2.7%；小商品城割肉价10.5(Tier-0)、单笔风险0.31%N"
2026-07-27,2898604.85,4878062.91,1979458.06,,1.68,246.4,4878062.91,0,18,18.3,2898604.85,0.0,estimated_from_user_trades,"2026-07-27收盘估算（待券商精确数）：长鑫科技上市首日清仓2,000@52.70（发行价8.66，实现+88,080/+508.5%）+6只减仓回笼合计248,240；买入小商品城3,600@11.05(3.98万，补足至轻仓25.00万)+新建特宝生物4,257股@60.0594(25.57万足额轻仓)合计295,453，净买入47,213由融资承接；负债=7/24精确数1,932,245.41+47,212.65≈1,979,458.06；持仓市值按收盘4,878,062.91、现金≈0；净资产2,898,605较7/24增149,405(+5.43%，其中长鑫实现收益88,080)、刷新峰值(原2,826,027)、回撤0%；杠杆1.70→1.68x、担保比例242.3→246.4%；总仓位168.3%N仍超160%N包络上限（连续第9日、缺口约24.0万，较昨28.3万收窄但系分母N上升所致、敞口本身净增4.7万）；止损网格Σ≈300,226=10.36%N（较7/24 8.7%N走阔，主因宁德/宇通/紫光等上涨拉大与固定割肉价的距离+新仓特宝12,516）——R7冷静期今日到期，撤销与否待用户书面确认；单笔风险全部≤1.5%N（最大宁德1.10%N）"
2026-07-29,3010349.00,4997343.00,1986994.00,,1.66,251.5,4997343.00,0,18,17.6,3010349.00,0.0,estimated_from_user_trades,"2026-07-29收盘估算（待券商精确数）：特宝生物Tier-0清仓4,257@57.38（-11,406/-4.46%，7/28触发次日执行合规）+紫光国微趋势卖出清仓4,000@64（-9,902/-3.72%，反转态短期档第5日许可在案）回笼500,267；买入东鹏饮料1,900股@135.119（256,727）+高德红外18,300股@13.72（251,076）合计507,803——净买入7,536由融资承接，§13.7融资棘轮（止损/退出回笼须先偿融资）未执行、滚入新买，如实留痕；负债=7/27精确1,979,458.06+7,535.94=1,986,994；18只市值4,997,343、现金≈0；净资产3,010,349较7/27 +111,744(+3.86%)刷新峰值（原2,898,605）、回撤0%；杠杆1.68→1.66x、担保比例246.4→251.5%；总仓位166.0%N仍超160%N包络上限（连续第11个交易日，缺口约18.1万，较昨23.4万收窄）；单笔风险：小商品城1.62%N超1.5%N上限（浮盈拉大止损距离），其余≤1.10%N；7/28收盘快照缺失（当日仅盘中口径，盘后未回报），本行较7/27为两日变动"
2026-07-29,3008641.13,5007668.95,1999027.82,,1.66,250.5,4997343.00,10325.95,18,17.6,3008641.13,0.0,user_reported_broker_exact,"用户2026-07-29盘后精确数：总资产5,007,668.95/净资产3,008,641.13/负债1,999,027.82（=总−净）。取代同日估算行（估算净3,010,349/负债1,986,994，负债低估约12,034系7/27起连续两日估算口径累积＋费税未计）；持仓市值按收盘4,997,343、现金≈10,325.95。净资产较7/27估算2,898,604.85增109,036(+3.76%)、刷新峰值、回撤0%；杠杆1.66x、担保比例250.5%；总仓位166.1%N仍超160%N包络（连续第11个交易日，缺口183,517）。当日4笔：特宝Tier-0清仓4,257@57.38(-11,406)、紫光国微趋势卖出清仓4,000@64(-9,902)、新建东鹏1,900@135.119(256,727)、新建高德红外18,300@13.72(251,076)，净买入7,536由融资承接、§13.7棘轮未执行。工作流v1.21同日生效：单笔风险持仓监控预警与被动权重超限预警退役，本行不再输出该两类提示（小商品城1.63%N为审计值非预警）。"
2026-07-30,3078731.02,4861598.34,1782867.32,,1.58,272.7,4855303.00,6295.34,17,17.7,3078731.02,0.0,user_reported_broker_exact,"用户2026-07-30盘后精确数：总资产4,861,598.34/净资产3,078,731.02/负债1,782,867.32(=总−净)/现金6,295.34/持仓市值4,855,303.00(=总−现金，与收盘价逐股核算一致)。当日4笔：①睿创微纳Tier-0清仓1,700@136.45回笼231,965（实现−28,799.70/−11.04%，持有7个交易日）；②高德红外Tier-0清仓18,300@13.054回笼238,888.20（实现−12,187.80/−4.85%，持有2个交易日）；③④新建五粮液3,100@78.307+200@78.29共258,409.70（均价78.306，25.84万轻仓档）。回笼合计470,853.20−买入258,409.70=净流入212,443.50，加现金减少4,030.61=216,474.11，对负债减少216,160.50，差313.61为费税（印花税约235+佣金约180口径内）。已实现合计−40,987.50；两笔均在盘中执行、价格优于收盘（高德13.054 vs 收盘12.52跌停 +4.27%/+9,772元；睿创136.45 vs 135.60 +0.63%/+1,445元）。净资产较7/29精确数3,008,641.13 +70,090(+2.33%)、刷新峰值、回撤0%；距−8%去杠杆线(≈2,832,433)余246,298(8.0%N)。**杠杆1.66→1.58x、担保比例250.5→272.7%、总仓位166.1%→157.7%N——连续12个交易日的160%N包络超限于本日解除，带内余量70,667**。§13.7融资棘轮未全额执行：回笼470,853应先全额偿融资，实际仅216,161偿债、258,410滚入五粮液新买，连续第二个交易日欠账；全额棘轮反事实为总仓位149.3%N/杠杆1.50x，差8.4个百分点N，如实留痕。五粮液无§10闸门前置→off_system记录PT-20260730-01；割肉价72.85(Tier-0，距成本−6.97%=2.46×ATR20)。持仓数18→17（睿创/高德出、五粮液入）"
2026-08-03,2996560.39,4696028.00,1699467.61,,1.57,276.3,4695028.00,1000.00,16,18.1,3078731.02,-2.7,user_reported_broker_exact,"用户2026-08-03盘后精确数：总资产4,696,028/净资产2,996,560.39/负债1,699,467.61(=总−净)。持仓市值按收盘逐股核算=4,695,028（16只），与总资产差1,000即现金，**市值口径对账精确到千元以内**。当日一次性调整11笔（用户表述：此前持仓多基于错误估值信息确定）：清仓5只——双汇发展10,500@26.165(+22,942.50/+9.11%)、神火股份10,000@25.36(−2,600.00/−1.01%)、招商银行6,700@40.16(+14,874.00/+5.85%)、美的集团3,000@86.033(+21,519.00/+9.10%)、迈瑞医疗1,700@156.72(+18,127.10/+7.30%)，回笼1,321,927.50、已实现合计+74,862.60（未计费税）；买入6笔——小商品城加仓16,900@12.62(213,278)、山西汾酒1,900@124.05+200@124.10(260,515)、九号公司5,800@43.743(253,709.40)、兴齐眼药5,900@42.834(252,720.60)、伊之密12,100@20.79(251,559)，合计1,231,782。净流入90,145.50。**神火股份账面9,600股 vs 实卖10,000股差400股**：五笔中另四笔均与账面股数分毫不差且全为清仓，且收盘市值对账在千元内成立→按券商口径修正账面、以10,000股计实现盈亏，同类前例见美的2026-07-20账面/实卖矛盾矫正；请以券商对账单确认（当日待办）。负债1,782,867.32→1,699,467.61（−83,399.71），现金6,295.34→1,000（−5,295.34）；资金来源95,440.84 vs 偿债83,399.71，差12,041.13为费税（印花税约661+佣金/过户约664）+融资利息（7月计息约1.05万，月初结息口径），待对账单核。**§13.7融资棘轮连续第三个交易日未执行**（7/29、7/30、8/3）：回笼1,321,927.50中仅83,400偿融资、1,231,782滚入新买；全额棘轮反事实为总仓位约115.1%N/杠杆约1.15x，与实际156.7%N差约41.6pp N——但全额执行会把账户压到§13第4条100-160%N包络的中枢130%N之下，规则张力如实留痕待用户裁定。杠杆1.58→1.57x、担保比例272.7→276.3%；总仓位157.7%→156.7%N，160%N包络内余量99,469（第4个交易日在带内）。净资产较7/30精确数3,078,731.02少82,170.63(−2.67%)，未刷新峰值、回撤−2.7%；距−8%去杠杆线(2,832,432.54)余164,127.85(5.48%N)。持仓数17→16（双汇/神火/招行/美的/迈瑞出，山西汾酒/九号公司/兴齐眼药/伊之密入）；最大单票贵州茅台543,592=18.14%N。当日买入合规：九号公司/兴齐眼药 §10.1要素项7/7 compliant；山西汾酒（弱级×等确认，命中§10.1第5项除外条款）与伊之密（有效段1/需2，段位未达标）判off_system；小商品城加仓要素项齐备但违反pending_adjustment禁止加仓（当日待办第3项）。五笔卖出在收盘持仓扫描中全部为hold（无割肉触及/无趋势走坏/无估值卖出资格/无硬证伪），不属§14卖出许可四类，属换股型体系外卖出，前例见药明康德2026-07-24。"
2026-08-04,2932169.00,4874400.00,1942231.00,,1.66,251.0,4874400.00,0,15,18.1,3078731.02,-4.76,estimated_from_user_trades,"**估算行，待券商精确数取代**。基准为 08-03 精确行（净 2,996,560.39／负债 1,699,467.61／现金 1,000）。当日 18 笔：卖出 6 笔回笼约 1,318,962（五粮液 3,300@76.81、国电南瑞 11,000@24.91、公牛集团 6,500@41.80、青岛啤酒 4,800@54.667、东阿阿胶 300@54.87、**东鹏饮料 1,900@126.798 为 Tier-0 割肉执行**）；买入 12 笔合计约 1,559,687（新建 4 只：中泰股份 15,200@16.50、瑞丰新材 8,500@29.672、福耀玻璃 4,400@57.00、海尔智家 5,200@22.51+6,000@22.503；加仓 7 只：小商品城 700、宁德时代 600、山西汾酒 2,100、九号公司 300、紫金矿业 400、宇通客车 400、兴齐眼药 300）。**净买入 240,725 由融资承接**，负债 1,699,468→约 1,942,231（含费税估 2,039：卖出印花税 0.1% + 双边佣金过户约万2.5，实际以对账单为准）。持仓市值按收盘逐股核算 4,874,400（15 只），现金约 0。**总仓位由 156.7%N 升至约 166.2%N，越过 §13.4 的 160%N 包络上限**（超限约 18.2 万，个人体系 §3 定 1.6x 为绝对上限）；杠杆 1.57→1.66x、担保比例 276.3→251.0%。净资产估 2,932,169 较 08-03 少 64,391（−2.15%），未刷新峰值、回撤 −4.76%，距 −8% 去杠杆线（2,832,433）约 99,736。**§13.7 融资棘轮连续第四个交易日未执行**（7/29、7/30、8/3、8/4）。持仓数 16→15。最大单票贵州茅台 531,344=18.1%N。已实现盈亏本行不计（v2.05 起流程不追踪盈亏，§14.1）。"
2026-08-06,2929703.71,4886831.00,1957127.29,,1.67,249.7,4885831,1000.00,17,17.2,3078731.02,-4.84,user_reported_broker_exact,"用户 2026-08-06 盘后回报精确数：总资产 4,886,831 / 净资产 2,929,703.71 → 负债 1,957,127.29（=总−净）。17 只持仓按当日收盘逐股核算市值 4,885,831 + 现金 1,000 = 4,886,831，与总资产**对账精确到元**。当日 11 笔：卖出 1 笔——贵州茅台清仓 400@1307.005 回笼 522,802（非割肉触及、割肉价 1265 未破，属换股型体系外卖出）；买入 10 笔合计 537,794.20——新建 3 只（中际联合 4,800@39.782+1,600@39.826=254,675.20、徐工机械 29,800@8.42+600@8.41=255,962.00、中材国际 600@7.81=4,686.00），加仓 5 只（福耀玻璃 100@56.02、海尔智家 200@22.03、瑞丰新材 200@29.11、东阿阿胶 100@54.21、小商品城 100@12.20，合计 22,471.00）。**净买入 14,992.20 由融资承接**；负债较 08-04 估算行 1,942,231 增 14,896（与净买入差 96 为费税/利息口径，以对账单为准）。**总仓位 166.77%N，仍在 §13.4 的 160%N 包络上限之外——连续第 3 个交易日超限，回带内需减约 199,305 或净资产 +6.8%**；杠杆 1.67x（个人体系 §3 定 1.6x 为绝对上限）、担保比例 249.7%。净资产较 08-04 估算 2,932,169 少 2,465，**未刷新峰值、自峰值 3,078,731.02 回撤 −4.84%，距 −8% 去杠杆线 2,832,432.54 余 97,271（3.32%N）**。**§13.7 融资棘轮未执行**：茅台回笼 522,802 应先全额偿融资，实际全额滚入新买并另借 14,992——有回笼交易日中连续第 5 次未执行（7/29、7/30、8/3、8/4、8/6；8/5 无成交）；全额棘轮反事实为总仓位约 148.9%N、杠杆约 1.49x，差 17.9 个百分点 N，如实留痕。持仓数 15→17（贵州茅台出，中际联合/徐工机械/中材国际入）。最大单票宁德时代 504,400=17.22%N，**未触 30% 单票绝对红线**；结构占比按持仓市值：机械设备（中泰股份/伊之密/九号公司/中际联合/徐工机械五只）1,303,020=26.7%，汽车链（宇通客车/福耀玻璃）10.6%，医药（兴齐眼药/东阿阿胶）10.4%，**均未触 §13.4 的 40%/60% 结构上限**（机械设备由 3 只增至 5 只为当日最大结构变化）。割肉价覆盖 17/17（新增 中际联合 36.9、徐工机械 7.95、中材国际 7），当日割肉触及 0 只。**当日买入命中 §17.3 R1（4 笔 520,645 元，占买入额 96.8%）、R2（2 笔）、R5（净买入加杠杆）**，事后留痕见决策日志 discipline_intervention 行（成交后回报，无事前拦截窗口）。已实现盈亏本行不计（v2.05 起流程不追踪盈亏，§14.1）。"
2026-08-07,2908725.46,4865522,1956796.54,,1.67,248.65,4864522,1000.00,17,17.36,3078731.02,-5.52,user_reported_broker_exact,"用户 2026-08-07 盘后回报精确数：总资产 4,865,522 / 净资产 2,908,725.46 → 负债 1,956,796.54（=总−净）。17 只持仓按当日收盘逐股核算市值 4,864,522 + 现金 1,000 = 4,865,522，与总资产**对账精确到元**。当日 1 笔：中材国际加仓 900@7.81=7,029.00（持股 600→1,500，成本均价仍 7.81；当日为 buy_candidate 弱级、有效段 3/需 2 达标、L2×低估、空间 +56%）。资金来源为**九号公司当日分红**（除权除息日 08-07，税前 6,100×1.23852=7,554.97），推算到账约 7,359.75（=买入 7,029.00 + 负债减少 330.75），与税前差 195.22 为费税/存托费，以对账单为准。**§13.7 融资棘轮：本笔不适用**——资金来自分红而非持仓退出回笼，且当日负债净减少 330.75，非循环滚入。**§14.4 除权除息机械调整（当日必做，非 R4 下调）**：九号公司按差异化分派价格口径每份 1.22 元（=08-06 收盘 42.60 − 除权参考价 41.38）调整——割肉价 41.00→**39.78**、成本价 43.7055→**42.4855**，股数不变。调整后当日最低 39.39 **仍触及** 39.78（盘中触及、收盘 40.09 收回），按 §14.3 第 1 条动作维持 **割肉提醒**；执行与否归用户，用户当日已明示继续持有。杠杆 1.67x、担保比例 248.65%；**总仓位 167.24%N，连续第 5 个交易日在 160%N 包络之外**（超限 210,561）。净资产较 08-06 精确数 2,929,703.71 少 20,978.25（−0.72%），未刷新峰值、**自峰值 3,078,731.02 回撤 −5.52%**，距 −8% 去杠杆线 2,832,432.54 余 76,292.92（2.62%N），持仓再跌 1.57% 即触及。持仓数维持 17。最大单票山西汾酒 504,924=17.36%N，未触 30% 单票红线；按持仓市值结构：机械设备 26.4%、医药 10.6%、汽车链 10.5%、食品饮料 10.4%，均未触 40%/60% 上限。**红线核对：本笔不命中 §17.3 任一条**——有右侧信号且段位达标（非 R1）、买入价 7.81 等于原成本非向下摊平（非 R2）、资金来自分红且负债净减少（非 R5）、割肉价调整属 §14.4 价格口径换算（明文不触发 R4）。已实现盈亏本行不计（v2.05 起流程不追踪盈亏，§14.1）。"
2026-08-17,2844739.33,4973016.16,2128276.83,1900000.00,1.75,233.66,4972481,535.00,4,53.4,3078731.02,-7.60,user_reported_broker_exact,"用户 2026-08-17 回报：总资产 4,973,016.16 / 净资产 2,844,739.33 → 负债 2,128,276.83。持仓由 25 只重置为 4 只（山西汾酒 12300 / 宁德时代 3700 / 九号公司 31263 / 牧原股份 15400，均 08-14 建仓），按 08-14 收盘逐股核算市值 4,972,481 + 现金 535 = 4,973,016，与总资产逐元对上。**总授信额度 1,900,000（用户 2026-08-17 登记）；负债已超额度 228,276.83**——卖出款须先偿还该超额部分才具备买入能力，即当前可用资金 = 535 + max(0, 1,900,000 − 2,128,276.83) = 535 元。担保比例 233.66%，距 130% 强平线尚有约 44% 的组合跌幅空间。止损按 §9.7.5 建仓日 MA60 设定：汾酒 113.54 / 宁德 390.43 / 九号 37.78 / 牧原 37.32，全触发合计亏 37.6 万（净值 −13.2%）。"
2026-08-18,2850195.43,4977998.13,2127802.7,1900000.00,1.75,233.95,4977631.27,0.00,5,,3078731.02,-7.42,user_reported_broker_exact,"用户 2026-08-18 盘后回报：总资产 4,977,998.13／负债 2,127,802.70 → 净资产 2,850,195.43。**用户 2026-08-18 补正：可用资金为 0**，先前按「总资产 − 收盘持仓市值」倒推出的 366.86 元现金不成立，该差额应已用于偿还融资负债（或为券商与我方收盘估值的口径差）。本行现金改记 0.00、持仓市值记 4,977,631.27（五只按收盘逐股核算）。当日成交：买入卫星化学 002648 1,100 股（未报成交价），无卖出；另存入现金 30,000。持仓 4→5 只。杠杆 1.75x、担保比例 233.95%，距 130% 强平线约 44% 组合跌幅。**负债超券商授信额度 227,802.70**——按工作流 §10.2，可用资金 = 现金 + max(0, 1,900,000 − 2,127,802.70) = **0**，不可新增买入、卖出款先偿还超额部分。对当日扫描结论无影响：一档 142,510 元，`--funds` 取 367 或 0 均为买入 0 只。自峰值回撤 −7.42% 仅作事实读出（含当日 30,000 存入的抬升，未按外部现金流调整基线；账户回撤梯已于 2026-08-18 删除，不产生动作）。卫星化学 entry_stop_price 已按 §9.7.5 记为建仓日 MA60 = 24.16。"
2026-08-19,2789489.21,4597454.76,1807965.55,1900000.00,1.65,254.29,,,10,,3078731.02,-9.39,user_reported_broker_exact,"用户 2026-08-19 盘后回报：总资产 4,597,454.76／负债 1,807,965.55 → 净资产 2,789,489.21；剩余可用保证金 61,677.71（券商口径）。当日成交 9 笔：卖出宁德时代 3,700@388.681（盘中跌破止损 390.43 用户先行清仓；08-18 收盘 396.26 未破线，盘中执行属用户裁量）；买入山西汾酒 1,100@118.824、卫星化学 5,300@26.87、江苏银行 12,100@11.94、电投能源 5,100@27.21、紫金矿业 4,200@32.76、陕西煤业 5,500@25.595、宝丰能源 6,000@23.61、中国海油 4,200@33.5，合计买入 1,117,086.90。卖出款 1,438,119.70 − 买入 1,117,086.90 = 321,032.80，负债净减 319,837.15（差 1,195.65 为费税），负债回到授信额度 1,900,000 之内（余量 92,034.45），§10.2 超额偿还义务解除。持仓 4→10 只。六只新建仓 entry_stop_price 按 §9.7.5 成交日（08-19）MA60 写入：江苏银行 11.33／电投能源 26.58／紫金矿业 30.02／陕西煤业 24.12／宝丰能源 22.59／中国海油 31.17（成交价均高于 MA60，无 MA20 退回）；汾酒/卫星加仓不重设止损。杠杆 1.65x、担保比例 254.29%，距 130% 强平线约 49% 组合跌幅。自峰值回撤 −9.39%（仅事实读出，回撤梯已删除）。"
2026-08-20,2786003.29,4590019.04,1804015.75,1900000.00,1.65,254.43,4590019.04,0.00,11,57.0,3078731.02,-9.51,user_reported_broker_exact,"用户 2026-08-21 凌晨回报 08-20 盘后精确数：总资产 4,590,019.04／总负债 1,804,015.75 → 净资产 2,786,003.29。当日成交 2 笔（08-19 信号换仓）：卖出牧原股份 3,500@39.815＝139,352.50，买入格力电器 3,300@41.43＝136,719.00，净回笼 2,633.50；紫金矿业一季度特别分红（10 派 4.20，股权登记日 08-20、除息日 08-21）入账 1,764.00＝4,200×0.42（税前；持股不足 1 月、税在卖出时扣）。负债净减 3,949.80 ＝ 2,633.50 ＋ 1,764.00 − 费税 447.70（推算，以对账单为准），分红款与成交余款均已偿债、现金记 0。11 只持仓按 08-20 收盘逐股核算市值 4,591,416.18，较券商总资产高 1,397.14（0.03%，券商估值口径差，未调）。§10.2 可用资金 = 0 + max(0, 1,900,000 − 1,804,015.75) = 95,984.25。杠杆 1.65x、担保比例 254.43%，距 130% 强平线约 49% 组合跌幅。§11.5 回写：牧原 15,400→11,900（锚 37.32 不变）；格力新行 3,300 股、成本 41.43、entry_stop_price = 成交日 08-20 MA60 39.24（成交价高于 MA60，v4.26 放弃条件未触发）。§11.4 除息日 08-21 调整：紫金矿业 entry_stop_price 30.02→29.60、cost_basis 32.76→32.34，带由建带链按除权事件归一化（IV 42.6431→42.2231）。最大单票山西汾酒 1,587,900 = 57.0%N。自峰值 3,078,731.02 回撤 −9.51%（仅事实读出，回撤梯已删除）。"
