segment_id,segment_start,segment_end,trading_days,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
6,2010-03-05,2010-03-09,3,2010-03-05,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
6,2010-03-05,2010-03-09,3,2010-03-05,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
7,2010-03-10,2010-03-11,2,2010-03-10,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
7,2010-03-10,2010-03-11,2,2010-03-10,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
7,2010-03-10,2010-03-11,2,2010-03-10,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
8,2010-03-12,2010-03-16,3,2010-03-12,000022,深赤湾A,1.0364,15.81,15.2553,15.534000000000034,15.468333333333371,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued,1,1,2010-03-15,15.64,2018-12-20,2011-03-15,2011-03-15,complete,17.39,0.11189258312020622,2013-03-15,2013-03-15,complete,12.75,-0.184782608695651
8,2010-03-12,2010-03-16,3,2010-03-12,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
8,2010-03-12,2010-03-16,3,2010-03-12,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
9,2010-03-17,2010-03-24,6,2010-03-17,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
9,2010-03-17,2010-03-24,6,2010-03-17,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
9,2010-03-17,2010-03-24,6,2010-03-17,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
10,2010-03-25,2010-03-26,2,2010-03-25,000022,深赤湾A,1.0167,15.51,15.2553,15.927500000000029,15.618500000000033,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-03-26,15.8,2018-12-20,2011-03-26,2011-03-28,complete,16.86,0.06708860759493751,2013-03-26,2013-03-26,complete,13.66,-0.1354430379746827
10,2010-03-25,2010-03-26,2,2010-03-25,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
10,2010-03-25,2010-03-26,2,2010-03-25,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
11,2010-03-29,2010-03-29,1,2010-03-29,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
11,2010-03-29,2010-03-29,1,2010-03-29,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
11,2010-03-29,2010-03-29,1,2010-03-29,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
12,2010-03-30,2010-03-30,1,2010-03-30,000022,深赤湾A,1.0449,15.94,15.2553,15.95500000000003,15.674166666666702,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-03-31,16.07,2018-12-20,2011-03-31,2011-03-31,complete,16.27,0.012445550715620257,2013-03-31,2013-04-01,complete,13.25,-0.17548226509022946
12,2010-03-30,2010-03-30,1,2010-03-30,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
12,2010-03-30,2010-03-30,1,2010-03-30,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
13,2010-03-31,2010-04-07,5,2010-03-31,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
13,2010-03-31,2010-04-07,5,2010-03-31,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
13,2010-03-31,2010-04-07,5,2010-03-31,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
14,2010-04-08,2010-04-08,1,2010-04-08,000022,深赤湾A,1.0423,15.9,15.2553,16.002500000000026,15.754666666666704,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-09,16.01,2018-12-20,2011-04-09,2011-04-11,complete,16.81,0.04996876951905138,2013-04-09,2013-04-09,complete,13.6,-0.15053091817613917
14,2010-04-08,2010-04-08,1,2010-04-08,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
14,2010-04-08,2010-04-08,1,2010-04-08,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
15,2010-04-09,2010-04-09,1,2010-04-09,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
15,2010-04-09,2010-04-09,1,2010-04-09,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
15,2010-04-09,2010-04-09,1,2010-04-09,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
16,2010-04-12,2010-04-26,11,2010-04-12,000022,深赤湾A,1.037,15.82,15.2553,15.986000000000024,15.778166666666705,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued_below_ma20,1,1,2010-04-13,15.53,2018-12-20,2011-04-13,2011-04-13,complete,17.56,0.13071474565357444,2013-04-13,2013-04-15,complete,13.08,-0.15775917578879528
16,2010-04-12,2010-04-26,11,2010-04-12,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
16,2010-04-12,2010-04-26,11,2010-04-12,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
17,2010-04-27,2010-07-26,61,2010-04-27,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
17,2010-04-27,2010-07-26,61,2010-04-27,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
17,2010-04-27,2010-07-26,61,2010-04-27,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
18,2010-07-27,2010-07-27,1,2010-07-27,600660,福耀玻璃,0.9488,10.29,10.8458,9.507999999999967,9.48416666666666,2010-04-30,2010-07-27,,,,initial,1,1,2010-07-28,10.57,2026-08-07,2011-07-28,2011-07-28,complete,9.77,-0.03126271336516717,2013-07-28,2013-07-29,complete,7.12,-0.21237969081461694
18,2010-07-27,2010-07-27,1,2010-07-27,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
18,2010-07-27,2010-07-27,1,2010-07-27,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
19,2010-07-28,2010-08-03,5,2010-07-28,600660,福耀玻璃,0.9746,10.57,10.8458,9.591499999999966,9.47516666666666,2010-04-30,2010-07-27,2010-07-28,9.47516666666666,9.47516666666666,continued,1,2,2010-07-29,10.51,2026-08-07,2011-07-29,2011-07-29,complete,9.82,-0.020746322060576694,2013-07-29,2013-07-29,complete,7.12,-0.207883285624215
19,2010-07-28,2010-08-03,5,2010-07-28,000651,格力电器,1.0037,14.94,14.8856,13.467833333333402,13.440388888888911,2010-04-30,2010-07-28,,,,initial,2,2,2010-07-29,14.85,2026-08-07,2011-07-29,2011-07-29,complete,23.17,0.5821116751588058,2013-07-29,2013-07-29,complete,25.0,0.8155731667719792
19,2010-07-28,2010-08-03,5,2010-07-28,,无合格标的,,,,,,,,,,,,3,2,,,,,,,,,,,,,
20,2010-08-04,2010-08-04,1,2010-08-04,600660,福耀玻璃,0.9792,10.62,10.8458,10.070499999999967,9.487499999999992,2010-04-30,2010-07-27,2010-07-28,9.47516666666666,9.47516666666666,continued,1,3,2010-08-05,10.94,2026-08-07,2011-08-05,2011-08-05,complete,9.71,-0.06977427081952436,2013-08-05,2013-08-05,complete,7.32,-0.21764176393177348
20,2010-08-04,2010-08-04,1,2010-08-04,000022,深赤湾A,0.9946,13.32,13.3919,12.592500000000019,12.575166666666705,2010-04-30,2010-08-04,,,,initial,2,3,2010-08-05,13.44,2018-12-20,2011-08-05,2011-08-05,complete,12.83,-0.0453869047619041,2013-08-05,2013-08-05,complete,10.6,-0.21130952380952372
20,2010-08-04,2010-08-04,1,2010-08-04,000651,格力电器,1.0084,15.01,14.8856,14.187500000000078,13.50561111111113,2010-04-30,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued,3,3,2010-08-05,14.62,2026-08-07,2011-08-05,2011-08-05,complete,22.05,0.5293214378503364,2013-08-05,2013-08-05,complete,26.19,0.931916386814523
21,2010-08-05,2010-08-05,1,2010-08-05,000933,神火股份,0.8735,19.78,22.6453,18.89749999999999,18.88644047619048,2010-08-06,2010-08-05,,,,initial,1,5,2010-08-06,20.12,2026-08-07,2011-08-06,2011-08-08,complete,15.93,0.27771236125630816,2013-08-06,2013-08-06,complete,4.95,-0.5980423087454452
21,2010-08-05,2010-08-05,1,2010-08-05,601088,中国神华,0.9407,23.42,24.8961,22.920499999999976,22.843,2010-04-30,2010-08-05,,,,initial,2,5,2010-08-06,23.83,2026-08-07,2011-08-06,2011-08-08,complete,27.41,0.18181897804431424,2013-08-06,2013-08-06,complete,16.38,-0.22258966480101672
21,2010-08-05,2010-08-05,1,2010-08-05,000651,格力电器,0.9822,14.62,14.8856,14.263500000000079,13.532611111111137,2010-04-30,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued,3,5,2010-08-06,14.77,2026-08-07,2011-08-06,2011-08-08,complete,21.25,0.45886798699991904,2013-08-06,2013-08-06,complete,26.48,0.9334711041933963
22,2010-08-06,2010-08-11,4,2010-08-06,000933,神火股份,0.8885,20.12,22.6453,19.06349999999999,18.899095238095242,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,5,2010-08-09,20.6,2026-08-07,2011-08-09,2011-08-09,complete,16.09,0.26047466427572585,2013-08-09,2013-08-09,complete,5.27,-0.5820286486007703
22,2010-08-06,2010-08-11,4,2010-08-06,601088,中国神华,0.9572,23.83,24.8961,23.002999999999975,22.852833333333333,2010-04-30,2010-08-05,2010-08-06,22.852833333333333,22.852833333333333,continued,2,5,2010-08-09,23.98,2026-08-07,2011-08-09,2011-08-09,complete,27.4,0.1739979825736615,2013-08-09,2013-08-09,complete,16.16,-0.23782862720685294
22,2010-08-06,2010-08-11,4,2010-08-06,000022,深赤湾A,0.973,13.03,13.3919,12.725500000000018,12.581833333333371,2010-04-30,2010-08-04,2010-08-05,12.582666666666706,12.581833333333371,continued,3,5,2010-08-09,13.0,2018-12-20,2011-08-09,2011-08-09,complete,11.79,-0.0930769230769225,2013-08-09,2013-08-09,complete,10.36,-0.20307692307692304
23,2010-08-12,2010-08-13,2,2010-08-12,000933,神火股份,0.8452,19.14,22.6453,19.609999999999992,18.907857142857143,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued_below_ma20,1,4,2010-08-13,19.44,2026-08-07,2011-08-13,2011-08-15,complete,16.88,0.4012688850884736,2013-08-13,2013-08-13,complete,5.75,-0.516746837705871
23,2010-08-12,2010-08-13,2,2010-08-12,000022,深赤湾A,0.9483,12.7,13.3919,12.867500000000016,12.566000000000038,2010-04-30,2010-08-04,2010-08-05,12.582666666666706,12.566000000000038,continued_below_ma20,2,4,2010-08-13,12.88,2018-12-20,2011-08-13,2011-08-15,complete,12.36,-0.04037267080745288,2013-08-13,2013-08-13,complete,10.63,-0.1746894409937888
23,2010-08-12,2010-08-13,2,2010-08-12,000651,格力电器,0.9586,14.27,14.8856,14.578000000000081,13.656722222222264,2010-04-30,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued_below_ma20,3,4,2010-08-13,14.4,2026-08-07,2011-08-13,2011-08-15,complete,22.0,0.5491652408357968,2013-08-13,2013-08-13,complete,27.16,1.034077397392986
24,2010-08-16,2010-08-16,1,2010-08-16,000933,神火股份,0.881,19.95,22.6453,19.77949999999999,18.92661904761905,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,5,2010-08-17,20.25,2026-08-07,2011-08-17,2011-08-17,complete,16.69,0.3300764564242631,2013-08-17,2013-08-19,complete,5.97,-0.5183268654365023
24,2010-08-16,2010-08-16,1,2010-08-16,601088,中国神华,0.9612,23.93,24.8961,23.377499999999976,22.826,2010-04-30,2010-08-16,,,,initial,2,5,2010-08-17,24.54,2026-08-07,2011-08-17,2011-08-17,complete,27.29,0.14260190507908543,2013-08-17,2013-08-19,complete,16.72,-0.22941212778648923
24,2010-08-16,2010-08-16,1,2010-08-16,000651,格力电器,0.9943,14.8,14.8856,14.697000000000081,13.720833333333374,2010-04-30,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued,3,5,2010-08-17,15.44,2026-08-07,2011-08-17,2011-08-17,complete,21.78,0.43036914982869945,2013-08-17,2013-08-19,complete,28.0,0.9557391780927165
25,2010-08-17,2010-08-17,1,2010-08-17,000933,神火股份,0.8942,20.25,22.6453,19.82849999999999,18.947750000000003,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,4,2010-08-18,20.39,2026-08-07,2011-08-18,2011-08-18,complete,16.18,0.2805796276535879,2013-08-18,2013-08-19,complete,5.97,-0.5216340865664135
25,2010-08-17,2010-08-17,1,2010-08-17,601088,中国神华,0.9857,24.54,24.8961,23.462999999999976,22.846833333333336,2010-04-30,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued,2,4,2010-08-18,24.4,2026-08-07,2011-08-18,2011-08-18,complete,26.07,0.09778469425118863,2013-08-18,2013-08-19,complete,16.72,-0.2249907219623134
25,2010-08-17,2010-08-17,1,2010-08-17,600660,福耀玻璃,1.0203,11.35,11.1247,10.724999999999968,9.711333333333325,2010-08-10,2010-07-27,2010-07-28,9.47516666666666,9.47516666666666,continued,3,4,2010-08-18,11.59,2026-08-07,2011-08-18,2011-08-18,complete,9.18,-0.16987081088395395,2013-08-18,2013-08-19,complete,7.47,-0.2463858129025821
26,2010-08-18,2010-08-18,1,2010-08-18,000933,神火股份,0.9004,20.39,22.6453,19.89199999999999,18.963,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,4,2010-08-19,21.1,2026-08-07,2011-08-19,2011-08-19,complete,16.04,0.2267814646542181,2013-08-19,2013-08-19,complete,5.97,-0.5377307594828991
26,2010-08-18,2010-08-18,1,2010-08-18,601088,中国神华,0.9801,24.4,24.8961,23.542999999999978,22.861666666666668,2010-04-30,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued,2,4,2010-08-19,25.71,2026-08-07,2011-08-19,2011-08-19,complete,25.59,0.022666843839283635,2013-08-19,2013-08-19,complete,16.72,-0.26447972057100133
26,2010-08-18,2010-08-18,1,2010-08-18,600309,万华化学,1.0262,17.49,17.0441,16.495500000000046,16.455666666666684,2010-08-18,2010-08-18,,,,initial,3,4,2010-08-19,17.29,2026-08-07,2011-08-19,2011-08-19,complete,16.77,0.28243221817028674,2013-08-19,2013-08-19,complete,17.49,0.44918968335260656
27,2010-08-19,2010-08-20,2,2010-08-19,000933,神火股份,0.9318,21.1,22.6453,19.974999999999987,18.971988095238096,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,4,2010-08-20,20.15,2026-08-07,2011-08-20,2011-08-22,complete,16.06,0.2862215670548083,2013-08-20,2013-08-20,complete,5.78,-0.5313421363643311
27,2010-08-19,2010-08-20,2,2010-08-19,600309,万华化学,1.0144,17.29,17.0441,16.54450000000005,16.433166666666683,2010-08-18,2010-08-18,2010-08-19,16.433166666666683,16.433166666666683,continued,2,4,2010-08-20,16.68,2026-08-07,2011-08-20,2011-08-22,complete,16.29,0.29128286715799345,2013-08-20,2013-08-20,complete,17.36,0.4910221390396827
27,2010-08-19,2010-08-20,2,2010-08-19,600660,福耀玻璃,1.031,11.47,11.1247,10.846499999999967,9.768333333333324,2010-08-10,2010-07-27,2010-07-28,9.47516666666666,9.47516666666666,continued,3,4,2010-08-20,11.09,2026-08-07,2011-08-20,2011-08-22,complete,9.12,-0.13811418761414007,2013-08-20,2013-08-20,complete,7.4,-0.21978899221053572
28,2010-08-23,2010-08-23,1,2010-08-23,600309,万华化学,0.9845,16.78,17.0441,16.61650000000005,16.396666666666682,2010-08-18,2010-08-18,2010-08-19,16.433166666666683,16.396666666666682,continued,1,4,2010-08-24,16.71,2026-08-07,2011-08-24,2011-08-24,complete,16.51,0.3063723331546633,2013-08-24,2013-08-26,complete,17.31,0.4840585503818142
28,2010-08-23,2010-08-23,1,2010-08-23,600660,福耀玻璃,0.9915,11.03,11.1247,10.928999999999967,9.81199999999999,2010-08-10,2010-07-27,2010-07-28,9.47516666666666,9.47516666666666,continued,2,4,2010-08-24,11.15,2026-08-07,2011-08-24,2011-08-24,complete,9.2,-0.13523242008787173,2013-08-24,2013-08-26,complete,7.43,-0.22084144021886176
28,2010-08-23,2010-08-23,1,2010-08-23,601088,中国神华,0.9937,24.74,24.8961,23.836999999999975,22.926166666666667,2010-04-30,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued,3,4,2010-08-24,24.5,2026-08-07,2011-08-24,2011-08-24,complete,25.6,0.07359343590969747,2013-08-24,2013-08-26,complete,16.81,-0.2239993518283131
29,2010-08-24,2010-08-24,1,2010-08-24,000933,神火股份,0.8876,20.1,22.6453,20.05049999999999,18.975666666666665,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,5,2010-08-25,19.5,2026-08-07,2011-08-25,2011-08-25,complete,16.87,0.39612970718690943,2013-08-25,2013-08-26,complete,6.07,-0.49142243252408413
29,2010-08-24,2010-08-24,1,2010-08-24,600309,万华化学,0.9804,16.71,17.0441,16.65650000000005,16.374000000000013,2010-08-18,2010-08-18,2010-08-19,16.433166666666683,16.374000000000013,continued,2,5,2010-08-25,16.08,2026-08-07,2011-08-25,2011-08-25,complete,17.29,0.4216912800039756,2013-08-25,2013-08-26,complete,17.31,0.5422026353781169
29,2010-08-24,2010-08-24,1,2010-08-24,601088,中国神华,0.9841,24.5,24.8961,23.918499999999977,22.936333333333334,2010-04-30,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued,3,5,2010-08-25,23.79,2026-08-07,2011-08-25,2011-08-25,complete,26.96,0.16437108601150907,2013-08-25,2013-08-26,complete,16.81,-0.20084002184925054
30,2010-08-25,2010-08-31,5,2010-08-25,000933,神火股份,0.8611,19.5,22.6453,20.05999999999999,18.957333333333334,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued_below_ma20,1,4,2010-08-26,19.7,2026-08-07,2011-08-26,2011-08-26,complete,16.81,0.3770407245834313,2013-08-26,2013-08-26,complete,6.07,-0.4965856565593726
30,2010-08-25,2010-08-31,5,2010-08-25,601088,中国神华,0.9556,23.79,24.8961,23.915499999999977,22.936333333333334,2010-04-30,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued_below_ma20,2,4,2010-08-26,23.91,2026-08-07,2011-08-26,2011-08-26,complete,26.84,0.15337066666911525,2013-08-26,2013-08-26,complete,16.81,-0.20485086239203987
30,2010-08-25,2010-08-31,5,2010-08-25,600660,福耀玻璃,0.96,10.68,11.1247,10.977499999999967,9.851833333333323,2010-08-10,2010-07-27,2010-07-28,9.47516666666666,9.47516666666666,continued_below_ma20,3,4,2010-08-26,10.68,2026-08-07,2011-08-26,2011-08-26,complete,9.44,-0.07362424288358005,2013-08-26,2013-08-26,complete,7.43,-0.1865526271947855
31,2010-09-01,2010-09-01,1,2010-09-01,000933,神火股份,0.8819,19.97,22.6453,19.974999999999987,18.9475,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued_below_ma20,1,5,2010-09-02,20.12,2026-08-07,2011-09-02,2011-09-02,endpoint_quote_missing,,,2013-09-02,2013-09-02,complete,5.86,-0.5241470564137998
31,2010-09-01,2010-09-01,1,2010-09-01,601088,中国神华,0.9367,23.74,25.3441,23.935499999999976,23.013833333333334,2010-08-28,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued_below_ma20,2,5,2010-09-02,23.85,2026-08-07,2011-09-02,2011-09-02,complete,26.48,0.14076336065378525,2013-09-02,2013-09-02,complete,16.72,-0.20711839060295323
31,2010-09-01,2010-09-01,1,2010-09-01,600309,万华化学,0.9751,16.62,17.0441,16.51600000000005,16.20566666666668,2010-08-18,2010-09-01,,,,initial,3,5,2010-09-02,,2026-08-07,2011-09-02,2011-09-02,execution_quote_missing,16.85,,2013-09-02,2013-09-02,execution_quote_missing,17.15,
32,2010-09-02,2010-09-02,1,2010-09-02,000933,神火股份,0.8885,20.12,22.6453,19.96749999999999,18.956833333333332,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,1,3,2010-09-03,19.89,2026-08-07,2011-09-03,2011-09-05,complete,14.8,0.20080428573557074,2013-09-03,2013-09-03,complete,5.95,-0.5112516512450013
32,2010-09-02,2010-09-02,1,2010-09-02,601088,中国神华,0.941,23.85,25.3441,23.956999999999976,23.035666666666668,2010-08-28,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued_below_ma20,2,3,2010-09-03,23.63,2026-08-07,2011-09-03,2011-09-05,complete,25.63,0.11442501285765538,2013-09-03,2013-09-03,complete,16.97,-0.18777084281165513
32,2010-09-02,2010-09-02,1,2010-09-02,000651,格力电器,0.9973,14.98,15.0207,15.073500000000074,14.11500000000003,2010-08-19,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued_below_ma20,3,3,2010-09-03,15.35,2026-08-07,2011-09-03,2011-09-05,complete,20.15,0.3310802081164188,2013-09-03,2013-09-03,complete,26.0,0.8266913346987901
33,2010-09-03,2010-09-07,3,2010-09-03,000933,神火股份,0.8783,19.89,22.6453,19.972999999999992,18.972166666666666,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued_below_ma20,1,4,2010-09-06,20.47,2026-08-07,2011-09-06,2011-09-06,complete,14.5,0.14312956345993277,2013-09-06,2013-09-06,complete,5.82,-0.5354758872200029
33,2010-09-03,2010-09-07,3,2010-09-03,601088,中国神华,0.9324,23.63,25.3441,23.946999999999978,23.056333333333335,2010-08-28,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued_below_ma20,2,4,2010-09-06,24.47,2026-08-07,2011-09-06,2011-09-06,complete,25.65,0.0770090847235636,2013-09-06,2013-09-06,complete,17.02,-0.2133418592395262
33,2010-09-03,2010-09-07,3,2010-09-03,600309,万华化学,0.9763,16.64,17.0441,16.523000000000053,16.189333333333348,2010-08-18,2010-09-01,2010-09-03,16.189333333333348,16.189333333333348,continued,3,4,2010-09-06,17.22,2026-08-07,2011-09-06,2011-09-06,complete,15.7,0.20548790155730945,2013-09-06,2013-09-06,complete,16.47,0.370221789675379
34,2010-09-08,2010-09-15,6,2010-09-08,601088,中国神华,0.956,24.23,25.3441,24.088999999999977,23.1335,2010-08-28,2010-08-16,2010-08-17,22.846833333333336,22.846833333333336,continued,1,3,2010-09-09,23.72,2026-08-07,2011-09-09,2011-09-09,complete,25.79,0.11712719429595597,2013-09-09,2013-09-09,complete,17.44,-0.1684425652270778
34,2010-09-08,2010-09-15,6,2010-09-08,000933,神火股份,0.9671,21.9,22.6453,20.127999999999993,19.073666666666668,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued,2,3,2010-09-09,20.99,2026-08-07,2011-09-09,2011-09-09,complete,14.94,0.14863873020167517,2013-09-09,2013-09-09,complete,5.92,-0.5392000867329172
34,2010-09-08,2010-09-15,6,2010-09-08,000651,格力电器,1.0186,15.3,15.0207,15.223000000000077,14.242222222222246,2010-08-19,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued,3,3,2010-09-09,14.7,2026-08-07,2011-09-09,2011-09-09,complete,19.79,0.3651048660248051,2013-09-09,2013-09-09,complete,25.8,0.8927906051301981
35,2010-09-16,2010-09-17,2,2010-09-16,000933,神火股份,0.8721,19.75,22.6453,20.352499999999992,19.167833333333334,2010-08-06,2010-08-05,2010-08-06,18.899095238095242,18.899095238095242,continued_below_ma20,1,4,2010-09-17,19.83,2026-08-07,2011-09-17,2011-09-19,complete,14.52,0.18165092465835597,2013-09-17,2013-09-17,complete,5.39,-0.5559118634459117
35,2010-09-16,2010-09-17,2,2010-09-16,000651,格力电器,0.934,14.03,15.0207,15.05100000000008,14.34472222222223,2010-08-19,2010-07-28,2010-07-29,13.444333333333354,13.444333333333354,continued_below_ma20,2,4,2010-09-17,13.87,2026-08-07,2011-09-17,2011-09-19,complete,19.33,0.4131652458449424,2013-09-17,2013-09-17,complete,25.83,1.008390440464729
