valuation_batch_id,batch_sequence,quality_tier_scope,strategy_family,strategy_method_note,stock_count,security_codes,security_names,valuation_review_status,valuation_label_set,batch_note,created_at_utc
VAL-011,11,L2,C,GARP成长：用2-3年收入利润增速、现金流转化、竞争壁垒和PEG判断；高PE可被高确定性增长消化。,10,688029;300685;688301;688777;300357;688050;688356;601100;688187;002595,南微医学;艾德生物;奕瑞科技;中控技术;我武生物;爱博医疗;键凯科技;恒立液压;时代电气;豪迈科技,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：较低估:3, 中性:3, 较高估:2, 高估:2。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-012,12,L2,C,GARP成长：用2-3年收入利润增速、现金流转化、竞争壁垒和PEG判断；高PE可被高确定性增长消化。,2,002050;600150,三花智控;中国船舶,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:2。后续需逐股打开PDF研报复核预测假设。,2026-06-14T19:00:45Z
VAL-013,13,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,600312;300408;688002;002916;002130;600183;300661;300476;002938;000063,平高电气;三环集团;睿创微纳;深南电路;沃尔核材;生益科技;圣邦股份;胜宏科技;鹏鼎控股;中兴通讯,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：较低估:2, 中性:3, 较高估:2, 高估:3。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-014,14,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,603019;601138;600563;688200;002475;600584;002025;002384;300570;688347,中科曙光;工业富联;法拉电子;华峰测控;立讯精密;长电科技;航天电器;东山精密;太辰光;华虹公司,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：较低估:1, 中性:2, 较高估:2, 高估:5。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-015,15,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,688702;688082;002028;300054;002463;688019;688120;688385;300604;002049,盛科通信;盛美上海;思源电气;鼎龙股份;沪电股份;安集科技;华海清科;复旦微电;长川科技;紫光国微,reviewed_initial_valuation,高估/较高估/中性/较低估/低估,"已完成初始估值复核；行情取2026-06-12腾讯收盘后字段，财务取本地Eastmoney F10 2026Q1/2025年报指标，研报取深度审查记录。标签分布：中性:4, 较高估:3, 高估:3。后续需逐股打开PDF研报复核预测假设。",2026-06-14T19:00:45Z
VAL-016,16,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,688072;688375;688809;002179;002222;688213;603501;688146;000733;002409,拓荆科技;国博电子;强一股份;中航光电;福晶科技;思特威;豪威集团;中船特气;振华科技;雅克科技,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-017,17,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,300666;688396;688114;688582;688506;688498;002156;603530;688234;603606,江丰电子;华润微;华大智造;芯动联科;百利天恒;源杰科技;通富微电;神马电力;天岳先进;东方电缆,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-018,18,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,10,688126;600885;688361;002270;688268;688037;600862;688017;600372;600765,沪硅产业;宏发股份;中科飞测;华明装备;华特气体;芯源微;中航高科;绿的谐波;中航机载;中航重机,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-019,19,L2,D,产业链爆发/瓶颈：核实需求票、瓶颈票、利润票，用2-3年正常化利润和订单/产能/客户验证判断。,9,300395;688563;688122;688281;300699;000738;600893;000768;600316,菲利华;航材股份;西部超导;华秦科技;光威复材;航发控制;航发动力;中航西飞;洪都航空,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-020,20,L2,E,落难白马：区分杀估值/杀业绩/杀逻辑，用历史分位、现金流、利润预期止跌和右侧信号判断。,4,300059;002027;300033;000786,东方财富;分众传媒;同花顺;北新建材,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-021,21,L2,F,垄断资源/周期资源：用中枢商品价格、成本曲线、储量/NAV、穿越周期现金流判断，避免把顶部利润永久化。,10,000960;600111;603993;603505;000657;300487;000792;601225;600309;002460,锡业股份;北方稀土;洛阳钼业;金石资源;中钨高新;蓝晓科技;盐湖股份;陕西煤业;万华化学;赣锋锂业,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-022,22,L2,F,垄断资源/周期资源：用中枢商品价格、成本曲线、储量/NAV、穿越周期现金流判断，避免把顶部利润永久化。,4,001280;002466;000408;002738,中国铀业;天齐锂业;藏格矿业;中矿资源,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
VAL-023,23,L2,G,股东回报型低估：核实现金和经营现金流、分红回购、负债和治理，用现金+保守业务价值判断。,10,600941;601728;003816;601766;601985;601021;600674;002142;601128;601658,中国移动;中国电信;中国广核;中国中车;中国核电;春秋航空;川投能源;宁波银行;常熟银行;邮储银行,pending,高估/较高估/中性/较低估/低估,逐股使用公告、定期报告、财务数据和权威研报更新估值；不得用统一PE阈值替代策略-specific估值。,2026-06-14T19:00:45Z
