security_code,security_name,garbage_subtype,priority,verification_task,current_reason,evidence_basis,required_evidence,outcome_rule,deadline,queued_at_utc
002431,ST棕榈,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；国资入主但主业未转型仍连亏,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002620,*ST瑞和,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002663,普邦股份,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林工程行业商业模式结构性破损（垫资/地产与政府应收/低门槛），适用相对龙头；公司未实质转型连年亏损,round1轻量初筛（园林工程行业结构口径，需核验城市服务转型占比）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002713,*ST东易,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002717,*ST岭南,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损，适用相对龙头；国资入主但主业未转型，债券违约连亏,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002775,文科股份,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；转型未实质落地,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002822,ST中装,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
002856,*ST美芝,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300197,节能铁汉,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；央企入主未改模式,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300355,蒙草生态,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；主业未转型,round1轻量初筛（园林工程行业结构口径，需核验种业转型占比）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300506,ST名家汇,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
300536,农尚环境,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林工程行业商业模式结构性破损（垫资/地产与政府应收/低门槛），适用行业内公司；转型未实质落地,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
603828,*ST利达,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z
