priority,priority_reason,severity,security_code,security_name,quality_tier,strategy_tag,valuation_tier,fair_price_low,fair_price_high,band_derivation,violations,fair_price_basis,queued_at
2,当前可买,blocking,000568,泸州老窖,L1,A-DCF/现金流复利型,较低估,88,109,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径120.0-150.0与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,000651,格力电器,L2,A-DCF/现金流复利型,较低估,42.8,53.5,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径32.5-40.6与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,000725,京东方A,L2,D-产业链爆发/关键瓶颈型,中性,6.68,8.50,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径5.1-6.3与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,000733,振华科技,L2,D-产业链爆发/关键瓶颈型,中性,41.5,52.8,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径57.8-72.2与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,000792,盐湖股份,L2,F-垄断资源型,较低估,28.4,35.6,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径20.4-24.9与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,000951,中国重汽,L2,C-GARP成长型,较低估,23.9,29.8,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径34.3-51.5与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002142,宁波银行,L2,G-股东回报型低估,较低估,34.4,43.0,fallback,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
2,当前可买,blocking,002158,汉钟精机,L2,C-GARP成长型,中性,32.5,41.3,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径19.7-29.5与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002311,海大集团,L2,C-GARP成长型,较低估,50.3,62.9,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径94.6-141.9与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002352,顺丰控股,L2,C-GARP成长型,较低估,35.9,44.8,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径25.6-38.4与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002410,广联达,L2,E-落难白马型,较低估,9.44,11.80,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径7.4-9.6与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002466,天齐锂业,L2,F-垄断资源型,较低估,53.5,66.9,fallback,检查6 band_derivation=fallback（档位反推带，较低估） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径38.5-49.0与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002648,卫星化学,L2,F-垄断资源型,较低估,25.4,31.8,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径17.8-22.3与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002683,广东宏大,L2,F-垄断资源型,较低估,32.0,40.1,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
2,当前可买,blocking,002690,美亚光电,L2,C-GARP成长型,较低估,16.1,20.1,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径10.2-15.3与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002714,牧原股份,L2,F-垄断资源型,较低估,42.7,53.4,fallback,检查6 band_derivation=fallback（档位反推带，较低估） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径30.3-36.4与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002738,中矿资源,L2,F-垄断资源型,较低估,58.0,72.5,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径37.4-49.9与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002821,凯莱英,L2,C-GARP成长型,中性,146,185,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径102.4-153.7与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,002906,华阳集团,L2,C-GARP成长型,较低估,27.6,34.5,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径40.3-60.5与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,300012,华测检测,L2,C-GARP成长型,较低估,15.15,18.94,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径9.5-14.2与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,300014,亿纬锂能,L2,C-GARP成长型,较低估,61.5,76.9,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径99.9-149.9与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,300037,新宙邦,L2,C-GARP成长型,中性,63.9,81.3,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径45.0-67.4与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,300415,伊之密,L2,C-GARP成长型,较低估,23.2,29.0,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径30.2-45.3与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,300435,中泰股份,L2,G-股东回报型低估,中性,18.1,23.0,fallback,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按中性档标准带0.88-1.12×估值价换算,2026-08-01
2,当前可买,blocking,300487,蓝晓科技,L2,C-GARP成长型,中性,71.2,90.6,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径49.2-73.8与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,300573,兴齐眼药,L2,C-GARP成长型,较低估,45.5,56.8,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径87.6-131.5与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600031,三一重工,L2,C-GARP成长型,较低估,21.1,26.4,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径26.2-39.3与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600150,中国船舶,L2,D-产业链爆发/关键瓶颈型,低估,41.5,51.9,fallback,检查6 band_derivation=fallback（档位反推带，较低估） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径32.4-40.5与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600161,天坛生物,L1,C-GARP成长型,中性,10.63,13.53,fallback,检查6 band_derivation=fallback（档位反推带，中性） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径13.3-16.7与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600298,安琪酵母,L2,A-DCF/现金流复利型,低估,47.5,62.1,fallback,检查6 band_derivation=fallback（档位反推带，低估（精确复算为 1.3-1.7×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按低估档标准带1.30-1.70×估值价换算（锚点口径35.6-44.4与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600309,万华化学,L2,F-垄断资源型,较低估,77.0,96.2,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径63.2-73.8与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600809,山西汾酒,L1,A-DCF/现金流复利型,较低估,124,154,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径201.0-251.2与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,600900,长江电力,L1,G-股东回报型低估,中性,24.7,31.4,fallback,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按中性档标准带0.88-1.12×估值价换算,2026-08-01
2,当前可买,blocking,600970,中材国际,L2,G-股东回报型低估,较低估,8.11,10.14,fallback,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
2,当前可买,blocking,601225,陕西煤业,L2,F-垄断资源型,较低估,25.7,32.1,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径19.6-22.7与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,603031,安孚科技,L2,A-DCF/现金流复利型,较低估,41.9,53.4,fallback,检查6 band_derivation=fallback（档位反推带，中性） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算,2026-08-01
2,当前可买,blocking,605305,中际联合,L2,C-GARP成长型,较低估,47.7,59.7,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径63.7-95.6与档位不符，按档位标准带）,2026-08-01
2,当前可买,blocking,688301,奕瑞科技,L2,C-GARP成长型,中性,93,118,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径66.4-99.7与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000157,中联重科,L3,C-GARP成长型,中性,6.39,8.13,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径14.5-21.8与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000338,潍柴动力,L2,C-GARP成长型,中性,24.3,30.9,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径29.1-43.7与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000403,派林生物,L2,C-GARP成长型,中性,8.11,10.33,fallback,检查6 band_derivation=fallback（档位反推带，中性） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径4.2-6.4与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000425,徐工机械,L2,C-GARP成长型,中性,7.42,9.44,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径16.9-25.3与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000657,中钨高新,L2,F-垄断资源型,中性,37.4,58.3,fallback,检查6 band_derivation=fallback（档位反推带，高估） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按高估档标准带0.50-0.78×估值价换算（锚点口径54.9-76.8与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000661,长春高新,L2,E-落难白马型,中性,61.2,77.8,fallback,检查6 band_derivation=fallback（档位反推带，中性） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算,2026-08-01
3,其余,blocking,000786,北新建材,L2,A-DCF/现金流复利型,较低估,19.3,24.2,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
3,其余,blocking,000893,亚钾国际,L2,F-垄断资源型,中性,44.4,55.5,fallback,检查6 band_derivation=fallback（档位反推带，较低估） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算（锚点口径32.5-41.2与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,000998,隆平高科,L2,C-GARP成长型,中性,6.89,8.77,fallback,检查6 band_derivation=fallback（档位反推带，中性） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径7.5-11.3与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,002001,新和成,L2,C-GARP成长型,中性,25.3,32.1,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径31.2-39.0与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,002007,华兰生物,L2,C-GARP成长型,中性,11.26,14.34,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径6.0-9.0与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,002027,分众传媒,L2,A-DCF/现金流复利型,较低估,5.39,6.73,fallback,检查6 band_derivation=fallback（档位反推带，较低估（精确复算为 1.12-1.4×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按较低估档标准带1.12-1.40×估值价换算,2026-08-01
3,其余,blocking,002032,苏泊尔,L2,G-股东回报型低估,中性,41.5,51.9,,检查2 标签 G 自 v1.28 起不是主标签（已降为股东回报上限（通用校验二）），须按 §6.5.0 重贴,按原G法带倍数以保守26E归母19.4亿等比重推（新带=原带×19.4/22.2）；19.4亿=H1快报8.68亿÷2025年H1占比44.8%（即H2与H1同幅-7.7%、H2/H1=1.23季节性不变）；带低41.5对应市值约332亿、17.1x·26E，全额分红下股息率约5.8%,2026-08-01
3,其余,blocking,002130,沃尔核材,L2,D-产业链爆发/关键瓶颈型,中性,15.51,19.73,fallback,检查6 band_derivation=fallback（档位反推带，中性（精确复算为 0.88-1.12×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按中性档标准带0.88-1.12×估值价换算（锚点口径24.7-30.9与档位不符，按档位标准带）,2026-08-01
3,其余,blocking,002153,石基信息,L2,E-落难白马型,高估,3.87,6.04,fallback,检查6 band_derivation=fallback（档位反推带，高估（精确复算为 0.5-0.78×估值当日现价）） | 检查1 建带卡缺槽：anchor_metric/anchor_value/anchor_scope/anchor_basis/multiple_or_rate/multiple_source/band_low_coef/band_high_coef/band_derivation/band_sensitivity,按高估档标准带0.50-0.78×估值价换算,2026-08-01
