ticker,from,to,cik,name,status
NVDA,2018-06-20,,0001045810,NVIDIA CORP,mapped
NWSA,2013-07-01,2013-11-30,0001564708,NEWS CORP,mapped
NYX,2011-11-01,2012-09-22,0001368007,NYSE Euronext,financial
ORCL,2011-11-01,,0001341439,ORACLE CORP,mapped
OXY,2011-11-01,2020-12-23,0000797468,OCCIDENTAL PETROLEUM CORP /DE/,mapped
PCLN,2016-08-16,2018-03-07,0001075531,Booking Holdings Inc.,mapped
PEP,2011-11-01,,0000077476,PEPSICO INC,mapped
PFE,2011-11-01,,0000078003,PFIZER INC,mapped
PG,2011-11-01,,0000080424,PROCTER & GAMBLE Co,mapped
PLTR,2025-03-22,,0001321655,Palantir Technologies Inc.,mapped
PM,2011-11-01,,0001413329,Philip Morris International Inc.,mapped
PYPL,2016-08-16,2026-03-21,0001633917,"PayPal Holdings, Inc.",mapped
QCOM,2011-11-01,,0000804328,QUALCOMM INC/DE,mapped
RF,2011-11-01,2012-09-22,0001281761,REGIONS FINANCIAL CORP,financial
RTN,2011-11-01,2020-04-05,0001047122,RAYTHEON CO/,mapped
RTX,2020-04-09,,0000101829,RTX Corp,mapped
S,2011-11-01,2012-03-22,,,unmapped
SBUX,2012-03-23,,0000829224,STARBUCKS CORP,mapped
SCHW,2022-03-19,,0000316709,SCHWAB CHARLES CORP,financial
SLB,2011-11-01,2021-03-21,0000087347,SLB LIMITED/NV,mapped
SLE,2011-11-01,2012-07-29,,,unmapped
SO,2011-11-01,,0000092122,SOUTHERN CO,mapped
SPG,2012-03-23,,0001063761,SIMON PROPERTY GROUP INC.,financial
T,2011-11-01,,0000732717,AT&T INC.,mapped
TGT,2011-11-01,2026-03-21,0000027419,TARGET CORP,mapped
TMO,2019-12-05,,0000097745,THERMO FISHER SCIENTIFIC INC.,mapped
TMUS,2021-03-22,,0001283699,"T-Mobile US, Inc.",mapped
TSLA,2020-12-24,,0001318605,"Tesla, Inc.",mapped
TWX,2011-11-01,2018-06-14,0001105705,"WARNER MEDIA, LLC",mapped
TXN,2011-11-01,,0000097476,TEXAS INSTRUMENTS INC,mapped
UBER,2025-09-05,2025-09-06,0001543151,"Uber Technologies, Inc",mapped
UBER,2025-09-21,,0001543151,"Uber Technologies, Inc",mapped
UNH,2011-11-01,,0000731766,UNITEDHEALTH GROUP INC,financial
UNP,2012-09-23,,0000100885,UNION PACIFIC CORP,mapped
UPS,2011-11-01,,0001090727,UNITED PARCEL SERVICE INC,mapped
USB,2011-11-01,,0000036104,US BANCORP \DE\,financial
UTX,2011-11-01,2020-04-02,0000101829,RTX Corp,mapped
V,2012-09-23,,0001403161,VISA INC.,mapped
VZ,2011-11-01,,0000732712,VERIZON COMMUNICATIONS INC,mapped
WAG,2011-11-01,2014-09-15,0000104207,WALGREEN CO,mapped
WAG,2014-09-16,2015-01-15,0001618921,"Walgreens Boots Alliance, Inc.",mapped
WBA,2015-01-16,2023-09-16,0001618921,"Walgreens Boots Alliance, Inc.",mapped
WFC,2011-11-01,,0000072971,WELLS FARGO & COMPANY/MN,financial
WMB,2011-11-01,2013-12-19,0000107263,"WILLIAMS COMPANIES, INC.",mapped
WMT,2011-11-01,,0000104169,Walmart Inc.,mapped
WY,2011-11-01,2012-03-22,0000106535,WEYERHAEUSER CO,financial
XOM,2011-11-01,2026-06-30,0000034088,EXXON MOBIL CORP,mapped
XOM,2026-07-01,,0002115436,ExxonMobil Holdings Corp,mapped
XRX,2011-11-01,2012-03-22,0000108772,XEROX CORP,mapped
