ticker,from,to,cik,series,status
GPC,2009-01-01,,0000040987,yahoo:GPC,ok
GR,2009-01-01,2012-07-26,0000042542,yahoo:GR,ok
GT,2009-01-01,2019-02-26,0000042582,yahoo:GT,ok
HAL,2009-01-01,,0000045012,yahoo:HAL,ok
HAS,2009-01-01,,0000046080,yahoo:HAS,ok
HNZ,2009-01-01,2013-06-06,0000046640,tiingo:HNZ,ok
HP,2010-03-01,2020-05-21,0000046765,yahoo:HP,ok
HSY,2009-01-01,,0000047111,yahoo:HSY,ok
HPQ,2009-01-01,,0000047217,yahoo:HPQ,ok
HFC,2018-06-18,2021-06-03,0000048039,,no_price
HRL,2009-03-04,,0000048465,yahoo:HRL,ok
HUBB,2023-10-18,,0000048898,yahoo:HUBB,ok
ITW,2009-01-01,,0000049826,yahoo:ITW,ok
ANDV,2009-01-01,2018-09-30,0000050104,yahoo:ANDV,ok
INTC,2009-01-01,,0000050863,yahoo:INTC,ok
IBM,2009-01-01,,0000051143,yahoo:IBM,ok
IFF,2009-01-01,,0000051253,yahoo:IFF,ok
IP,2009-01-01,,0000051434,yahoo:IP,ok
IPG,2009-01-01,2025-11-27,0000051644,tiingo:IPG,ok
J,2019-12-10,,0000052988,yahoo:J,ok
JEC,2009-01-01,2019-12-09,0000052988,yahoo:J,ok
KSU,2013-05-24,2021-12-13,0000054480,tiingo:KSU,ok
K,2009-01-01,2025-12-10,0000055067,tiingo:K,ok
KMB,2009-01-01,,0000055785,yahoo:KMB,ok
KR,2009-01-01,,0000056873,yahoo:KR,ok
LEG,2009-01-01,2021-12-19,0000058492,tiingo:LEG,ok
LLY,2009-01-01,,0000059478,yahoo:LLY,ok
LOW,2009-01-01,,0000060667,yahoo:LOW,ok
MTW,2009-01-01,2009-08-31,0000061986,yahoo:MTW,ok
MAS,2009-01-01,,0000062996,yahoo:MAS,ok
MAT,2009-01-01,2019-06-06,0000063276,yahoo:MAT,ok
MKC,2009-01-01,,0000063754,yahoo:MKC,ok
MCD,2009-01-01,,0000063908,yahoo:MCD,ok
SPGI,2009-01-01,,0000064040,yahoo:SPGI,ok
MDT,2009-01-01,2014-07-13,0000064670,yahoo:MDT,ok
CVS,2009-01-01,,0000064803,yahoo:CVS,ok
MDP,2009-01-01,2011-01-03,0000065011,,no_price
ETR,2009-01-01,,0000065984,yahoo:ETR,ok
MMM,2009-01-01,,0000066740,yahoo:MMM,ok
MOLX,2009-01-01,2013-12-08,0000067472,yahoo:MOLX,ok
MSI,2009-01-01,,0000068505,yahoo:MSI,ok
MYL,2009-01-01,2014-11-04,0000069499,tiingo:MYL,ok
THC,2009-01-01,2016-04-17,0000070318,yahoo:THC,ok
NYT,2009-01-01,2010-12-19,0000071691,yahoo:NYT,ok
NBL,2009-01-01,2020-10-11,0000072207,tiingo:NBL,ok
NDSN,2022-02-15,,0000072331,yahoo:NDSN,ok
JWN,2009-01-01,2020-06-21,0000072333,tiingo:JWN,ok
ES,2009-03-17,,0000072741,yahoo:ES,ok
XEL,2009-01-01,,0000072903,yahoo:XEL,ok
NUE,2009-01-01,,0000073309,yahoo:NUE,ok
PCAR,2009-01-01,,0000075362,yahoo:PCAR,ok
PKG,2017-07-26,,0000075677,yahoo:PKG,ok
PLL,2009-01-01,2015-08-30,0000075829,,no_price
PH,2009-01-01,,0000076334,yahoo:PH,ok
PNR,2012-10-01,,0000077360,yahoo:PNR,ok
PEP,2009-01-01,,0000077476,yahoo:PEP,ok
PFE,2009-01-01,,0000078003,yahoo:PFE,ok
PVH,2013-02-14,2022-09-18,0000078239,yahoo:PVH,ok
PBI,2009-01-01,2017-02-28,0000078814,yahoo:PBI,ok
PPG,2009-01-01,,0000079879,yahoo:PPG,ok
PCP,2009-01-01,2016-01-31,0000079958,tiingo:PCP,partial
PG,2009-01-01,,0000080424,yahoo:PG,ok
ROL,2018-10-01,,0000084839,yahoo:ROL,ok
RDC,2009-01-01,2014-08-18,0000085408,tiingo:RDC,ok
R,2009-01-01,2017-06-18,0000085961,yahoo:R,ok
SWY,2009-01-01,2015-01-26,0000086144,tiingo:SWY,ok
SLB,2009-01-01,,0000087347,yahoo:SLB,ok
SHW,2009-01-01,,0000089800,yahoo:SHW,ok
SIAL,2009-01-01,2015-11-17,0000090185,tiingo:SIAL,ok
AOS,2017-07-26,,0000091142,yahoo:AOS,ok
SJM,2009-01-01,,0000091419,yahoo:SJM,ok
SNA,2009-01-01,,0000091440,yahoo:SNA,ok
SO,2009-01-01,,0000092122,yahoo:SO,ok
LUV,2009-01-01,,0000092380,yahoo:LUV,ok
CVX,2009-01-01,,0000093410,yahoo:CVX,ok
SWK,2009-01-01,,0000093556,yahoo:SWK,ok
SVU,2009-01-01,2012-04-30,0000095521,yahoo:SVU,ok
SYY,2009-01-01,,0000096021,yahoo:SYY,ok
TFX,2019-01-18,2025-03-23,0000096943,yahoo:TFX,ok
TER,2009-01-01,2013-12-22,0000097210,yahoo:TER,ok
TER,2020-09-21,,0000097210,yahoo:TER,ok
TXN,2009-01-01,,0000097476,yahoo:TXN,ok
TMO,2009-01-01,,0000097745,yahoo:TMO,ok
TIF,2009-01-01,2021-01-06,0000098246,tiingo:TIF,ok
TSN,2009-01-01,,0000100493,yahoo:TSN,ok
UAL,2015-09-03,,0000100517,yahoo:UAL,ok
UNP,2009-01-01,,0000100885,yahoo:UNP,ok
MRO,2009-01-01,2024-11-25,0000101778,tiingo:MRO,ok
RTX,2020-04-03,,0000101829,yahoo:RTX,ok
UTX,2009-01-01,2020-04-02,0000101829,yahoo:RTX,ok
VFC,2009-01-01,2024-03-31,0000103379,yahoo:VFC,ok
WMT,2009-01-01,,0000104169,yahoo:WMT,ok
WBA,2009-01-01,2014-09-15,0000104207,tiingo:WBA,ok
GHC,2009-01-01,2014-09-21,0000104889,yahoo:GHC,ok
EME,2025-09-22,,0000105634,yahoo:EME,ok
WST,2020-05-22,,0000105770,yahoo:WST,ok
WDC,2009-07-01,,0000106040,yahoo:WDC,ok
WHR,2009-01-01,2024-03-17,0000106640,yahoo:WHR,ok
WMB,2009-01-01,,0000107263,yahoo:WMB,ok
XRX,2009-01-01,2019-03-14,0000108772,yahoo:XRX,ok
TJX,2009-01-01,,0000109198,yahoo:TJX,ok
JNJ,2009-01-01,,0000200406,yahoo:JNJ,ok
HRS,2009-01-01,2019-05-31,0000202058,yahoo:LHX,ok
LHX,2019-06-01,,0000202058,yahoo:LHX,ok
STJ,2009-01-01,2017-01-04,0000203077,tiingo:STJ,ok
VAR,2009-01-01,2021-04-19,0000203527,tiingo:VAR,ok
ITT,2009-01-01,2011-10-31,0000216228,yahoo:ITT,ok
TXT,2009-01-01,,0000217346,yahoo:TXT,ok
GWW,2009-01-01,,0000277135,yahoo:GWW,ok
CSX,2009-01-01,,0000277948,yahoo:CSX,ok
MRK,2009-01-01,,0000310158,yahoo:MRK,ok
SYK,2009-01-01,,0000310764,yahoo:SYK,ok
DHR,2009-01-01,,0000313616,yahoo:DHR,ok
CHD,2015-12-29,,0000313927,yahoo:CHD,ok
ESV,2009-01-01,2009-12-22,0000314808,,no_price
ESV,2012-07-31,2016-03-29,0000314808,,no_price
DE,2009-01-01,,0000315189,yahoo:DE,ok
RHI,2009-01-01,2024-06-23,0000315213,yahoo:RHI,ok
RRC,2009-01-01,2018-06-17,0000315852,yahoo:RRC,ok
HOT,2009-01-01,2016-09-22,0000316206,yahoo:HOT,partial
TLAB,2009-01-01,2011-12-20,0000317771,yahoo:TLAB,ok
AMGN,2009-01-01,,0000318154,yahoo:AMGN,ok
KLAC,2009-01-01,,0000319201,yahoo:KLAC,ok
NKE,2009-01-01,,0000320187,yahoo:NKE,ok
AAPL,2009-01-01,,0000320193,yahoo:AAPL,ok
AN,2009-01-01,2017-08-07,0000350698,yahoo:AN,ok
LNT,2016-07-01,,0000352541,yahoo:LNT,ok
UHS,2014-09-22,,0000352915,yahoo:UHS,ok
IGT,2009-01-01,2014-06-19,0000353944,,no_price
FLIR,2009-01-02,2021-05-13,0000354908,tiingo:FLIR,ok
HD,2009-01-01,,0000354950,yahoo:HD,ok
CA,2009-01-01,2018-11-05,0000356028,,no_price
BBWI,2021-08-03,2024-09-30,0000701985,yahoo:BBWI,ok
LB,2009-01-01,2021-08-02,0000701985,yahoo:BBWI,ok
NSC,2009-01-01,,0000702165,yahoo:NSC,ok
LSI,2009-01-01,2014-05-06,0000703360,tiingo:LSI,ok
LRCX,2012-06-05,,0000707549,yahoo:LRCX,ok
COO,2016-09-23,,0000711404,yahoo:COO,ok
EA,2009-01-01,,0000712515,yahoo:EA,partial
D,2009-01-01,,0000715957,yahoo:D,ok
MUR,2009-01-01,2017-07-25,0000717423,yahoo:MUR,ok
ATVI,2015-08-31,2023-10-17,0000718877,tiingo:ATVI,ok
WSM,2025-03-24,,0000719955,yahoo:WSM,ok
SII,2009-01-01,2010-08-26,0000721083,yahoo:SII,partial
CAH,2009-01-01,,0000721371,yahoo:CAH,ok
TSS,2009-01-01,2019-09-22,0000721683,tiingo:TSS,ok
MU,2009-01-01,,0000723125,yahoo:MU,ok
CTAS,2009-01-01,,0000723254,yahoo:CTAS,ok
PAYX,2009-01-01,,0000723531,yahoo:PAYX,ok
CASY,2026-04-09,,0000726958,yahoo:CASY,ok
JBHT,2015-07-01,,0000728535,yahoo:JBHT,ok
ATO,2019-02-15,,0000731802,yahoo:ATO,ok
GENZ,2009-01-01,2011-04-03,0000732485,yahoo:GENZ,ok
VZ,2009-01-01,,0000732712,yahoo:VZ,ok
T,2009-01-01,,0000732717,yahoo:T,ok
MXIM,2018-12-03,2021-08-29,0000743316,tiingo:MXIM,ok
XLNX,2009-01-01,2022-02-14,0000743988,tiingo:XLNX,ok
ROST,2009-12-21,,0000745732,yahoo:ROST,ok
EXPD,2009-01-01,,0000746515,yahoo:EXPD,ok
IT,2017-04-05,,0000749251,yahoo:IT,ok
NEE,2009-01-01,,0000753308,yahoo:NEE,ok
SCG,2009-01-02,2019-01-01,0000754737,tiingo:SCG,ok
NOVL,2009-01-01,2011-04-27,0000758004,,no_price
CLF,2009-12-21,2014-04-01,0000764065,yahoo:CLF,ok
MO,2009-01-01,,0000764180,yahoo:MO,ok
BBY,2009-01-01,,0000764478,yahoo:BBY,ok
PNW,2009-01-01,,0000764622,yahoo:PNW,ok
ALK,2016-05-13,2023-12-17,0000766421,yahoo:ALK,ok
ALTR,2009-01-01,2015-12-27,0000768251,,no_price
BIG,2009-01-01,2013-02-13,0000768835,,no_price
ADSK,2009-01-01,,0000769397,yahoo:ADSK,ok
HON,2009-01-01,,0000773840,yahoo:HON,ok
APC,2009-01-01,2019-08-08,0000773910,,no_price
JKHY,2018-11-13,,0000779152,yahoo:JKHY,ok
WEC,2009-01-01,,0000783325,yahoo:WEC,ok
PEG,2009-01-01,,0000788784,yahoo:PEG,ok
MSFT,2009-01-01,,0000789019,yahoo:MSFT,ok
BEAM,2009-01-01,2014-04-30,0000789073,,no_price
MGM,2017-07-26,,0000789570,yahoo:MGM,ok
EMC,2009-01-01,2016-09-06,0000790070,,no_price
SPLS,2009-01-01,2017-09-12,0000791519,,no_price
LLTC,2009-01-01,2017-03-12,0000791907,tiingo:LLTC,partial
HOG,2009-01-01,2020-06-21,0000793952,yahoo:HOG,ok
LVLT,2014-11-05,2017-10-12,0000794323,tiingo:LVLT,ok
M,2009-01-01,2020-04-05,0000794367,yahoo:M,ok
KBH,2009-01-01,2009-12-20,0000795266,yahoo:KBH,ok
ADBE,2009-01-01,,0000796343,yahoo:ADBE,ok
OXY,2009-01-01,,0000797468,yahoo:OXY,ok
FI,2023-06-07,2025-11-10,0000798354,yahoo:FISV,ok
FISV,2009-01-01,2023-06-06,0000798354,yahoo:FISV,ok
FISV,2025-11-11,,0000798354,yahoo:FISV,ok
ODP,2009-01-01,2010-12-19,0000800240,tiingo:ODP,ok
HAR,2009-01-01,2017-03-12,0000800459,yahoo:HAR,partial
JOY,2011-02-28,2015-10-07,0000801898,tiingo:JOY,ok
ARG,2009-09-09,2016-05-22,0000804212,tiingo:ARG,ok
QCOM,2009-01-01,,0000804328,yahoo:QCOM,ok
CERN,2010-04-30,2022-06-07,0000804753,tiingo:CERN,ok
BHGE,2009-01-01,2017-03-28,0000808362,,no_price
CMS,2009-01-01,,0000811156,yahoo:CMS,ok
OI,2009-01-02,2016-12-01,0000812074,yahoo:OI,ok
CDNS,2017-09-18,,0000813672,yahoo:CDNS,ok
CBS,2009-01-01,2019-12-04,0000813828,,no_price
VIAC,2019-12-05,2022-02-16,0000813828,,no_price
NWL,2009-01-01,2023-09-17,0000814453,yahoo:NWL,ok
FICO,2023-03-20,,0000814547,yahoo:FICO,ok
ABMD,2018-05-31,2022-12-21,0000815094,tiingo:ABMD,ok
CCL,2009-01-01,,0000815097,yahoo:CCL,ok
FAST,2009-01-01,,0000815556,yahoo:FAST,ok
CELG,2009-01-01,2019-11-20,0000816284,tiingo:CELG,ok
TDC,2009-01-01,2017-06-18,0000816761,yahoo:TDC,ok
XRAY,2009-01-01,2024-04-01,0000818479,yahoo:XRAY,ok
PRGO,2011-12-19,2013-08-27,0000820096,yahoo:PRGO,ok
APH,2009-01-01,,0000820313,yahoo:APH,ok
COHR,2026-03-23,,0000820318,yahoo:COHR,ok
EOG,2009-01-01,,0000821189,yahoo:EOG,ok
PHM,2009-01-01,,0000822416,yahoo:PHM,ok
WM,2009-01-01,,0000823768,yahoo:WM,ok
DELL,2009-01-01,2013-10-28,0000826083,,no_price
EIX,2009-01-01,,0000827052,yahoo:EIX,ok
MCHP,2009-01-01,,0000827054,yahoo:MCHP,ok
SBUX,2009-01-01,,0000829224,yahoo:SBUX,ok
FCX,2009-01-01,,0000831259,yahoo:FCX,ok
IEX,2019-08-09,,0000832101,yahoo:IEX,ok
SIG,2015-07-29,2018-03-18,0000832988,yahoo:SIG,ok
JCI,2009-01-01,,0000833444,yahoo:JCI,ok
BMC,2009-01-01,2013-09-10,0000835729,yahoo:BMC,partial
NVLS,2009-01-01,2012-06-04,0000836106,tiingo:NVLS,ok
TECH,2021-08-30,,0000842023,yahoo:TECH,ok
CRH,2025-12-22,,0000849395,yahoo:CRH,ok
GEN,2022-11-08,,0000849399,yahoo:GEN,ok
NLOK,2019-11-05,2022-11-07,0000849399,yahoo:GEN,ok
SYMC,2009-01-01,2019-11-04,0000849399,yahoo:GEN,ok
FL,2016-04-04,2019-08-08,0000850209,tiingo:FL,ok
AGN,2009-01-01,2013-06-17,0000850693,tiingo:AGN,ok
MHK,2013-12-23,2025-12-21,0000851968,yahoo:MHK,ok
PTC,2021-04-20,,0000857005,yahoo:PTC,ok
COG,2009-01-01,2021-10-03,0000858470,,no_price
CTRA,2021-10-04,2026-05-06,0000858470,tiingo:CTRA,ok
CSCO,2009-01-01,,0000858877,yahoo:CSCO,ok
CPWR,2009-01-01,2012-01-02,0000859014,yahoo:CPWR,ok
HOLX,2016-03-30,2026-04-08,0000859737,tiingo:HOLX,ok
HCA,2015-01-27,,0000860730,yahoo:HCA,ok
TYL,2020-06-22,,0000860731,yahoo:TYL,ok
SRCL,2009-01-01,2018-12-02,0000861878,tiingo:SRCL,ok
PETM,2012-10-05,2015-03-11,0000863157,tiingo:PETM,ok
BJS,2009-01-01,2010-04-28,0000864328,tiingo:BJS,ok
TRMB,2021-01-21,,0000864749,yahoo:TRMB,ok
WFM,2009-01-01,2017-08-27,0000865436,tiingo:WFM,ok
MNST,2012-06-29,,0000865752,yahoo:MNST,ok
FLEX,2026-06-22,,0000866374,yahoo:FLEX,ok
AZO,2009-01-01,,0000866787,yahoo:AZO,ok
XTO,2009-01-01,2010-06-27,0000868809,tiingo:XTO,ok
REGN,2013-05-01,,0000872589,yahoo:REGN,ok
CEPH,2009-01-01,2011-10-13,0000873364,,no_price
IDXX,2017-01-05,,0000874716,yahoo:IDXX,ok
AES,2009-01-01,,0000874761,yahoo:AES,ok
BIIB,2009-01-01,,0000875045,yahoo:BIIB,ok
VRTX,2013-09-23,,0000875320,yahoo:VRTX,ok
ZBRA,2019-12-23,,0000877212,yahoo:ZBRA,ok
CTXS,2009-01-01,2022-10-02,0000877890,tiingo:CTXS,ok
ODFL,2019-12-09,,0000878927,yahoo:ODFL,ok
INCY,2017-02-28,,0000879169,yahoo:INCY,ok
GILD,2009-01-01,,0000882095,yahoo:GILD,ok
DHI,2009-01-01,,0000882184,yahoo:DHI,ok
ROP,2009-12-23,,0000882835,yahoo:ROP,ok
SNPS,2017-03-16,,0000883241,yahoo:SNPS,ok
FOSL,2012-04-04,2016-01-04,0000883569,yahoo:FOSL,ok
RCL,2014-12-05,,0000884887,yahoo:RCL,ok
PX,2009-01-01,2018-10-30,0000884905,tiingo:PX,ok
KSS,2009-01-01,2020-09-20,0000885639,yahoo:KSS,ok
ESRX,2009-01-01,2011-10-05,0000885721,yahoo:ESRX,ok
BSX,2009-01-01,,0000885725,yahoo:BSX,ok
BBBY,2009-01-01,2017-07-25,0000886158,,no_price
MFE,2009-01-01,2011-02-28,0000890801,tiingo:MFE,ok
PDCO,2009-01-01,2018-03-18,0000891024,tiingo:PDCO,ok
MTCH,2021-09-20,2026-03-22,0000891103,yahoo:MTCH,ok
CHK,2009-01-01,2018-03-18,0000895126,tiingo:CHK,ok
EXE,2025-03-24,,0000895126,yahoo:EXE,ok
INTU,2009-01-01,,0000896878,yahoo:INTU,ok
ORLY,2009-03-27,,0000898173,yahoo:ORLY,ok
JBL,2009-01-01,2014-11-04,0000898293,yahoo:JBL,ok
JBL,2023-12-18,,0000898293,yahoo:JBL,ok
ALXN,2012-05-25,2021-07-20,0000899866,tiingo:ALXN,ok
CPRT,2018-07-02,,0000900075,yahoo:CPRT,ok
SUN,2009-01-01,2012-10-04,0000904978,yahoo:SUN,partial
NVR,2019-09-26,,0000906163,yahoo:NVR,ok
NKTR,2018-03-19,2019-10-02,0000906709,yahoo:NKTR,ok
BWA,2011-12-19,2025-03-23,0000908255,yahoo:BWA,ok
COST,2009-01-01,,0000909832,yahoo:COST,ok
GMCR,2014-03-24,2016-03-02,0000909954,tiingo:GMCR,ok
DECK,2024-03-18,,0000910521,yahoo:DECK,ok
URBN,2010-02-08,2017-03-19,0000912615,yahoo:URBN,ok
NFX,2010-12-20,2019-02-14,0000912750,,no_price
EMN,2009-01-01,2025-11-03,0000915389,yahoo:EMN,ok
ALB,2016-07-01,,0000915913,yahoo:ALB,ok
MLM,2014-07-02,,0000916076,yahoo:MLM,ok
TSCO,2014-01-24,,0000916365,yahoo:TSCO,ok
TEG,2009-01-01,2015-06-29,0000916863,tiingo:TEG,ok
AKS,2009-01-01,2011-12-18,0000918160,tiingo:AKS,ok
QLGC,2009-01-01,2011-01-17,0000918386,,no_price
LH,2009-01-01,,0000920148,yahoo:LH,ok
LEN,2009-01-01,,0000920760,yahoo:LEN,ok
PENN,2021-03-22,2022-09-18,0000921738,yahoo:PENN,ok
PPL,2009-01-01,,0000922224,yahoo:PPL,ok
DVA,2009-01-01,,0000927066,yahoo:DVA,ok
MCK,2009-01-01,,0000927653,yahoo:MCK,ok
APOL,2009-01-01,2013-06-30,0000929887,,no_price
DF,2009-01-01,2013-05-23,0000931336,,no_price
BNI,2009-01-01,2010-02-15,0000934612,,no_price
DLTR,2011-12-19,,0000935703,yahoo:DLTR,ok
DTE,2009-01-01,,0000936340,yahoo:DTE,ok
CIEN,2009-01-01,2009-12-20,0000936395,yahoo:CIEN,ok
CIEN,2026-02-09,,0000936395,yahoo:CIEN,ok
LMT,2009-01-01,,0000936468,yahoo:LMT,ok
DRI,2009-01-01,,0000940944,yahoo:DRI,ok
WAB,2019-02-27,,0000943452,yahoo:WAB,ok
RMD,2017-07-26,,0000943819,yahoo:RMD,ok
DNR,2009-04-02,2015-03-22,0000945764,tiingo:DNR,ok
POOL,2020-10-07,2026-06-21,0000945841,yahoo:POOL,ok
TTWO,2018-03-19,,0000946581,yahoo:TTWO,ok
DO,2009-02-26,2016-10-02,0000949039,,no_price
SNDK,2009-01-01,2016-05-11,0001000180,,no_price
HSIC,2015-03-18,,0001000228,yahoo:HSIC,ok
WAT,2009-01-01,,0001000697,yahoo:WAT,ok
DIS,2009-01-01,2018-06-24,0001001039,yahoo:DIS,ok
DISH,2017-03-13,2023-06-19,0001001082,tiingo:DISH,ok
EL,2009-01-01,,0001001250,yahoo:EL,ok
LXK,2009-01-01,2012-09-30,0001001288,,no_price
NTAP,2009-01-01,,0001002047,yahoo:NTAP,ok
AEE,2009-01-01,,0001002910,yahoo:AEE,ok
GAS,2011-12-13,2016-06-30,0001004155,tiingo:GAS,ok
CEG,2009-01-01,2012-03-12,0001004440,,no_price
PCG,2009-01-01,2019-01-17,0001004980,yahoo:PCG,ok
PCG,2022-10-03,,0001004980,yahoo:PCG,ok
AABA,2009-01-01,2017-06-18,0001011006,tiingo:AABA,ok
SEE,2009-01-01,2023-12-17,0001012100,tiingo:SEE,ok
FDS,2021-12-20,,0001013237,yahoo:FDS,ok
ANSS,2017-06-19,2025-07-17,0001013462,tiingo:ANSS,ok
NRG,2010-01-29,,0001013871,yahoo:NRG,ok
VRSN,2009-01-01,,0001014473,yahoo:VRSN,ok
AMZN,2009-01-01,,0001018724,yahoo:AMZN,ok
ANF,2009-01-01,2013-12-22,0001018840,yahoo:ANF,ok
ATI,2009-01-01,2015-07-01,0001018963,yahoo:ATI,ok
MWW,2009-01-01,2011-12-18,0001020416,tiingo:MWW,ok
NOV,2009-01-01,2021-09-19,0001021860,yahoo:NOV,ok
DGX,2009-01-01,,0001022079,yahoo:DGX,ok
STLD,2022-12-22,,0001022671,yahoo:STLD,ok
COTY,2016-10-03,2020-09-20,0001024305,yahoo:COTY,ok
ROK,2009-01-01,,0001024478,yahoo:ROK,ok
FE,2009-01-01,,0001031296,yahoo:FE,ok
SRE,2009-01-01,,0001032208,yahoo:SRE,ok
VLO,2009-01-01,,0001035002,yahoo:VLO,ok
ISRG,2009-01-01,,0001035267,yahoo:ISRG,ok
FIX,2025-12-22,,0001035983,yahoo:FIX,ok
RL,2009-01-01,,0001037038,yahoo:RL,ok
MTD,2016-09-06,,0001037646,yahoo:MTD,ok
AME,2013-09-23,,0001037868,yahoo:AME,ok
PXD,2009-01-01,2024-05-07,0001038357,tiingo:PXD,ok
OKE,2010-03-15,,0001039684,yahoo:OKE,ok
YUM,2009-01-01,,0001041061,yahoo:YUM,ok
CHRW,2009-01-01,,0001043277,yahoo:CHRW,ok
JNPR,2009-01-01,2025-07-08,0001043604,tiingo:JNPR,ok
NVDA,2009-01-01,,0001045810,yahoo:NVDA,ok
RTN,2009-01-01,2020-04-05,0001047122,tiingo:RTN,ok
ED,2009-01-01,,0001047862,yahoo:ED,ok
MAR,2009-01-01,,0001048286,yahoo:MAR,ok
FFIV,2010-12-20,,0001048695,yahoo:FFIV,ok
FDX,2009-01-01,,0001048911,yahoo:FDX,ok
PWR,2009-07-01,,0001050915,yahoo:PWR,ok
CVC,2010-12-20,2016-06-20,0001053112,tiingo:CVC,partial
BRCM,2009-01-01,2016-01-31,0001054374,tiingo:BRCM,partial
LLL,2009-01-01,2019-06-30,0001056239,tiingo:LLL,ok
