security_code,security_name,quality_tier,strategy_tag_letter,old_tag,changed,tag_reason
002683,广东宏大,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
002690,美亚光电,L2,A,C,Y,§6.5.3 C→A 判据三条全部成立（首轮按 §6.5.0 第 9 条初始判定）：三年一致预期 CAGR 10.8%（判据① <15% ✓，阈值按近三年最低 ROE 24.3% 分档）；近三年 ROE 26.1/24.3/28.8（②均≥12% ✓）；经营现金流/净利润 1.26（③≥0.8 ✓）
002714,牧原股份,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
002738,中矿资源,L2,F,F,,有可独立计量储量，可算NAV
002821,凯莱英,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002837,英维克,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002906,华阳集团,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002916,深南电路,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
002920,德赛西威,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
002938,鹏鼎控股,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
003031,中瓷电子,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300012,华测检测,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300014,亿纬锂能,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300015,爱尔眼科,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300033,同花顺,L2,N,C,Y,金融信息增值服务订阅
300034,钢研高纳,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300037,新宙邦,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300054,鼎龙股份,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300059,东方财富,L2,J,C,Y,券商牌照+净资本约束，利润随成交额周期
300073,当升科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300124,汇川技术,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300146,汤臣倍健,L3,E,E,,沿用原 E（§6.5.0 判定顺序下未命中前 9 条）
300215,电科院,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300226,上海钢联,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300232,洲明科技,L3,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300274,阳光电源,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300296,利亚德,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300308,中际旭创,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300316,晶盛机电,L2,E,E,,沿用原 E（§6.5.0 判定顺序下未命中前 9 条）
300341,麦克奥迪,L3,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300346,南大光电,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300347,泰格医药,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300351,永贵电器,L2,C,G,Y,连接器，轨交/新能源链份额驱动；未过 D 的瓶颈票，落 C
300357,我武生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300360,炬华科技,L3,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300373,扬杰科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300394,天孚通信,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300395,菲利华,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300408,三环集团,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300413,芒果超媒,L2,E,E,,沿用原 E（§6.5.0 判定顺序下未命中前 9 条）
300415,伊之密,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300435,中泰股份,L2,C,G,Y,深冷设备，订单制但排期<2年不适用 P，落 C
300450,先导智能,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300454,深信服,L2,N,C,Y,安全订阅
300470,中密控股,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300474,景嘉微,L3,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300476,胜宏科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300487,蓝晓科技,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300496,中科创达,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300502,新易盛,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300529,健帆生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300573,兴齐眼药,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300604,长川科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300627,华测导航,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300628,亿联网络,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
300661,圣邦股份,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300666,江丰电子,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300685,艾德生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300699,光威复材,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300726,宏达电子,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300750,宁德时代,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300759,康龙化成,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300760,迈瑞医疗,L2,A,C,Y,§6.5.3 C→A 判据三条全部成立（首轮按 §6.5.0 第 9 条初始判定）：三年一致预期 CAGR 12.2%（判据① <15% ✓，阈值按近三年最低 ROE 21.6% 分档）；近三年 ROE 21.6/32.6/33.6（②均≥12% ✓）；经营现金流/净利润 1.35（③≥0.8 ✓）
300776,帝尔激光,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300777,中简科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
300811,铂科新材,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300832,新产业,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300866,安克创新,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300896,爱美客,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
300910,瑞丰新材,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
301269,华大九天,L2,N,C,Y,EDA订阅授权
301498,乖宝宠物,L3,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
301589,诺瓦星云,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
600031,三一重工,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
600036,招商银行,L2,J,G,Y,银行，资产负债表即经营主体
600066,宇通客车,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600085,同仁堂,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600111,北方稀土,L2,F,F,,有可独立计量储量，可算NAV
600132,重庆啤酒,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600150,中国船舶,L2,P,D,Y,在手高价订单排至2028-29，价格数量已锁
600160,巨化股份,L1,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
600161,天坛生物,L1,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
600176,中国巨石,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
600183,生益科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
600276,恒瑞医药,L2,M,C,Y,管线+BD里程碑，经常性利润已剔BD后PEG失效
600285,羚锐制药,L2,A,C,Y,§6.5.3 C→A 判据三条全部成立（首轮按 §6.5.0 第 9 条初始判定）：三年一致预期 CAGR 12.2%（判据① <15% ✓，阈值按近三年最低 ROE 21.3% 分档）；近三年 ROE 23.9/24.8/21.3（②均≥12% ✓）；经营现金流/净利润 1.23（③≥0.8 ✓）
600298,安琪酵母,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600309,万华化学,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
600406,国电南瑞,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600415,小商品城,L1,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
600426,华鲁恒升,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
600436,片仔癀,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600486,扬农化工,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
600519,贵州茅台,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600549,厦门钨业,L2,F,F,,有可独立计量储量，可算NAV
600563,法拉电子,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600570,恒生电子,L2,N,C,Y,金融IT，合同负债占比高
600584,长电科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
600600,青岛啤酒,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600660,福耀玻璃,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600690,海尔智家,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600750,华润江中,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600809,山西汾酒,L1,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600862,中航高科,L1,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
600885,宏发股份,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
600887,伊利股份,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
600900,长江电力,L1,K,G,Y,水电，长久期受监管资产、价值由DPS与折现率决定
600938,中国海油,L2,F,F,,有可独立计量储量，可算NAV
600970,中材国际,L2,P,G,Y,工程总包在手订单驱动
600989,宝丰能源,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
600993,马应龙,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
601088,中国神华,L1,F,F,,有可独立计量储量，可算NAV
601100,恒立液压,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
601225,陕西煤业,L2,F,F,,有可独立计量储量，可算NAV
601899,紫金矿业,L2,F,F,,有可独立计量储量，可算NAV
601958,金钼股份,L2,F,F,,有可独立计量储量，可算NAV
601965,中国汽研,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603019,中科曙光,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603031,安孚科技,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
603067,振华股份,L2,H,F,Y,周期性商品生产但无可计量储量，价值由成本曲线位置与中枢价差决定
603129,春风动力,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603156,养元饮品,L3,K,G,Y,稳态+高分红
603195,公牛集团,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
603259,药明康德,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603267,鸿远电子,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
603279,景津装备,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603288,海天味业,L2,A,A,,沿用原 A（§6.5.0 判定顺序下未命中前 9 条）
603501,豪威集团,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
603505,金石资源,L1,F,F,,有可独立计量储量，可算NAV
603529,爱玛科技,L2,A,C,Y,§6.5.3 C→A 判据三条全部成立（首轮按 §6.5.0 第 9 条初始判定）：三年一致预期 CAGR 14.5%（判据① <15% ✓，阈值按近三年最低 ROE 21.2% 分档）；近三年 ROE 21.2/23.8/25.4（②均≥12% ✓）；经营现金流/净利润 2.16（③≥0.8 ✓）
603556,海兴电力,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603806,福斯特,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
603993,洛阳钼业,L2,F,F,,有可独立计量储量，可算NAV
605305,中际联合,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
605499,东鹏饮料,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688002,睿创微纳,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688008,澜起科技,L1,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688012,中微公司,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688018,乐鑫科技,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688019,安集科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688037,芯源微,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688041,海光信息,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688072,拓荆科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688082,盛美上海,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688100,威胜信息,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688111,金山办公,L1,N,C,Y,订阅制办公软件
688114,华大智造,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688120,华海清科,L1,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688122,西部超导,L1,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688123,聚辰股份,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688183,生益电子,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688188,柏楚电子,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688190,云路股份,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688200,华峰测控,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688208,道通科技,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688235,百济神州,L2,M,C,Y,管线主导，商业化利润不足以解释市值
688256,寒武纪,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688271,联影医疗,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688278,特宝生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688281,华秦科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688300,联瑞新材,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688301,奕瑞科技,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688318,财富趋势,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688334,西高院,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688385,复旦微电,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688439,振华风光,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688516,奥特维,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688563,航材股份,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688586,江航装备,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688617,惠泰医疗,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688629,华丰科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688630,芯碁微装,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688652,京仪装备,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688692,达梦数据,L2,N,C,Y,数据库订阅
688708,佳驰科技,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688729,屹唐股份,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
688777,中控技术,L2,N,C,Y,工控软件+服务
688820,盛合晶微,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
688981,中芯国际,L2,D,D,,沿用原 D（§6.5.0 判定顺序下未命中前 9 条）
689009,九号公司,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
920186,中科仪,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
920394,民士达,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
920982,锦波生物,L2,C,C,,沿用原 C（§6.5.0 判定顺序下未命中前 9 条）
603605,,,A,A,,A
688775,,,D,D,,D
000596,,,A,A,,A
603369,,,A,A,,A
002003,,,A,A,,A
002379,,,H,H,,H
000426,,,F,F,,F
000975,,,F,F,,F
600988,,,F,F,,F
002568,,,A,A,,A
601138,,,D,D,,D
603508,,,A,A,,A
002287,奇正藏药,L2,C,,,§12.71 复核入池初始判定
603606,东方电缆,L3,D,,,§12.71 复核入池初始判定
601398,工商银行,L3,J,,,§12.71 复核入池初始判定
601939,建设银行,L3,J,,,§12.71 复核入池初始判定
601288,农业银行,L3,J,,,§12.71 复核入池初始判定
600919,江苏银行,L2,J,,,§12.71 复核入池初始判定
601838,成都银行,L2,J,,,§12.71 复核入池初始判定
605117,德业股份,L2,C,,Y,新兴市场户储逆变器成长，无可计量资源/网络效应；按 GARP 成长归类（仅分类）
601717,中创智领,L3,C,,Y,煤机装备周期性资本品，非商品生产（H 不适用）；按 GARP 归类（仅分类）
600233,圆通速递,L3,C,,Y,加盟制快递规模成长，无可计量资源；按 GARP 归类（仅分类）
601872,招商轮船,L3,H,,Y,运价周期商品型服务，价值由周期中枢利润决定（仅分类）
601318,中国平安,L2,J,,Y,金融资本型（保险，股利折现，与银行同式）
600007,中国国贸,L2,K,,Y,稳态收租资产：零增长、90% 分红、零有息负债，价值由可分配现金与折现率决定（仅分类）
