security_code,security_name,garbage_subtype,priority,verification_task,current_reason,evidence_basis,required_evidence,outcome_rule,deadline,queued_at_utc,verified_at_utc,outcome,verified_note
002323,*ST雅博,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（虚构境外工程虚增营收利润，证监会处罚+责任人刑事追责）；主业金属屋面工程属垫资低门槛破损模式，无重建持久优势可能,round1轻量初筛（证监会处罚与刑事判决，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,downgraded_to_boundary,garbage纠错降级：雅百特造假坐实（2017-12处罚+陆永终身禁入+2019刑事判决）但2021-04司法重整、枣庄国资（泉兴科技）入主，2026-05拟划转枣庄财金，责任人早已出清；按§5.4.7规则7降回boundary_pending。金属屋面围护系统属规则8碗出的更高壁垒子赛道口径，非
002424,ST百灵,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2024年证监会处罚：2021-2022年年报虚假记载虚增营收利润），实控人仍在位未整改出清,round1轻量初筛（证监会处罚决定，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,"坐实文书：贵州证监局行政处罚事先告知书(2025-12-20,程序进行中)+姜伟立案告知书(2025-12-03)；核验2026-07-10(web对照文书)"
002470,金正大,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2021年证监会处罚：2015-2018年虚增收入利润，规模巨大），责任人未彻底出清,round1轻量初筛（证监会处罚决定，需核验当前控制权）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：证监会行政处罚决定书+市场禁入决定书(2022-01/02)；核验2026-07-10(web对照文书)
002485,ST雪发,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,治理灾难未解决（雪松系占用坐实未追回，实控人因非法集资被刑事追责，股权冻结），主业空心化,round1轻量初筛（占用披露与刑事进展，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,"坐实文书：广州中院一审+广东高院终审裁定(2026-06-26,无期徒刑)；核验2026-07-10(web对照文书)"
300078,思创智联,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（2019-2020年虚增营收利润，实控人十年市场禁入），责任人未出清,round1轻量初筛（处罚决定书，需核验当前控制权）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,downgraded_to_boundary,garbage纠错降级：思创医惠造假与欺诈发行坐实（2024-01处罚决定书罚8570万+章笠中750万及10年禁入）但2025-04控制权已变更为苍南县财政局，责任人出清（刑事追责针对原责任人，2025-08公安调查中）；round1漏记该次易主，按§5.4.7规则7降回boundary_pend
300091,*ST金灵,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（连续六年虚增利润，跨越控制权变更仍延续），治理财务长期不透明,round1轻量初筛（处罚决定书，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,downgraded_to_boundary,"garbage纠错降级：金通灵六年造假坐实且已完整司法闭环——江苏证监局处罚、季伟刑事判决（2025-09有期徒刑6年）、投资者获赔7.75亿（2026年初基本完成）、2025年破产重整由汇通达10亿入主（第二次易主）；责任人出清+灾难已解决，round1""跨越控制权豁免不适用""的前提（灾难未了结）"
300267,尔康制药,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（虚增利润约2.5亿被处罚），实控人未出清,round1轻量初筛（处罚决定书，需核验）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：湖南证监局行政处罚(2018-04)；帅放文仍控股41.38%；核验2026-07-10(web对照文书)
300427,红相股份,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实（连续六年虚增军工收入利润，实控人被禁入），责任人未彻底出清,round1轻量初筛（处罚决定书，需核验控制权）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：厦门证监局行政处罚决定书+市场禁入决定书(2024-04-03)+移送起诉(2026-05-29)；核验2026-07-10(web对照文书)
603377,ST东时,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,实控人操纵证券市场刑事坐实且未让渡控制权（判例13后半，需核验终审与控制权现状）,round1轻量初筛（驾培治理）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：上海一中院一审(2025-07)+终审裁定(2026-01-23)；纪律处分决定；重整协议(2025-08)；核验2026-07-10(web对照文书)
688076,ST诺泰,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假：通过虚假交易虚增收入利润，行政处罚落地，责任人在位（造假坐实）,round1轻量初筛（governance_fraud，需核验处罚决定书与最新整改公告）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,"坐实文书：行政处罚决定书(2025-12-18,公告2025-072)；核验2026-07-10(web对照文书)"
688565,力源科技,governance_fraud,P1,理由已写坐实但带需核验标记：对照处罚决定书/判决核实文书编号与责任人现状,财务造假坐实且责任人仍在控股位（需核验处罚决定书与控制权现状）,round1轻量初筛（水处理造假）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,garbage_confirmed,坐实文书：浙江证监局行政处罚决定书(2023-06-25)+上海二中院刑事判决书(2025-07-28)；核验2026-07-10(web对照文书)
002047,*ST宝鹰,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002431,ST棕榈,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；国资入主但主业未转型仍连亏,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002620,*ST瑞和,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002663,普邦股份,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林工程行业商业模式结构性破损（垫资/地产与政府应收/低门槛），适用相对龙头；公司未实质转型连年亏损,round1轻量初筛（园林工程行业结构口径，需核验城市服务转型占比）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002713,*ST东易,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002717,*ST岭南,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损，适用相对龙头；国资入主但主业未转型，债券违约连亏,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002775,文科股份,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；转型未实质落地,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002822,ST中装,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
002856,*ST美芝,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
300197,节能铁汉,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；央企入主未改模式,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
300355,蒙草生态,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林生态工程行业商业模式结构性破损（垫资/政府应收/低门槛），适用相对龙头；主业未转型,round1轻量初筛（园林工程行业结构口径，需核验种业转型占比）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
300506,ST名家汇,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
300536,农尚环境,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,园林工程行业商业模式结构性破损（垫资/地产与政府应收/低门槛），适用行业内公司；转型未实质落地,round1轻量初筛（园林工程行业结构口径，需核验转型进度）,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
603828,*ST利达,structural_industry,P2,结构性行业判决本身不依赖造假文书；核验其ST/违规叠加事项描述是否准确，并补证据等级,建筑装饰商业模式结构性破损（低门槛/垫资/应收坏账/地产依赖/无持久护城河）,a-share-decoration-construction.md（27/27历史评审无护城河）；需核验：若确凿造假改 governance_fraud,行政处罚决定书/刑事立案或判决/审计意见/交易所纪律处分等权威文书；确认责任人是否仍在控制位,坐实→evidence_basis改“坐实”维持garbage；查无坐实文书→按§5.4.3/§5.4.7经garbage_review降回boundary_pending并填supersedes_decision_id,2026Q3季度审查周期内（§5.4.3）,2026-07-10T08:22:04Z,2026-07-10T09:34:52Z,structural_verdict_kept_flag_cleaned,结构性判决不依赖文书；样板需核验标记清理
