cik,name,ticker,exchange,ticker_source,sic,years
0001133421,NORTHROP GRUMMAN CORP /DE/,NOC,NYSE,submissions,3812,11
0000310158,"Merck & Co., Inc.",MRK,NYSE,submissions,2834,11
0001341439,ORACLE CORP,ORCL,NYSE,submissions,7372,11
0000100493,"TYSON FOODS, INC.",TSN,NYSE,submissions,2015,11
0000030554,"EIDP, Inc.",CTA-PB,NYSE,submissions,2820,8
0000084129,"NEW RITE AID, LLC",RAD,,primary_document,5912,11
0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,EPD,NYSE,submissions,4922,11
0001105705,"WARNER MEDIA, LLC",,,,4841,9
0001047122,RAYTHEON CO/,RTN,,primary_document,3812,11
0000885721,EXPRESS SCRIPTS INC,,,,5912,3
0000081061,PUBLIX SUPER MARKETS INC,,,,5411,11
0001018724,AMAZON COM INC,AMZN,Nasdaq,submissions,5961,11
0000791519,STAPLES INC,,,,5940,8
0000866374,FLEX LTD.,FLEX,Nasdaq,submissions,3672,11
0000917851,Vale S.A.,VALE,NYSE,submissions,1000,4
0001288776,GOOGLE INC.,,,,7370,6
0000064978,MERCK SHARP & DOHME LLC,,,,2834,1
0000764180,"ALTRIA GROUP, INC.",MO,NYSE,submissions,2111,11
0000794367,"Macy's, Inc.",M,NYSE,submissions,5311,11
0000051434,INTERNATIONAL PAPER CO /NEW/,IP,NYSE,submissions,2621,11
0001467373,Accenture plc,ACN,NYSE,submissions,7389,11
0000066740,3M CO,MMM,NYSE,submissions,3841,11
0000315189,DEERE & CO,DE,NYSE,submissions,3523,11
0000063908,MCDONALDS CORP,MCD,NYSE,submissions,5812,11
0000087347,SLB LIMITED/NV,SLB,NYSE,submissions,1389,11
0000790703,TECH DATA CORP,,,,5045,11
0001124198,FLUOR CORP,FLR,NYSE,submissions,1600,11
0000059478,ELI LILLY & Co,LLY,NYSE,submissions,2834,11
0000317891,RICOH CO LTD,,,,3861,3
0000804055,"COCA-COLA REFRESHMENTS USA, INC.",,,,2086,1
0001465112,DIRECTV,,,,4899,6
0000230211,FEDERAL EXPRESS CORP,,,,4513,6
0000109198,TJX COMPANIES INC /DE/,TJX,NYSE,submissions,5651,9
0000032604,EMERSON ELECTRIC CO,EMR,NYSE,submissions,3600,11
0000055785,KIMBERLY CLARK CORP,KMB,Nasdaq,submissions,2670,11
0000320187,"NIKE, Inc.",NKE,NYSE,submissions,3021,11
0000014272,BRISTOL MYERS SQUIBB CO,BMY,NYSE,submissions,2834,11
0001234308,DIRECTV HOLDINGS LLC,,,,4841,2
0001070423,PLAINS ALL AMERICAN PIPELINE LP,PAA,Nasdaq,submissions,4610,11
0000004281,Howmet Aerospace Inc.,HWM,NYSE,submissions,3350,10
0001377013,"SPECTRUM MANAGEMENT HOLDING COMPANY, LLC",,,,4841,7
0001166126,"Old COPPER Company, Inc.",JCP,,primary_document,5311,11
0001109357,EXELON CORP,EXC,Nasdaq,submissions,4931,11
0001290109,"LG Display Co., Ltd.",LPL,NYSE,submissions,3679,1
0000885639,KOHLS Corp,KSS,NYSE,submissions,5311,11
0000106640,WHIRLPOOL CORP /DE/,WHR,NYSE,submissions,3630,11
0000717423,MURPHY OIL CORP,MUR,NYSE,submissions,1311,3
0000833444,Johnson Controls International plc,JCI,NYSE,submissions,3585,11
0000749098,MAGNA INTERNATIONAL INC,MGA,NYSE,submissions,3714,11
0000100517,"United Airlines Holdings, Inc.",UAL,Nasdaq,submissions,4512,11
0000042582,GOODYEAR TIRE & RUBBER CO /OH/,GT,Nasdaq,submissions,3011,11
0000818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,TEVA,NYSE,submissions,2834,11
0000023082,COMPUTER SCIENCES CORP,,,,7373,8
0000092122,SOUTHERN CO,SO,NYSE,submissions,4911,11
0000753308,NEXTERA ENERGY INC,NEE,NYSE,submissions,4911,4
0001004440,CONSTELLATION ENERGY GROUP INC,,,,4911,3
0000056594,KOMATSU LTD,,,,3531,3
0000064670,MEDTRONIC INC,,,,3845,5
0000021665,COLGATE PALMOLIVE CO,CL,NYSE,submissions,2844,11
0000108772,XEROX CORP,XRX,,primary_document,3577,10
0001070235,BLACKBERRY Ltd,BB,NYSE,submissions,7372,5
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,OXY,NYSE,submissions,1311,11
0000715957,"DOMINION ENERGY, INC",D,NYSE,submissions,4911,11
0000007536,"ARROW ELECTRONICS, INC.",ARW,NYSE,submissions,5065,11
0000045012,HALLIBURTON CO,HAL,NYSE,submissions,1389,9
0000318154,AMGEN INC,AMGN,Nasdaq,submissions,2836,11
0000040704,GENERAL MILLS INC,GIS,NYSE,submissions,2040,11
0000039911,GAP INC,GAP,NYSE,submissions,5651,11
0000100885,UNION PACIFIC CORP,UNP,NYSE,submissions,4011,11
0000790070,EMC CORP,EMC,,primary_document,3572,7
0000934612,"BURLINGTON NORTHERN SANTA FE, LLC",BNI,,primary_document,4011,10
0001024519,CNH GLOBAL N V,,,,3531,4
0000049826,ILLINOIS TOOL WORKS INC,ITW,NYSE,submissions,3560,11
0001005414,TOYS R US INC,,,,5945,8
0000004904,AMERICAN ELECTRIC POWER CO INC,AEP,Nasdaq,company_tickers_exchange,4911,11
0001004980,PG&E Corp,PCG,NYSE,submissions,4931,11
0001339947,Viacom Inc.,VIA,,primary_document,4841,11
0001076405,PEPSI BOTTLING GROUP INC,,,,2080,1
0001087835,BOTTLING GROUP LLC,,,,2080,1
0000815097,Carnival Corp Ltd.,CCL,NYSE,submissions,4400,7
0001056239,L 3 COMMUNICATIONS HOLDINGS INC,,,,3663,7
0001047862,CONSOLIDATED EDISON INC,ED,NYSE,submissions,4931,11
0000813828,Paramount Global,PARA,,primary_document,4833,11
0001466258,Trane Technologies plc,TT,NYSE,submissions,3822,11
0000874761,AES CORP,AES,NYSE,submissions,4991,11
0001031296,FIRSTENERGY CORP,FE,NYSE,submissions,4911,11
0001326160,Duke Energy CORP,DUK,NYSE,submissions,4931,8
0001021860,NOV Inc.,NOV,NYSE,submissions,3533,11
0000055067,KELLANOVA,K,,primary_document,2040,11
0000010456,BAXTER INTERNATIONAL INC,BAX,NYSE,submissions,3841,11
0000827052,EDISON INTERNATIONAL,EIX,NYSE,submissions,4911,11
0001037949,QWEST COMMUNICATIONS INTERNATIONAL INC,,,,4813,3
0000079879,PPG INDUSTRIES INC,PPG,NYSE,submissions,2851,11
0000800240,ODP Corp,ODP,,primary_document,5940,11
0000007032,"Aramark Services, Inc.",,,,5812,4
0001357615,"KBR, INC.",KBR,NYSE,submissions,1600,5
0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,NYSE,submissions,4931,11
0000023217,CONAGRA BRANDS INC.,CAG,NYSE,submissions,2000,11
0001267097,ZF TRW AUTOMOTIVE HOLDINGS CORP,,,,3714,6
0000031277,EATON CORP,,,,3590,3
0000029534,DOLLAR GENERAL CORP,DG,NYSE,submissions,5331,11
0000823768,WASTE MANAGEMENT INC,WM,NYSE,submissions,4953,11
0000029989,OMNICOM GROUP INC.,OMC,NYSE,submissions,7311,11
0001110783,MONSANTO CO /NEW/,MON,,primary_document,2870,9
0000898293,JABIL INC,JBL,NYSE,submissions,3672,11
0001001082,DISH Network CORP,DISH,,primary_document,4841,11
0001042642,DISH DBS CORP,DDBS,,primary_document,4899,11
0000808450,NAVISTAR INTERNATIONAL CORP,,,,3711,11
0000052988,JACOBS SOLUTIONS INC.,J,NYSE,submissions,1600,10
0001451505,Transocean Ltd.,RIG,NYSE,submissions,1381,7
0000789460,WORLD KINECT CORP,WKC,NYSE,submissions,5172,11
0001376986,Tennessee Valley Authority,TVE,NYSE,submissions,4911,11
0001081316,BERKSHIRE HATHAWAY ENERGY CO,BHE,,primary_document,4900,11
0000091388,SMITHFIELD FOODS INC,SFD,Nasdaq,submissions,2011,7
0000073309,NUCOR CORP,NUE,NYSE,submissions,3312,11
0000931336,DEAN FOODS CO,DF,,primary_document,2020,11
0001495569,"Motorola Mobility Holdings, Inc",,,,3663,3
0001163302,UNITED STATES STEEL CORP,X,,primary_document,3312,11
0001048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,Nasdaq,submissions,7011,11
0001041061,YUM BRANDS INC,YUM,NYSE,submissions,5812,7
0001039684,ONEOK INC /NEW/,OKE,NYSE,submissions,4923,11
0000026172,CUMMINS INC,CMI,NYSE,submissions,3510,11
0000065984,ENTERGY CORP /DE/,ETR,NYSE,submissions,4911,8
0000350698,"AUTONATION, INC.",AN,NYSE,submissions,5500,11
0001336920,"Leidos Holdings, Inc.",LDOS,NYSE,submissions,7373,7
0000313616,DANAHER CORP /DE/,DHR,NYSE,submissions,3823,11
0000217346,TEXTRON INC,TXT,NYSE,submissions,3720,11
0000046640,Kraft Heinz Foods Co,,,,2030,4
0000701345,US AIRWAYS GROUP INC,,,,4512,4
0000097476,TEXAS INSTRUMENTS INC,TXN,Nasdaq,submissions,3674,11
0000804328,QUALCOMM INC/DE,QCOM,Nasdaq,submissions,3663,11
0000092380,SOUTHWEST AIRLINES CO,LUV,NYSE,submissions,4512,11
0000076334,Parker-Hannifin Corp,PH,NYSE,submissions,3490,11
0001385187,Covidien plc,COV,,primary_document,3841,6
0001385157,TE Connectivity plc,TEL,NYSE,submissions,5065,11
0000008868,AVON PRODUCTS INC,AVP,,primary_document,2844,7
0000040987,GENUINE PARTS CO,GPC,NYSE,submissions,5013,11
0001037461,BJS WHOLESALE CLUB INC,,,,5331,2
0001115837,MOBILE TELESYSTEMS PUBLIC JOINT STOCK Co,,,,4812,4
0000029669,RR Donnelley & Sons Co,,,,2750,9
0001137789,Seagate Technology Holdings plc,STX,Nasdaq,submissions,3572,9
0000829224,STARBUCKS CORP,SBUX,Nasdaq,submissions,5810,11
0000097745,THERMO FISHER SCIENTIFIC INC.,TMO,NYSE,submissions,3829,11
0000808362,Baker Hughes Holdings LLC,LLC,,primary_document,3533,11
0000072903,XCEL ENERGY INC,XEL,Nasdaq,submissions,4931,10
0001023291,Energy Future Holdings Corp /TX/,EFH,,primary_document,4911,3
0000883980,FIRST DATA CORP,,,,7389,10
0001326380,GameStop Corp.,GME,NYSE,submissions,5734,10
0000868809,XTO ENERGY INC,,,,1311,1
0000277948,CSX CORP,CSX,Nasdaq,submissions,4011,11
0000773910,ANADARKO PETROLEUM CORP,,,,1311,10
0001019849,"PENSKE AUTOMOTIVE GROUP, INC.",PAG,NYSE,submissions,5500,11
0000884905,LINDE INC,,,,2810,9
0001013871,"NRG ENERGY, INC.",NRG,NYSE,submissions,4911,11
0000858339,"CAESARS HOLDINGS, INC.",,,,7011,8
0000008670,AUTOMATIC DATA PROCESSING INC,ADP,Nasdaq,submissions,7374,11
0001453090,Weatherford International Ltd./Switzerland,,,,1381,5
0001065088,EBAY INC,EBAY,Nasdaq,submissions,7389,11
0001304280,Novelis Inc.,NVL,,primary_document,3350,11
0000701985,"Bath & Body Works, Inc.",BBWI,NYSE,submissions,5990,10
0000072333,NORDSTROM INC,JWN,,primary_document,5651,11
0000813762,ICAHN ENTERPRISES L.P.,IEP,Nasdaq,submissions,2911,11
0000932787,STMicroelectronics N.V.,STM,NYSE,submissions,3674,11
0001275283,REYNOLDS AMERICAN INC,,,,2111,8
0001355096,"Old QVC Group, Inc.",QVCAQ,,company_tickers_exchange,5961,11
0001130310,CENTERPOINT ENERGY INC,CNP,NYSE,submissions,4911,9
0000002969,"Air Products & Chemicals, Inc.",APD,NYSE,submissions,2810,11
0000216228,ITT INC.,ITT,NYSE,submissions,3561,2
0001060391,"REPUBLIC SERVICES, INC.",RSG,NYSE,submissions,4953,11
0000885725,BOSTON SCIENTIFIC CORP,BSX,NYSE,submissions,3841,11
0000756894,BARRICK MINING CORP,B,NYSE,submissions,1040,2
0000075362,PACCAR INC,PCAR,Nasdaq,submissions,3711,11
0000075252,ACCENDRA HEALTH INC/VA/,ACH,NYSE,submissions,5047,11
0000865436,WHOLE FOODS MARKET INC,,,,5411,9
0001090012,DEVON ENERGY CORP/DE,DVN,NYSE,submissions,1311,10
0000702165,NORFOLK SOUTHERN CORP,NSC,NYSE,submissions,4011,11
0001219601,"CROWN HOLDINGS, INC.",CCK,NYSE,submissions,3411,11
0001445049,Energy Future Competitive Holdings Co LLC,EFCH,,primary_document,4911,3
0000886158,"20230930-DK-Butterfly-1, Inc.",BBBY,,primary_document,5700,11
0001177394,TD SYNNEX CORP,SNX,NYSE,submissions,5045,11
0000895126,EXPAND ENERGY Corp,EXE,Nasdaq,submissions,1311,11
0001307954,Huntsman CORP,HUN,NYSE,submissions,2800,11
0000062996,MASCO CORP /DE/,MAS,NYSE,submissions,3430,10
0000031235,EASTMAN KODAK CO,KODK,NYSE,submissions,3861,2
0000016732,CAMPBELL'S Co,CPB,Nasdaq,submissions,2000,11
0001043277,"C. H. ROBINSON WORLDWIDE, INC.",CHRW,Nasdaq,submissions,4731,11
0000916863,"INTEGRYS HOLDING, INC.",,,,4931,2
0001170010,CARMAX INC,KMX,NYSE,submissions,5500,11
0001022079,QUEST DIAGNOSTICS INC,DGX,NYSE,submissions,8071,11
0000106040,WESTERN DIGITAL CORP,WDC,Nasdaq,submissions,3572,9
0000922224,PPL Corp,PPL,NYSE,submissions,4911,10
0001135971,PEPCO HOLDINGS LLC,EXC,,primary_document,4931,3
0000034408,FAMILY DOLLAR STORES INC,FDO,,primary_document,5331,6
0001001250,ESTEE LAUDER COMPANIES INC,EL,NYSE,submissions,2844,11
0000914024,SHAW GROUP INC,,,,3490,4
0000103379,V F CORP,VFC,NYSE,submissions,2320,11
0000012978,MAPLEBY HOLDINGS MERGER Corp,,,,5110,4
0000745732,"ROSS STORES, INC.",ROST,Nasdaq,submissions,5651,11
0001402057,CDW Corp,CDW,Nasdaq,submissions,5961,11
0001002910,AMEREN CORP,AEE,NYSE,submissions,4931,3
0000940944,DARDEN RESTAURANTS INC,DRI,NYSE,submissions,5812,9
0000047129,HERTZ CORP,HTZZ,,primary_document,7510,7
0001364479,HERC HOLDINGS INC,HRI,NYSE,submissions,7350,7
0000089800,SHERWIN WILLIAMS CO,SHW,NYSE,submissions,5200,11
0000802481,PILGRIMS PRIDE CORP,PPC,Nasdaq,submissions,2015,11
0000882095,"GILEAD SCIENCES, INC.",GILD,Nasdaq,submissions,2836,11
0000010795,BECTON DICKINSON & CO,BDX,NYSE,submissions,3841,11
0001316631,"Liberty Global, Inc.",,,,4841,4
0000068505,"Motorola Solutions, Inc.",MSI,NYSE,submissions,3663,6
0001403161,VISA INC.,V,NYSE,submissions,7389,11
0001506307,"KINDER MORGAN, INC.",KMI,NYSE,submissions,4922,11
0000866787,AUTOZONE INC,AZO,NYSE,submissions,5531,11
0000018169,DOLE FOOD CO INC,,,,0100,1
0001285785,MOSAIC CO,MOS,NYSE,submissions,2870,10
0000310764,STRYKER CORP,SYK,NYSE,submissions,3841,11
0000009389,BALL Corp,BALL,NYSE,submissions,3411,9
0000888228,KINDER MORGAN ENERGY PARTNERS L P,,,,4922,5
0000042542,GOODRICH CORP,,,,3760,3
0000812074,"O-I Glass, Inc. /DE/",OI,NYSE,submissions,3221,9
0000812233,OWENS-ILLINOIS GROUP INC,OW,,primary_document,3221,9
0001111711,NISOURCE INC.,NI,NYSE,submissions,4931,3
0001000228,HENRY SCHEIN INC,HSIC,Nasdaq,submissions,5047,11
0000048465,HORMEL FOODS CORP /DE/,HRL,NYSE,submissions,2011,9
0001318084,"Core-Mark Holding Company, LLC",CORE,,primary_document,5141,9
0001491675,"COCA-COLA EUROPEAN PARTNERS US, LLC",CCE,,primary_document,2086,7
0000880266,AGCO CORP /DE,AGCO,NYSE,submissions,3523,11
0001167379,ALCON INC,ALC,NYSE,submissions,3851,2
0000909281,ONEOK Partners LP,,,,4922,8
0000916457,CALPINE CORP,,,,4911,10
0001011006,ALTABA INC.,,,,,2
0000022444,COMMERCIAL METALS Co,CMC,NYSE,submissions,3312,6
0000915862,PANTRY INC,PTRY,,primary_document,5500,6
0001158967,NIDEC CORP,,,,3621,2
0001465264,"HD SUPPLY, INC.",HDS,,primary_document,5000,5
0001501585,"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,NYSE,submissions,3730,11
0001042773,CENTERPOINT ENERGY RESOURCES CORP,CNP,,primary_document,4923,3
0000028917,"DILLARD'S, INC.",DDS,NYSE,submissions,5311,8
0000277135,"W.W. GRAINGER, INC.",GWW,NYSE,submissions,5000,11
0000811156,CMS ENERGY CORP,CMS,NYSE,submissions,4931,7
0001524471,Exelis Inc.,,,,3669,2
0000789570,MGM Resorts International,MGM,NYSE,submissions,7011,11
0000051644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IPG,,primary_document,7311,11
0000353230,OMNICARE INC,,,,5912,4
0000849399,Gen Digital Inc.,GEN,Nasdaq,submissions,7372,5
0001043509,SONIC AUTOMOTIVE INC,SAH,NYSE,submissions,5500,11
0000031462,ECOLAB INC.,ECL,NYSE,submissions,2840,11
0000884887,ROYAL CARIBBEAN CRUISES LTD,RCL,NYSE,submissions,4400,11
0000064040,S&P Global Inc.,SPGI,NYSE,submissions,7320,2
0001064728,PEABODY ENERGY CORP,BTU,NYSE,submissions,1221,6
0001323468,GLOBAL PARTNERS LP,GLP,NYSE,submissions,5171,11
0000890491,BARNES & NOBLE INC,,,,5940,4
0001302362,Mechel PAO,,,,3312,5
0000884614,UGI CORP /PA/,UGI,NYSE,submissions,4932,9
0000078814,PITNEY BOWES INC /DE/,PBI,NYSE,submissions,3579,2
0000739708,"iHeartCommunications, Inc.",,,,4832,6
0001400891,"iHeartMedia, Inc.",IHRT,Nasdaq,submissions,4832,6
0001418135,Keurig Dr Pepper Inc.,KDP,Nasdaq,submissions,2080,8
0000039899,TEGNA INC,TGNA,,primary_document,4833,2
0000777491,CH2M HILL COMPANIES LTD,CHM,,primary_document,8711,3
0000814453,NEWELL BRANDS INC.,NWL,Nasdaq,submissions,3089,6
0001381531,Domtar CORP,,,,2621,2
0000079958,PRECISION CASTPARTS CORP,,,,3320,6
0001289237,"U. S. Premium Beef, LLC",,,,0200,2
0000072741,EVERSOURCE ENERGY,ES,NYSE,submissions,4911,9
0000063276,MATTEL INC /DE/,MAT,Nasdaq,submissions,3942,5
0001161154,"Energy Transfer Operating, L.P.",,,,4610,10
0001012569,"Energy Transfer, LP",,,,4922,8
0001276187,Energy Transfer LP,ET,NYSE,submissions,4922,11
0001158449,ADVANCE AUTO PARTS INC,AAP,NYSE,submissions,5531,11
0000002488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq,submissions,3674,4
0000024741,CORNING INC /NY,GLW,NYSE,submissions,3357,11
0000029905,DOVER Corp,DOV,NYSE,submissions,3530,11
0000851968,MOHAWK INDUSTRIES INC,MHK,NYSE,submissions,2273,9
0000863157,PETSMART INC,PETM,,primary_document,5990,5
0001419581,Federal-Mogul Holdings LLC,FDML,,primary_document,3714,8
0000861884,"RELIANCE, INC.",RS,NYSE,submissions,5051,11
0000047111,HERSHEY CO,HSY,NYSE,submissions,2060,11
0000107263,"WILLIAMS COMPANIES, INC.",WMB,NYSE,submissions,4922,11
0000775158,OSHKOSH CORP,OSK,NYSE,submissions,3711,9
0001424847,"LORILLARD, LLC",,,,2111,6
0000935703,"DOLLAR TREE, INC.",DLTR,Nasdaq,submissions,5331,11
0000026780,DANA Inc,DAN,NYSE,submissions,3714,9
0000105634,"EMCOR Group, Inc.",EME,NYSE,submissions,1731,9
0000941548,CAMERON INTERNATIONAL CORP,,,,3533,7
0001305014,ASHLAND LLC,,,,5160,4
0000069671,NASH FINCH CO,,,,5140,1
0000008818,Avery Dennison Corp,AVY,NYSE,submissions,2670,5
0000897723,SANMINA CORP,SANM,Nasdaq,submissions,3672,9
0000021076,CLOROX CO /DE/,CLX,NYSE,submissions,2842,2
0000895655,JARDEN CORP,,,,5190,7
0001034670,AUTOLIV INC,ALV,NYSE,submissions,3714,11
0001141391,Mastercard Inc,MA,NYSE,submissions,7389,11
0000069499,MYLAN INC.,,,,2834,6
0001365135,Western Union CO,WU,NYSE,submissions,7389,2
0001306830,Celanese Corp,CE,NYSE,submissions,2820,7
0001141982,Cooper Industries plc,,,,3670,2
0001051512,TELEPHONE & DATA SYSTEMS INC /DE/,TDS,NYSE,submissions,4813,1
0000006951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq,submissions,3674,11
0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",LHX,NYSE,submissions,3812,2
0000714311,INTERNATIONAL LEASE FINANCE CORP,,,,7359,1
0001037038,RALPH LAUREN CORP,RL,NYSE,submissions,2320,8
0000018926,"Lumen Technologies, Inc.",LUMN,NYSE,submissions,4813,11
0000085961,RYDER SYSTEM INC,R,NYSE,submissions,7510,11
0000850209,"FOOT LOCKER, INC.",FL,,primary_document,5661,10
0000898173,O REILLY AUTOMOTIVE INC,ORLY,Nasdaq,submissions,5531,10
0001397410,Nielsen CO B.V.,,,,7389,1
0001492633,Nielsen Holdings plc,,,,7389,2
0000866121,"Northrop Grumman Innovation Systems, Inc.",OA,,primary_document,3760,1
0001337272,SunGard,,,,7372,1
0000723125,MICRON TECHNOLOGY INC,MU,Nasdaq,submissions,3674,11
0001370946,Owens Corning,OC,NYSE,submissions,3290,3
0000821189,EOG RESOURCES INC,EOG,NYSE,submissions,1311,11
0000793952,"HARLEY-DAVIDSON, INC.",HOG,NYSE,submissions,3751,1
0000052795,ANIXTER INTERNATIONAL INC,,,,5063,9
0000768835,FORMER BL STORES INC,BIG,,primary_document,5331,1
0000355999,ESSENDANT INC,,,,5110,1
0000316206,"STARWOOD HOTELS & RESORTS WORLDWIDE, LLC",,,,7011,3
0000920148,LABCORP HOLDINGS INC.,LH,NYSE,submissions,8071,6
0000203077,"ST JUDE MEDICAL, LLC",STJ,,primary_document,3845,2
0001159297,MEADWESTVACO Corp,,,,2621,1
0001024725,TENNECO INC,TEN,,primary_document,3714,11
0000726958,CASEYS GENERAL STORES INC,CASY,Nasdaq,submissions,5500,11
0001066107,EL PASO LLC,,,,4922,1
0000929008,WESCO INTERNATIONAL INC,WCC,NYSE,submissions,5063,11
0001070412,CNX Resources Corp,CNX,NYSE,submissions,1311,3
0000091419,J M SMUCKER Co,SJM,NYSE,submissions,2033,4
0001324518,Williams Partners L.P.,,,,4922,5
0000060751,LUBRIZOL Corp,,,,2860,2
0000070866,NCR Voyix Corp,VYX,NYSE,submissions,3578,6
0001300514,LAS VEGAS SANDS CORP,LVS,NYSE,submissions,7011,11
0001027884,CHICAGO BRIDGE & IRON CO N V,,,,1700,6
0001373835,Spectra Energy Corp.,SE,,primary_document,4923,1
0001031203,GROUP 1 AUTOMOTIVE INC,GPI,NYSE,submissions,5500,11
0000850693,ALLERGAN INC,,,,2834,3
0001054374,BROADCOM CORP,BRCM,,primary_document,3674,6
0001090872,"AGILENT TECHNOLOGIES, INC.",A,NYSE,submissions,3826,4
0001534701,Phillips 66,PSX,NYSE,submissions,2911,10
0001467858,General Motors Co,GM,NYSE,submissions,3711,10
0001532063,Express Scripts Holding Co.,ESRX,,primary_document,5912,8
0001513153,FCA US LLC,,,,3711,5
0000096021,SYSCO CORP,SYY,NYSE,submissions,5140,9
0000823277,CHS INC,CHSCP,Nasdaq,submissions,5150,10
0001143908,ACCENTURE SCA,,,,7389,5
0000008858,AVNET INC,AVT,Nasdaq,submissions,5065,9
0001545158,"Kraft Foods Group, Inc.",,,,2000,5
0000902739,"NBCUniversal Media, LLC",CMCSA,,primary_document,4841,3
