cy,cik,name,revenue,sic,ticker,exchange,ticker_source,obs_from,obs_to
2009,0001091587,ABB LTD,31795000000,3613,ABLZF,OTC,submissions,2010-04-30,2011-03-31
2009,0000021344,COCA COLA CO,30990000000,2080,KO,NYSE,submissions,2010-04-30,2011-03-31
2009,0000001800,ABBOTT LABORATORIES,30764707000,2834,ABT,NYSE,submissions,2010-04-30,2011-03-31
2009,0001308161,"TWENTY-FIRST CENTURY FOX, INC.",30423000000,4841,,,,2010-04-30,2011-03-31
2009,0000773840,HONEYWELL INTERNATIONAL INC,29951000000,3724,HON,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000004447,HESS CORP,29569000000,2911,HES,,primary_document,2010-04-30,2011-03-31
2009,0001018003,INGRAM MICRO INC,29515446000,5045,,,,2010-04-30,2011-03-31
2009,0000095304,SUNOCO INC,28559000000,2911,,,,2010-04-30,2011-03-31
2009,0000053669,JOHNSON CONTROLS INC,28497000000,7380,,,,2010-04-30,2011-03-31
2009,0000027904,"DELTA AIR LINES, INC.",28063000000,4512,DAL,NYSE,submissions,2010-04-30,2011-03-31
2009,0001133421,NORTHROP GRUMMAN CORP /DE/,27650000000,3812,NOC,NYSE,submissions,2010-04-30,2011-03-31
2009,0000310158,"Merck & Co., Inc.",27428000000,2834,MRK,NYSE,submissions,2010-04-30,2011-03-31
2009,0001341439,ORACLE CORP,26820000000,7372,ORCL,NYSE,submissions,2010-04-30,2011-03-31
2009,0000100493,"TYSON FOODS, INC.",26704000000,2015,TSN,NYSE,submissions,2010-04-30,2011-03-31
2009,0000030554,"EIDP, Inc.",26109000000,2820,CTA-PB,NYSE,submissions,2010-04-30,2011-03-31
2009,0000084129,"NEW RITE AID, LLC",25669117000,5912,RAD,,primary_document,2010-04-30,2011-03-31
2009,0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,25510900000,4922,EPD,NYSE,submissions,2010-04-30,2011-03-31
2009,0001105705,"WARNER MEDIA, LLC",25388000000,4841,,,,2010-04-30,2011-03-31
2009,0001047122,RAYTHEON CO/,24881000000,3812,RTN,,primary_document,2010-04-30,2011-03-31
2009,0000885721,EXPRESS SCRIPTS INC,24722300000,5912,,,,2010-04-30,2011-03-31
2009,0000081061,PUBLIX SUPER MARKETS INC,24514960000,5411,,,,2010-04-30,2011-03-31
2009,0001018724,AMAZON COM INC,24509000000,5961,AMZN,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000791519,STAPLES INC,24275451000,5940,,,,2010-04-30,2011-03-31
2009,0000866374,FLEX LTD.,24110733000,3672,FLEX,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000917851,Vale S.A.,23939000000,1000,VALE,NYSE,submissions,2010-04-30,2011-03-31
2009,0001288776,GOOGLE INC.,23651000000,7370,,,,2010-04-30,2011-03-31
2009,0000064978,MERCK SHARP & DOHME LLC,23643200000,2834,,,,2010-04-30,2011-03-31
2009,0000764180,"ALTRIA GROUP, INC.",23556000000,2111,MO,NYSE,submissions,2010-04-30,2011-03-31
2009,0000794367,"Macy's, Inc.",23489000000,5311,M,NYSE,submissions,2010-04-30,2011-03-31
2009,0000051434,INTERNATIONAL PAPER CO /NEW/,23366000000,2621,IP,NYSE,submissions,2010-04-30,2011-03-31
2009,0001467373,Accenture plc,23170968000,7389,ACN,NYSE,submissions,2010-04-30,2011-03-31
2009,0000066740,3M CO,23123000000,3841,MMM,NYSE,submissions,2010-04-30,2011-03-31
2009,0000315189,DEERE & CO,23112400000,3523,DE,NYSE,submissions,2010-04-30,2011-03-31
2009,0000063908,MCDONALDS CORP,22744700000,5812,MCD,NYSE,submissions,2010-04-30,2011-03-31
2009,0000087347,SLB LIMITED/NV,22702000000,1389,SLB,NYSE,submissions,2010-04-30,2011-03-31
2009,0000790703,TECH DATA CORP,22099876000,5045,,,,2010-04-30,2011-03-31
2009,0001124198,FLUOR CORP,21990297000,1600,FLR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000059478,ELI LILLY & Co,21836000000,2834,LLY,NYSE,submissions,2010-04-30,2011-03-31
2009,0000317891,RICOH CO LTD,21681043000,3861,,,,2010-04-30,2011-03-31
2009,0000804055,"COCA-COLA REFRESHMENTS USA, INC.",21645000000,2086,,,,2010-04-30,2011-03-31
2009,0001465112,DIRECTV,21565000000,4899,,,,2010-04-30,2011-03-31
2009,0000230211,FEDERAL EXPRESS CORP,21243000000,4513,,,,2010-04-30,2011-03-31
2009,0000109198,TJX COMPANIES INC /DE/,20288444000,5651,TJX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000032604,EMERSON ELECTRIC CO,20102000000,3600,EMR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000055785,KIMBERLY CLARK CORP,19115000000,2670,KMB,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000320187,"NIKE, Inc.",19014000000,3021,NKE,NYSE,submissions,2010-04-30,2011-03-31
2009,0000014272,BRISTOL MYERS SQUIBB CO,18808000000,2834,BMY,NYSE,submissions,2010-04-30,2011-03-31
2009,0001234308,DIRECTV HOLDINGS LLC,18671000000,4841,,,,2010-04-30,2011-03-31
2009,0001070423,PLAINS ALL AMERICAN PIPELINE LP,18520000000,4610,PAA,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000004281,Howmet Aerospace Inc.,18439000000,3350,HWM,NYSE,submissions,2010-04-30,2011-03-31
2009,0001377013,"SPECTRUM MANAGEMENT HOLDING COMPANY, LLC",17868000000,4841,,,,2010-04-30,2011-03-31
2009,0001166126,"Old COPPER Company, Inc.",17556000000,5311,JCP,,primary_document,2010-04-30,2011-03-31
2009,0001109357,EXELON CORP,17318000000,4931,EXC,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001290109,"LG Display Co., Ltd.",17219698000,3679,LPL,NYSE,submissions,2010-04-30,2011-03-31
2009,0000885639,KOHLS Corp,17178000000,5311,KSS,NYSE,submissions,2010-04-30,2011-03-31
2009,0000106640,WHIRLPOOL CORP /DE/,17099000000,3630,WHR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000717423,MURPHY OIL CORP,16895206000,1311,MUR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000833444,Johnson Controls International plc,16882000000,3585,JCI,NYSE,submissions,2010-04-30,2011-03-31
2009,0000749098,MAGNA INTERNATIONAL INC,16876000000,3714,MGA,NYSE,submissions,2010-04-30,2011-03-31
2009,0000100517,"United Airlines Holdings, Inc.",16335000000,4512,UAL,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000042582,GOODYEAR TIRE & RUBBER CO /OH/,16301000000,3011,GT,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000818686,TEVA PHARMACEUTICAL INDUSTRIES LTD,16121000000,2834,TEVA,NYSE,submissions,2010-04-30,2011-03-31
2009,0000023082,COMPUTER SCIENCES CORP,15921000000,7373,,,,2010-04-30,2011-03-31
2009,0000092122,SOUTHERN CO,15743000000,4911,SO,NYSE,submissions,2010-04-30,2011-03-31
2009,0000753308,NEXTERA ENERGY INC,15643000000,4911,NEE,NYSE,submissions,2010-04-30,2011-03-31
2009,0001004440,CONSTELLATION ENERGY GROUP INC,15598800000,4911,,,,2010-04-30,2011-03-31
2009,0000056594,KOMATSU LTD,15393161000,3531,,,,2010-04-30,2011-03-31
2009,0000064670,MEDTRONIC INC,15392000000,3845,,,,2010-04-30,2011-03-31
2009,0000021665,COLGATE PALMOLIVE CO,15327000000,2844,CL,NYSE,submissions,2010-04-30,2011-03-31
2009,0000108772,XEROX CORP,15179000000,3577,XRX,,primary_document,2010-04-30,2011-03-31
2009,0001070235,BLACKBERRY Ltd,14953000000,7372,BB,NYSE,submissions,2010-04-30,2011-03-31
2009,0000797468,OCCIDENTAL PETROLEUM CORP /DE/,14814000000,1311,OXY,NYSE,submissions,2010-04-30,2011-03-31
2009,0000715957,"DOMINION ENERGY, INC",14798000000,4911,D,NYSE,submissions,2010-04-30,2011-03-31
2009,0000007536,"ARROW ELECTRONICS, INC.",14684101000,5065,ARW,NYSE,submissions,2010-04-30,2011-03-31
2009,0000045012,HALLIBURTON CO,14675000000,1389,HAL,NYSE,submissions,2010-04-30,2011-03-31
2009,0000318154,AMGEN INC,14642000000,2836,AMGN,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000040704,GENERAL MILLS INC,14635600000,2040,GIS,NYSE,submissions,2010-04-30,2011-03-31
2009,0000039911,GAP INC,14197000000,5651,GAP,NYSE,submissions,2010-04-30,2011-03-31
2009,0000100885,UNION PACIFIC CORP,14143000000,4011,UNP,NYSE,submissions,2010-04-30,2011-03-31
2009,0000790070,EMC CORP,14025910000,3572,EMC,,primary_document,2010-04-30,2011-03-31
2009,0000934612,"BURLINGTON NORTHERN SANTA FE, LLC",14016000000,4011,BNI,,primary_document,2010-04-30,2011-03-31
2009,0001024519,CNH GLOBAL N V,13760000000,3531,,,,2010-04-30,2011-03-31
2009,0000049826,ILLINOIS TOOL WORKS INC,13572996000,3560,ITW,NYSE,submissions,2010-04-30,2011-03-31
2009,0001005414,TOYS R US INC,13568000000,5945,,,,2010-04-30,2011-03-31
2009,0000004904,AMERICAN ELECTRIC POWER CO INC,13489000000,4911,AEP,Nasdaq,company_tickers_exchange,2010-04-30,2011-03-31
2009,0001004980,PG&E Corp,13399000000,4931,PCG,NYSE,submissions,2010-04-30,2011-03-31
2009,0001339947,Viacom Inc.,13257000000,4841,VIA,,primary_document,2010-04-30,2011-03-31
2009,0001076405,PEPSI BOTTLING GROUP INC,13219000000,2080,,,,2010-04-30,2011-03-31
2009,0001087835,BOTTLING GROUP LLC,13219000000,2080,,,,2010-04-30,2011-03-31
2009,0000815097,Carnival Corp Ltd.,13157000000,4400,CCL,NYSE,submissions,2010-04-30,2011-03-31
2009,0001056239,L 3 COMMUNICATIONS HOLDINGS INC,13147000000,3663,,,,2010-04-30,2011-03-31
2009,0001047862,CONSOLIDATED EDISON INC,13032000000,4931,ED,NYSE,submissions,2010-04-30,2011-03-31
2009,0000813828,Paramount Global,13015000000,4833,PARA,,primary_document,2010-04-30,2011-03-31
2009,0001466258,Trane Technologies plc,13009100000,3822,TT,NYSE,submissions,2010-04-30,2011-03-31
2009,0000874761,AES CORP,12974000000,4991,AES,NYSE,submissions,2010-04-30,2011-03-31
2009,0001031296,FIRSTENERGY CORP,12967000000,4911,FE,NYSE,submissions,2010-04-30,2011-03-31
2009,0001326160,Duke Energy CORP,12731000000,4931,DUK,NYSE,submissions,2010-04-30,2011-03-31
2009,0001021860,NOV Inc.,12712000000,3533,NOV,NYSE,submissions,2010-04-30,2011-03-31
2009,0000055067,KELLANOVA,12575000000,2040,K,,primary_document,2010-04-30,2011-03-31
2009,0000010456,BAXTER INTERNATIONAL INC,12562000000,3841,BAX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000827052,EDISON INTERNATIONAL,12361000000,4911,EIX,NYSE,submissions,2010-04-30,2011-03-31
2009,0001037949,QWEST COMMUNICATIONS INTERNATIONAL INC,12311000000,4813,,,,2010-04-30,2011-03-31
2009,0000079879,PPG INDUSTRIES INC,12239000000,2851,PPG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000800240,ODP Corp,12144467000,5940,ODP,,primary_document,2010-04-30,2011-03-31
2009,0000007032,"Aramark Services, Inc.",12138095000,5812,,,,2010-04-30,2011-03-31
2009,0001357615,"KBR, INC.",12105000000,1600,KBR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,12035000000,4931,PEG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000023217,CONAGRA BRANDS INC.,12014900000,2000,CAG,NYSE,submissions,2010-04-30,2011-03-31
2009,0001267097,ZF TRW AUTOMOTIVE HOLDINGS CORP,11983000000,3714,,,,2010-04-30,2011-03-31
2009,0000031277,EATON CORP,11873000000,3590,,,,2010-04-30,2011-03-31
2009,0000029534,DOLLAR GENERAL CORP,11796380000,5331,DG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000823768,WASTE MANAGEMENT INC,11791000000,4953,WM,NYSE,submissions,2010-04-30,2011-03-31
2009,0000029989,OMNICOM GROUP INC.,11720700000,7311,OMC,NYSE,submissions,2010-04-30,2011-03-31
2009,0001110783,MONSANTO CO /NEW/,11685000000,2870,MON,,primary_document,2010-04-30,2011-03-31
2009,0000898293,JABIL INC,11684538000,3672,JBL,NYSE,submissions,2010-04-30,2011-03-31
2009,0001001082,DISH Network CORP,11664151000,4841,DISH,,primary_document,2010-04-30,2011-03-31
2009,0001042642,DISH DBS CORP,11663118000,4899,DDBS,,primary_document,2010-04-30,2011-03-31
2009,0000808450,NAVISTAR INTERNATIONAL CORP,11569000000,3711,,,,2010-04-30,2011-03-31
2009,0000052988,JACOBS SOLUTIONS INC.,11467376000,1600,J,NYSE,submissions,2010-04-30,2011-03-31
2009,0001451505,Transocean Ltd.,11441000000,1381,RIG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000789460,WORLD KINECT CORP,11295177000,5172,WKC,NYSE,submissions,2010-04-30,2011-03-31
2009,0001376986,Tennessee Valley Authority,11255000000,4911,TVE,NYSE,submissions,2010-04-30,2011-03-31
2009,0001081316,BERKSHIRE HATHAWAY ENERGY CO,11204000000,4900,BHE,,primary_document,2010-04-30,2011-03-31
2009,0000091388,SMITHFIELD FOODS INC,11202600000,2011,SFD,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000073309,NUCOR CORP,11190296000,3312,NUE,NYSE,submissions,2010-04-30,2011-03-31
2009,0000931336,DEAN FOODS CO,11113782000,2020,DF,,primary_document,2010-04-30,2011-03-31
2009,0001495569,"Motorola Mobility Holdings, Inc",11050000000,3663,,,,2010-04-30,2011-03-31
2009,0001163302,UNITED STATES STEEL CORP,11048000000,3312,X,,primary_document,2010-04-30,2011-03-31
2009,0001048286,MARRIOTT INTERNATIONAL INC /MD/,10908000000,7011,MAR,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001041061,YUM BRANDS INC,10836000000,5812,YUM,NYSE,submissions,2010-04-30,2011-03-31
2009,0001039684,ONEOK INC /NEW/,10805753000,4923,OKE,NYSE,submissions,2010-04-30,2011-03-31
2009,0000026172,CUMMINS INC,10800000000,3510,CMI,NYSE,submissions,2010-04-30,2011-03-31
2009,0000065984,ENTERGY CORP /DE/,10745650000,4911,ETR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000350698,"AUTONATION, INC.",10666000000,5500,AN,NYSE,submissions,2010-04-30,2011-03-31
2009,0001336920,"Leidos Holdings, Inc.",10580000000,7373,LDOS,NYSE,submissions,2010-04-30,2011-03-31
2009,0000313616,DANAHER CORP /DE/,10516681000,3823,DHR,NYSE,submissions,2010-04-30,2011-03-31
2009,0000217346,TEXTRON INC,10500000000,3720,TXT,NYSE,submissions,2010-04-30,2011-03-31
2009,0000046640,Kraft Heinz Foods Co,10494983000,2030,,,,2010-04-30,2011-03-31
2009,0000701345,US AIRWAYS GROUP INC,10458000000,4512,,,,2010-04-30,2011-03-31
2009,0000097476,TEXAS INSTRUMENTS INC,10427000000,3674,TXN,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000804328,QUALCOMM INC/DE,10387000000,3663,QCOM,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000092380,SOUTHWEST AIRLINES CO,10350000000,4512,LUV,NYSE,submissions,2010-04-30,2011-03-31
2009,0000076334,Parker-Hannifin Corp,10309015000,3490,PH,NYSE,submissions,2010-04-30,2011-03-31
2009,0001385187,Covidien plc,10263000000,3841,COV,,primary_document,2010-04-30,2011-03-31
2009,0001385157,TE Connectivity plc,10256000000,5065,TEL,NYSE,submissions,2010-04-30,2011-03-31
2009,0000008868,AVON PRODUCTS INC,10205200000,2844,AVP,,primary_document,2010-04-30,2011-03-31
2009,0000040987,GENUINE PARTS CO,10057512000,5013,GPC,NYSE,submissions,2010-04-30,2011-03-31
2009,0001037461,BJS WHOLESALE CLUB INC,10050597000,5331,,,,2010-04-30,2011-03-31
2009,0001115837,MOBILE TELESYSTEMS PUBLIC JOINT STOCK Co,9867253000,4812,,,,2010-04-30,2011-03-31
2009,0000029669,RR Donnelley & Sons Co,9857400000,2750,,,,2010-04-30,2011-03-31
2009,0001137789,Seagate Technology Holdings plc,9805000000,3572,STX,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000829224,STARBUCKS CORP,9774600000,5810,SBUX,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000097745,THERMO FISHER SCIENTIFIC INC.,9741000000,3829,TMO,NYSE,submissions,2010-04-30,2011-03-31
2009,0000808362,Baker Hughes Holdings LLC,9664000000,3533,LLC,,primary_document,2010-04-30,2011-03-31
2009,0000072903,XCEL ENERGY INC,9644303000,4931,XEL,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001023291,Energy Future Holdings Corp /TX/,9546000000,4911,EFH,,primary_document,2010-04-30,2011-03-31
2009,0000883980,FIRST DATA CORP,9313800000,7389,,,,2010-04-30,2011-03-31
2009,0001326380,GameStop Corp.,9078000000,5734,GME,NYSE,submissions,2010-04-30,2011-03-31
2009,0000868809,XTO ENERGY INC,9064000000,1311,,,,2010-04-30,2011-03-31
2009,0000277948,CSX CORP,9041000000,4011,CSX,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000773910,ANADARKO PETROLEUM CORP,9000000000,1311,,,,2010-04-30,2011-03-31
2009,0001019849,"PENSKE AUTOMOTIVE GROUP, INC.",8969523000,5500,PAG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000884905,LINDE INC,8956000000,2810,,,,2010-04-30,2011-03-31
2009,0001013871,"NRG ENERGY, INC.",8952000000,4911,NRG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000858339,"CAESARS HOLDINGS, INC.",8907400000,7011,,,,2010-04-30,2011-03-31
2009,0000008670,AUTOMATIC DATA PROCESSING INC,8838400000,7374,ADP,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001453090,Weatherford International Ltd./Switzerland,8833000000,1381,,,,2010-04-30,2011-03-31
2009,0001065088,EBAY INC,8727362000,7389,EBAY,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001304280,Novelis Inc.,8673000000,3350,NVL,,primary_document,2010-04-30,2011-03-31
2009,0000701985,"Bath & Body Works, Inc.",8632000000,5990,BBWI,NYSE,submissions,2010-04-30,2011-03-31
2009,0000072333,NORDSTROM INC,8627000000,5651,JWN,,primary_document,2010-04-30,2011-03-31
2009,0000813762,ICAHN ENTERPRISES L.P.,8543000000,2911,IEP,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000932787,STMicroelectronics N.V.,8510000000,3674,STM,NYSE,submissions,2010-04-30,2011-03-31
2009,0001275283,REYNOLDS AMERICAN INC,8419000000,2111,,,,2010-04-30,2011-03-31
2009,0001355096,"Old QVC Group, Inc.",8305000000,5961,QVCAQ,,company_tickers_exchange,2010-04-30,2011-03-31
2009,0001130310,CENTERPOINT ENERGY INC,8281000000,4911,CNP,NYSE,submissions,2010-04-30,2011-03-31
2009,0000002969,"Air Products & Chemicals, Inc.",8256200000,2810,APD,NYSE,submissions,2010-04-30,2011-03-31
2009,0000216228,ITT INC.,8244000000,3561,ITT,NYSE,submissions,2010-04-30,2011-03-31
2009,0001060391,"REPUBLIC SERVICES, INC.",8199100000,4953,RSG,NYSE,submissions,2010-04-30,2011-03-31
2009,0000885725,BOSTON SCIENTIFIC CORP,8188000000,3841,BSX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000756894,BARRICK MINING CORP,8136000000,1040,B,NYSE,submissions,2010-04-30,2011-03-31
2009,0000075362,PACCAR INC,8086500000,3711,PCAR,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000075252,ACCENDRA HEALTH INC/VA/,8037624000,5047,ACH,NYSE,submissions,2010-04-30,2011-03-31
2009,0000865436,WHOLE FOODS MARKET INC,8031620000,5411,,,,2010-04-30,2011-03-31
2009,0001090012,DEVON ENERGY CORP/DE,8015000000,1311,DVN,NYSE,submissions,2010-04-30,2011-03-31
2009,0000702165,NORFOLK SOUTHERN CORP,7969000000,4011,NSC,NYSE,submissions,2010-04-30,2011-03-31
2009,0001219601,"CROWN HOLDINGS, INC.",7938000000,3411,CCK,NYSE,submissions,2010-04-30,2011-03-31
2009,0001445049,Energy Future Competitive Holdings Co LLC,7911000000,4911,EFCH,,primary_document,2010-04-30,2011-03-31
2009,0000886158,"20230930-DK-Butterfly-1, Inc.",7828793000,5700,BBBY,,primary_document,2010-04-30,2011-03-31
2009,0001177394,TD SYNNEX CORP,7719197000,5045,SNX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000895126,EXPAND ENERGY Corp,7702000000,1311,EXE,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001307954,Huntsman CORP,7665000000,2800,HUN,NYSE,submissions,2010-04-30,2011-03-31
2009,0000062996,MASCO CORP /DE/,7657000000,3430,MAS,NYSE,submissions,2010-04-30,2011-03-31
2009,0000031235,EASTMAN KODAK CO,7609000000,3861,KODK,NYSE,submissions,2010-04-30,2011-03-31
2009,0000016732,CAMPBELL'S Co,7586000000,2000,CPB,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0001043277,"C. H. ROBINSON WORLDWIDE, INC.",7577189000,4731,CHRW,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000916863,"INTEGRYS HOLDING, INC.",7499800000,4931,,,,2010-04-30,2011-03-31
2009,0001170010,CARMAX INC,7470193000,5500,KMX,NYSE,submissions,2010-04-30,2011-03-31
2009,0001022079,QUEST DIAGNOSTICS INC,7455243000,8071,DGX,NYSE,submissions,2010-04-30,2011-03-31
2009,0000106040,WESTERN DIGITAL CORP,7453000000,3572,WDC,Nasdaq,submissions,2010-04-30,2011-03-31
2009,0000922224,PPL Corp,7449000000,4911,PPL,NYSE,submissions,2010-04-30,2011-03-31
