security_code,security_name,final_review_outcome,recommended_attention_class,current_attention_class,confidence,review_reason,next_hard_evidence,review_scope,source_ids,source_registry,related_migration_decision_id,production_action
600233,圆通速递,认可维持移出,boundary_pending,boundary_pending,medium,网络密度有壁垒，极兔通过收购进入并不等于绿地重建网络。更合理的移出依据是圆通尚缺持续领先同行的单票成本/产品溢价；在同质竞争中仅占据网络席位不足以入池。,剔除派费口径变化后的单票成本差、航空网络变现与现金回报,prior_second_review_carried_forward,S22,sources.csv,attention_class_migration:2026-09-07:600233:0c5e84,none_research_recommendation_only
600919,江苏银行,认可维持移出,boundary_pending,boundary_pending,medium,江苏银行属于国内系统重要性银行，不能写成不是系统重要性银行。监管身份也不自动赋予池内代表资格；现有多年经营比较尚不足以进入招行/宁波/成都所代表的最优经营梯队，按当前精选口径暂留池外。,同口径多年负债成本、信贷损失与资本回报；明确系统重要性代表范围,prior_second_review_carried_forward,S01,sources.csv,attention_class_migration:2026-09-07:600919:2c3924,none_research_recommendation_only
600988,赤峰黄金,认可维持移出,boundary_pending,boundary_pending,medium,2026H1 自产金营业成本 383.44 元/克、全维持成本 481.45 元/克且同比上升，不支持原来的低成本矿山断言。不能混用其他金企营业成本与本公司的全维持成本，也不采用未经同口径证明的全球排名。,并购完成及权益归属、同口径矿山成本/储量和稳定运营记录,prior_second_review_carried_forward,S23,sources.csv,attention_class_migration:2026-09-07:600988:1e5afb,none_research_recommendation_only
601872,招商轮船,认可维持移出,boundary_pending,boundary_pending,medium,船队规模与长协有价值，但船舶可购、运价市场化、国油国运非公司专享；尚缺不可复制航线/成本优势及高于同行的长期合同回报。维持边界并非否认所有航运企业有壁垒。,长协真实资本回报、独占准入和低运价期相对盈利证据,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:601872:2d1380,none_research_recommendation_only
601958,金钼股份,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,天然矿体稀缺不要求另有行政配额；原文把无配额记作缺一项是规则误读。矿体和全球钼销量地位得到年报支持，但纯自有矿成本与贸易/深加工分部混杂，成本曲线位置尚不足以确认。,自有矿单位现金/全维持成本及副产品抵扣，核对可采储量口径,prior_second_review_carried_forward,S18,sources.csv,attention_class_migration:2026-09-07:601958:73ca54,none_research_recommendation_only
603556,海兴电力,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,海外 AMI 本地化与长期客户服务不能按国内电表集采一概处理；年报确认海外收入占约三分之二。海外毛利下行需要重视，但同业三至五年可追上缺少实际案例；尚缺存量系统复购和现金回报证据以恢复。,主要国家 AMI 软件/售后复购、老客户续约率和同国同项目竞争,prior_second_review_carried_forward,S13,sources.csv,attention_class_migration:2026-09-07:603556:ae37f4,none_research_recommendation_only
603605,珀莱雅,维持移出，撤回恢复建议,boundary_pending,boundary_pending,medium,品类高毛利不等于品牌拉力；主品牌、扣非与回款变化使费用后持久溢价仍存疑，前次恢复论证不足。非经常净差额5.037亿元不等于单项重估4.454亿元。,同价格带复购、自然流量、获客费用后利润，不仅是收入转正,response_dispute_reverified,F05,final_review.json,attention_class_migration:2026-09-07:603605:9809de,none_research_recommendation_only
603979,金诚信,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,矿服需要工程经验，矿主有钱并不证明可快速自建同等队伍；天然铜矿也无需行政配额才稀缺。矿服与新矿投产不能用旧公司 ROE 混判，但矿山稳定成本和归属权益证据仍需补齐。,分矿可采储量、回收率、稳定全维持成本及矿服续约利润,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:603979:ae1796,none_research_recommendation_only
688100,威胜信息,认可维持移出,boundary_pending,boundary_pending,medium,采集终端、通信模块和芯片层需分开；中标第一不构成招标排他。现有材料不足以证明芯片/IP或系统安装形成独立于集采资格的持续锁定，暂不恢复。,自有芯片/IP利润、终端客户替换成本与非招标复购收入,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:688100:8ce195,none_research_recommendation_only
688256,寒武纪,认可维持移出,boundary_pending,boundary_pending,medium,国产 AI 芯片技术与软件生态应单独研究，历史亏损不能一票否决。当前仍缺跨客户迁移、软件生态和持续交付经济性的充分证据；旧份额数据还存在 1160万/1.65亿却写约3%的算术矛盾，该数字作废。,可复核的客户结构、软件迁移成本、供应保障与扣非现金回报,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:688256:d0bd60,none_research_recommendation_only
688563,航材股份,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,2023 年募资 71.091 亿元，净资产由 25.91 亿升至 100.13 亿，同年利润增长；把 ROE 单调下降全解释为独供能力衰退错误。不过多年回款弱与毛利下行仍需拆解，暂不直接恢复。,排除闲置募资后的经营资本回报、军品审价和同口径多年回款,prior_second_review_carried_forward,S03;S04,sources.csv,attention_class_migration:2026-09-07:688563:9bfe6e,none_research_recommendation_only
688630,芯碁微装,暂维持移出，原理由需修正,boundary_pending,boundary_pending,low,已有奥宝/Screen 等不等于客户可以无成本替换，更不能把 PCB 直接成像等同普通 PCB 制造。旧材料的全球第一和差现金转换周期同时存在；由于缺少同工序替换及回款验证，暂留边界。,直接成像客户更换设备实例、验收/回款周期及细分工艺利润,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:688630:03ef44,none_research_recommendation_only
688775,影石创新,认可维持移出,boundary_pending,boundary_pending,medium,大疆已正式推出全景相机，原来近独占产品窗口出现直接挑战；算法与品牌仍有价值，但不足以继续假定难以替代。不能把发布时间倒推成研发只用一年，需用竞争后同价位份额/利润判断。,同价位产品留存、软件生态复购和竞争后稳定经营利润,prior_second_review_carried_forward,S19,sources.csv,attention_class_migration:2026-09-07:688775:84223e,none_research_recommendation_only
688777,中控技术,建议恢复关注,worth_attention,boundary_pending,medium,控制平台的工艺适配、可靠性交付及跨行业长期客户积累支持资本复制测试；纠正毛利增幅反号与扣非转负误读。毛利上升本身不证明售价不降。,核心项目续用、更新及回款，核心控制与S2B分拆；经营收缩与费用补助影响,response_dispute_reverified,F01;F02;F08;F09,final_review.json,attention_class_migration:2026-09-07:688777:ef0809,none_research_recommendation_only
689009,九号公司,暂维持移出，原理由需修正,boundary_pending,boundary_pending,medium,高端两轮车是与爱玛不同的价格带；公司整体毛利不能与同行整车毛利混比，历史滑板车业务 ROE 也不等于当前两轮车回报。品牌溢价是否覆盖获客费用及跨周期持续，证据尚不足。,两轮车分部毛利/费用、同价位复购与品牌溢价持续性,prior_second_review_carried_forward,,sources.csv,attention_class_migration:2026-09-07:689009:ce8a5e,none_research_recommendation_only
920394,民士达,建议恢复关注,worth_attention,boundary_pending,medium,高端纸基材料工艺与跨年份、多行业客户应用构成持续载体；撤销双寡头及泛化产能份额说法，不以UL证书独自证明独占。,高端与低端同规格验证及替换、关联原料定价、费用后利润与现金转化,response_dispute_reverified,F03;F10;F11,final_review.json,attention_class_migration:2026-09-07:920394:c1666e,none_research_recommendation_only
920599,同力股份,暂维持移出，撤回恢复建议,boundary_pending,boundary_pending,medium,服务网络和盈利记录是正面证据，但同业差异化成本或客户锁定仍未充分确定；现金流可核实且受结算时点影响。临工矿山设备及集团ROE口径不可直接当纯宽体车对照。,同规格矿车及服务合同总成本、复购替换、备件收益与回款；同业全口径序列,response_dispute_reverified,F04;F14,final_review.json,attention_class_migration:2026-09-07:920599:a01be8,none_research_recommendation_only
920982,锦波生物,认可维持移出,boundary_pending,boundary_pending,medium,巨子生物已取得相邻直接竞争适应症的注射用重组胶原注册证，首证稀缺溢价须重估。不同胶原型别不等于完全同品，剩余专利/医生习惯也未归零；现有证据不足支持继续按独家平台入池。,同适应症竞争后的价格/复购、证书组合与专利保护范围,prior_second_review_carried_forward,S24,sources.csv,attention_class_migration:2026-09-07:920982:21f6f7,none_research_recommendation_only
