source_id,title,url,checked_at,evidence_used
S20,同力股份2025年年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12080715&stockid=920599,2026-09-07,宽体车产品与矿区服务模式；2025年现金流弱化
S20H,同力股份2026年半年报（发行人公告转载）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12538519&stockid=920599,2026-09-07,毛利率20.72%；经营现金流5.12亿元；三级备件/矿区服务体系
S21,兆科眼科2025年中期业绩公告,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0828/2025082801649_c.pdf,2026-09-07,第3至4页0.01%和0.02%阿托品申请受理；不证明当前已获批
S22,顺丰控股港股上市法律意见披露,https://www.hkexnews.hk/listedco/listconews/sehk/2024/1119/11444851/2024111900542_c.pdf,2026-09-07,2023年丰网100%股权转让予极兔；不能将买网络等同重建网络
S23,赤峰黄金2026年半年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12574711&stockid=600988,2026-09-07,自产金营业成本383.44元/克与全维持成本481.45元/克的区别
S24,巨子生物获注射用重组胶原注册证公告,https://www.hkexnews.hk/listedco/listconews/sehk/2025/1023/2025102300176_c.pdf,2026-09-07,2025年10月23日获证；额部动力性皱纹适应症与胶原型别
S25,京东方2025年年报,https://pdf.dfcfw.com/pdf/H2_AN202603311820924514_1.pdf,2026-09-07,显示器件毛利率12.92%；不能凭全集团低ROE否定全部工艺壁垒
S26,惠科股份2026年招股说明书,https://pdf.dfcfw.com/pdf/H2_AN202606171823642129_1.pdf,2026-09-07,第137页四条G8.6产线2017/2019/2020/2021年投产；不能外推京东方全平台已复制
S27,京东方2026年半年报（发行人公告转载）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12572072&stockid=000725,2026-09-07,扣非归母增长31.81%；工艺规模和现金回报分开评价
S28,亚钾国际2025年年报（发行人公告转载）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12227531,2026-09-07,氯化钾营业成本2127424272.20元与销量204.57万吨；仅可算营业成本/吨
S29,凯因科技投资者答复转载（仅辅助线索）,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02001wmyo?froms=ggmp,2026-09-07,2025年答复称乙肝新增适应症2024年9月受理；未核实截至当日批准状态
