security_code,security_name,current_attention_class,review_outcome,confidence,review_reason,next_hard_evidence,external_check_scope,new_source_ids,new_source_urls,prior_verdict,prior_reason_not_reverified,prior_sources_not_all_reopened,related_migration_decision_id,production_action
002837,英维克,boundary_pending,认可维持移出,medium,全链条液冷方案有工程能力，尚未形成不可替代接口或稳定成本差；已有多种竞争方案、利润率承压共同支持边界处理。撤回无出处的固定 1—2 年认证期，不把没有牌照作为唯一否决项。,同一代液冷产品的份额、单位利润、客户切换与接口标准绑定,prior_record_logic_only,,,降 boundary_pending,温控无牌照/稀缺要素，认证周期 1-2 年，维谛/台达/申菱/曙光数创等均在场；营收年增 30% 的同时毛利 35.8→24.9 四年连降、2026Q1 净利率 1.2%，放量不带定价权，复制测试存疑。,data/interim/moat_audit_2026-09-07/batch_04_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002837_英维克/README.md ; docs/peer-group-calibration/a-share-other-special-machinery.md ; data/archive/completed-queues/evidence_review_log.md ; data/raw/financials/<FY>-12-31.csv（同业 ROE 序列） ; https://www.chinabaogao.com/detail/750857.html ; https://www.21jingji.com/article/20250822/herald/a13e3c01716b729f5233134f027164af.html,attention_class_migration:2026-09-07:002837:59d9f4,none_recommendation_only
002906,华阳集团,boundary_pending,认可维持移出,medium,HUD 是独立细分位置，不能仅以德赛座舱优势全面覆盖。现有材料仍缺 HUD 的持续利润优势和不可替代产品证据，销量领先不足以确认长期定价或成本壁垒。,HUD 分部同产品利润/良率、平台定点续延和切换成本,prior_record_logic_only,,,降 boundary_pending,HUD 23.4% 第一属实，但十一年 ROE 从未≥15%、中位 9.5%，毛利四年连降至 16.8%，营收 +24% 归母仅 +6.6%，无重资产低谷等结构性解释；份额未转化为定价权，对照德赛低一档。,data/interim/moat_audit_2026-09-07/batch_04_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002906_华阳集团/README.md ; docs/peer-group-calibration/a-share-auto-parts.md ; data/archive/completed-queues/evidence_review_log.md ; data/raw/financials/<FY>-12-31.csv（同业 ROE 序列）,attention_class_migration:2026-09-07:002906:cf8ee3,none_recommendation_only
300034,钢研高纳,boundary_pending,认可维持移出,medium,军用牌号认证真实；结构性集中买方下，长期归属利润和现金回报偏弱需要更严审查。相较仅用 15%门槛，原资料所示多年盈利能力衰退是更合理的保留边界理由。,军品审价、少数股东损益及核心牌号分部回报的多年拆分,prior_record_logic_only,,,降 boundary_pending,牌号定型认证属实，但十一年 ROE 最高 11.6%、FY2025 仅 2.4%，净利率 2019-25 由 13.5% 单向降至 5.4%，增收不增利早于去库存周期；同认证锁的图南 ROE 15-23%，载体未转化为回报。,data/interim/moat_audit_2026-09-07/batch_04_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/300034_钢研高纳/README.md ; docs/peer-group-calibration/a-share-metal-products.md ; data/archive/completed-queues/evidence_review_log.md ; data/raw/financials/<FY>-12-31.csv（同业 ROE 序列）,attention_class_migration:2026-09-07:300034:c223b8,none_recommendation_only
300346,南大光电,boundary_pending,暂维持移出，原理由需修正,medium,MO 源与高纯气体的合成纯化、客户验证不能因十年 ROE 低而被直接否定；2025 年经营现金流约 7.33 亿元也不支持简单归为差现金流企业。但研发、少数股东与各品类利润归属尚未拆清，暂不恢复。,MO 源/特气分部经营资本回报、归属利润及新品验证，不等待单纯股价上涨,targeted_source_check,S12,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/34fc646f-1d2c-4e52-8f93-4d32bba9ff38.PDF,降 boundary_pending,MO源全球40%+、磷烷砷烷国内第一是真寡头，但十年ROE中位6.9%、无一年≥15%，特气毛利36.7%与华特同级无溢价；寡头地位未转化为超额回报，光刻胶投入期已逾八年不足以解释。,data/interim/moat_audit_2026-09-07/batch_05_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/300346_南大光电/README.md ; data/archive/completed-queues/evidence_review_log.md ; docs/peer-group-calibration/a-share-semiconductor-materials.md ; https://www.nbd.com.cn/articles/2024-05-10/3384508.html ; https://www.yicai.com/news/101271160.html ; https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_F10_FN_MAINOP&columns=ALL&filter=(SECUCODE%3D%22300346.SZ%22),attention_class_migration:2026-09-07:300346:3077b9,none_recommendation_only
300360,炬华科技,boundary_pending,认可维持移出,medium,国网可比资质供货商众多，招标份额本身没有排他性；当前材料缺少与电表同行拉开的持续成本、软件或客户锁定优势。高现金利息不能代替核心产品回报。,核心计量业务独立成本差或持续复购软件收入证据,prior_record_logic_only,,,降 boundary_pending,招标制、国网份额约3%、十余家同资质厂商，分层表自认载体「无」；高净利率靠净现金利息与低周转，ROE中位13.6%未持续高于三星医疗等同业；资金+电网资质即可复制。,data/interim/moat_audit_2026-09-07/batch_05_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/300360_炬华科技/README.md ; data/archive/completed-queues/evidence_review_log.md ; docs/peer-group-calibration/a-share-electrical-instruments.md ; https://finance.sina.com.cn/jjxw/2026-04-28/doc-inhvzwpy8544562.shtml ; https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-28/244b829b-72ec-407e-97c5-9d9aed8f8d7a.PDF ; sohu.com/a/1019924791 ; m.gelonghui.com/p/605312,attention_class_migration:2026-09-07:300360:7d94da,none_recommendation_only
300435,中泰股份,boundary_pending,认可维持移出,medium,深冷设备的工程能力值得记录，但仅靠领先自述和通用资质不足以证明难复制；城燃及减值拖累使公司层面可持续盈利载体更不清晰。,特定高端换热器认证/份额/利润证据，城燃资产风险隔离,prior_record_logic_only,,,降 boundary_pending,载体只有「国内领先/两家之一」自述，无份额与认证锁事实；压力容器资质与深冷设计杭氧等同业皆有；十年ROE中位8.9%、仅1年≥15%，2024因中邑燃气商誉减值3.24亿转亏——回报平庸且无硬载体。,data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/300435_中泰股份/README.md ; docs/peer-group-calibration/a-share-gas-utilities.md ; https://news.qq.com/rain/a/20250418A05FOX00 ; https://finance.sina.com.cn/stock/stockzmt/2025-04-22/doc-inetzras7731584.shtml ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,attention_class_migration:2026-09-07:300435:3738db,none_recommendation_only
300476,胜宏科技,boundary_pending,暂维持移出，原理由需修正,medium,HDI 与沪电主力高多层板并非完全同工序；扩产需要资本不等于良率可用钱即时复制。最新年报确认高端产品布局，跨代良率、客户替换及扩产后回报仍缺独立验证，先保持边界。,连续产品代际的量产良率、实际认证替换和扩产现金回报,targeted_source_check,S17,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-13/070dfea8-4c7b-4bd0-91a6-a7b045f12f4d.PDF,降 boundary_pending,AI高阶HDI位置为景气与阶段份额：2015-2024毛利22-26%、ROE≥15%仅3年，无别于普通PCB；沪电/鹏鼎/台系同具高阶HDI制程，英伟达多源认证2-3年可复制；巨额募资扩产属资本可买要素。,data/interim/moat_audit_2026-09-07/batch_05_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/300476_胜宏科技/README.md ; data/archive/completed-queues/evidence_review_log.md ; docs/peer-group-calibration/a-share-electronic-components.md ; http://www.eeo.com.cn/2026/0313/810524.shtml ; https://www.gilin.com.cn/essence0615318.html ; https://static.cninfo.com.cn/finalpage/2026-04-13/1225097032.PDF ; https://finance.sina.com.cn/stock/relnews/cn/2026-04-21/doc-inhvfqch6321478.shtml,attention_class_migration:2026-09-07:300476:522632,none_recommendation_only
300573,兴齐眼药,boundary_pending,认可维持移出,medium,阿托品首证窗口缺少已证实的长期排他保护，竞争申请已进入审评，暂不按独家长期利润入池。但申请受理不等于获批，也不证明临床和渠道能立即复制；旧判确定性过强。,监管批准、适应症/浓度、专利期、眼科渠道复购与竞争后价格,targeted_source_check,S21,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0828/2025082801649_c.pdf,降 boundary_pending,低浓度阿托品独家系审评时序而非法律排他：恒瑞NDA、兆科ANDA已于2025年受理，资金+审评时间即可复制，眼科渠道锁3-5年可追；ROE≥15%仅2021/2024/2025三年，超额回报未持续。,data/interim/moat_audit_2026-09-07/batch_05_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/300573_兴齐眼药/README.md ; data/archive/completed-queues/evidence_review_log.md ; docs/peer-group-calibration/a-share-chemical-formulation.md ; https://www.thepaper.cn/newsDetail_forward_32325187 ; https://www.jiemian.com/article/12749193.html ; https://pdf.dfcfw.com/pdf/H3_AP202504301665038221_1.pdf,attention_class_migration:2026-09-07:300573:25d7ca,none_recommendation_only
301498,乖宝宠物,boundary_pending,认可维持移出,medium,自有宠粮品牌已有规模，但分散竞争与获客投入使品牌独立拉力尚待验证。凭近期利润弱化不能证明无壁垒；结合当前缺乏持久复购/价格溢价证据，维持边界合理。,同价位复购、自然流量、销售费用后贡献利润及渠道库存,prior_record_logic_only,,,降 boundary_pending,品牌锁最软且沉淀短：犬粮份额 4.9% 处分散市场，销售费用率 16.7%→22.6% 仍换来 2026H1 归母 −49.6%、ROE 4.1%，八年 ROE 中位 12.6%；新锐品牌 3~5 年可复制，资本复制测试存疑。,data/interim/moat_audit_2026-09-07/batch_06_input.json ; data/companies/301498_乖宝宠物/README.md ; docs/peer-group-calibration/a-share-food-comprehensive.md ; https://www.bbtnews.com.cn/2026/0826/603572.shtml ; https://finance.sina.com.cn/stock/observe/2026-07-02/doc-inifmfcw2678227.shtml ; https://view.inews.qq.com/a/20260605A02BAG00,attention_class_migration:2026-09-07:301498:681b6a,none_recommendation_only
600233,圆通速递,boundary_pending,认可维持移出,medium,网络密度有壁垒，极兔通过收购进入并不等于绿地重建网络。更合理的移出依据是圆通尚缺持续领先同行的单票成本/产品溢价；在同质竞争中仅占据网络席位不足以入池。,剔除派费口径变化后的单票成本差、航空网络变现与现金回报,targeted_source_check,S22,https://www.hkexnews.hk/listedco/listconews/sehk/2024/1119/11444851/2024111900542_c.pdf,降 boundary_pending,极兔以资金在 4 年内建成全国网络（2024 份额 11.3%、中国区 EBIT 转正），证明网络密度可被资本复制；圆通 ROE 27.8→13.0、毛利 12.8→9.7%，攻击已压缩经济学；无定价权、产品无差异。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600233_圆通速递/README.md ; docs/peer-group-calibration/a-share-logistics.md ; https://news.qq.com/rain/a/20250306A05AFE00 ; https://www.nbd.com.cn/articles/2025-03-05/3777636.html,attention_class_migration:2026-09-07:600233:0c5e84,none_recommendation_only
600919,江苏银行,boundary_pending,认可维持移出,medium,江苏银行属于国内系统重要性银行，不能写成不是系统重要性银行。监管身份也不自动赋予池内代表资格；现有多年经营比较尚不足以进入招行/宁波/成都所代表的最优经营梯队，按当前精选口径暂留池外。,同口径多年负债成本、信贷损失与资本回报；明确系统重要性代表范围,targeted_source_check,S01,https://jr.jl.gov.cn/jrzx/jrdt/jgdt/202602/t20260214_3554740.html,降 boundary_pending,载体只是牌照与苏南区域规模（总资产4.93万亿），不良0.89%弱于宁波/成都；十年ROE中位13.6%、≥15%仅1年，低于招行/宁波/成都约3pp，非系统重要性代表亦非十年franchise最优者，留boundary_pending。,https://finance.sina.com.cn/tech/roll/2026-04-30/doc-inhwfyek6242218.shtml ; https://app.xinhuanet.com/news/article.html?articleId=20260429180afb0eceeb47dbb6dd83fbfa49247b ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; docs/peer-group-calibration/a-share-bank.md ; data/companies/600919_江苏银行/README.md,attention_class_migration:2026-09-07:600919:2c3924,none_recommendation_only
600988,赤峰黄金,boundary_pending,认可维持移出,medium,2026H1 自产金营业成本 383.44 元/克、全维持成本 481.45 元/克且同比上升，不支持原来的低成本矿山断言。不能混用其他金企营业成本与本公司的全维持成本，也不采用未经同口径证明的全球排名。,并购完成及权益归属、同口径矿山成本/储量和稳定运营记录,targeted_source_check,S23,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12574711&stockid=600988,降 boundary_pending,"「克金成本全球低位」被证伪：2026H1单位营业成本383元/克、全维持481元/克（约2,100美元/盎司），为山金国际164元/克的2.3倍；2025毛利52.5%系金价而非成本位置。资源三项仅储量一项成立，2018曾亏损。",data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/600988_赤峰黄金/README.md ; docs/peer-group-calibration/a-share-gold.md ; 东财研报库 国信证券 2026-09-01 赤峰黄金半年报点评 AP202609011828885822 ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,attention_class_migration:2026-09-07:600988:1e5afb,none_recommendation_only
601872,招商轮船,boundary_pending,认可维持移出,medium,船队规模与长协有价值，但船舶可购、运价市场化、国油国运非公司专享；尚缺不可复制航线/成本优势及高于同行的长期合同回报。维持边界并非否认所有航运企业有壁垒。,长协真实资本回报、独占准入和低运价期相对盈利证据,prior_record_logic_only,,,降 boundary_pending,国油国运为政策目标、非独占配额，与中远海能共享；船舶可购买、运价全球定价；十年 ROE ≥15% 仅 1 年、中位 10.4%、最低 1.6%，高回报年与运价上行同步（景气非壁垒）；VLOC 长约只锁定合同回报。,data/interim/moat_audit_2026-09-07/batch_01_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/601872_招商轮船/README.md ; docs/peer-group-calibration/a-share-shipping.md ; http://paper.people.com.cn/zgnyb/html/2016-01/04/content_1645401.htm ; https://stockmc.xueqiu.com/202603/601872_20260327_M9NZ.pdf ; https://file.finance.qq.com/finance/hs/pdf/2025/09/05/df6544168a2a11f086cffa163e39923a.pdf,attention_class_migration:2026-09-07:601872:2d1380,none_recommendation_only
601958,金钼股份,boundary_pending,暂维持移出，原理由需修正,medium,天然矿体稀缺不要求另有行政配额；原文把无配额记作缺一项是规则误读。矿体和全球钼销量地位得到年报支持，但纯自有矿成本与贸易/深加工分部混杂，成本曲线位置尚不足以确认。,自有矿单位现金/全维持成本及副产品抵扣，核对可采储量口径,targeted_source_check,S18,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12062172,降 boundary_pending,金堆城为物理锁，但三要素缺两项：无配额；成本曲线未证实——年报不披露单位成本，2015-2021七年ROE 0.3-4.3%、门类分位13-31低于采矿业中位。2023-25 ROE 17-22%由钼价驱动，属景气非壁垒，复制测试存疑。,https://stockmc.xueqiu.com/202604/601958_20260404_V94Q.pdf ; https://stock.stockstar.com/notice/SN2026040300034983.shtml ; https://www.cls.cn/detail/1257171 ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; docs/peer-group-calibration/a-share-rare-small-metals-remaining.md ; data/companies/601958_金钼股份/README.md,attention_class_migration:2026-09-07:601958:73ca54,none_recommendation_only
603556,海兴电力,boundary_pending,暂维持移出，原理由需修正,medium,海外 AMI 本地化与长期客户服务不能按国内电表集采一概处理；年报确认海外收入占约三分之二。海外毛利下行需要重视，但同业三至五年可追上缺少实际案例；尚缺存量系统复购和现金回报证据以恢复。,主要国家 AMI 软件/售后复购、老客户续约率和同国同项目竞争,targeted_source_check,S13,https://static.cninfo.com.cn/finalpage/2026-04-21/1225131971.PDF,降 boundary_pending,载体为海外 AMI 渠道与本地化工厂，属渠道锁；2025 海外收入仅 +5%、毛利 −3.4pt，三星医疗/威胜海外快速跟进，同业 3-5 年可追上；十年 ROE 中位 12.6、近三年 15.7→10.1 低于威胜信息/炬华，无超额回报。,data/interim/moat_audit_2026-09-07/batch_08_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/603556_海兴电力/README.md ; data/archive/completed-queues/evidence_review_log.md ; https://m.xwboo.com/news/detail-243119.html ; https://finance.sina.cn/stock/ssgs/2026-05-27/detail-inhzivfk8378220.d.html ; docs/peer-group-calibration/a-share-instruments.md ; data/raw/financials/2023-12-31.csv..2025-12-31.csv（威胜信息 688100/三星医疗 601567/炬华 300360 ROE）,attention_class_migration:2026-09-07:603556:ae37f4,none_recommendation_only
