security_code,security_name,research_recommendation_before_user_resolution,adopted_attention_class,adopted_action,adopted_reason,review_trigger,previous_migration_decision_id,new_migration_decision_id,evidence_file
300346,南大光电,boundary_pending,boundary_pending,retain_exclusion,MO 源与高纯气体的合成纯化、客户验证不能因十年 ROE 低而被直接否定；2025 年经营现金流约 7.33 亿元也不支持简单归为差现金流企业。但研发、少数股东与各品类利润归属尚未拆清，暂不恢复。,MO 源/特气分部经营资本回报、归属利润及新品验证，不等待单纯股价上涨,attention_class_migration:2026-09-07:300346:3077b9,,final_removed_reviews.csv
300360,炬华科技,boundary_pending,boundary_pending,retain_exclusion,国网可比资质供货商众多，招标份额本身没有排他性；当前材料缺少与电表同行拉开的持续成本、软件或客户锁定优势。高现金利息不能代替核心产品回报。,核心计量业务独立成本差或持续复购软件收入证据,attention_class_migration:2026-09-07:300360:7d94da,,final_removed_reviews.csv
300435,中泰股份,boundary_pending,boundary_pending,retain_exclusion,深冷设备的工程能力值得记录，但仅靠领先自述和通用资质不足以证明难复制；城燃及减值拖累使公司层面可持续盈利载体更不清晰。,特定高端换热器认证/份额/利润证据，城燃资产风险隔离,attention_class_migration:2026-09-07:300435:3738db,,final_removed_reviews.csv
300476,胜宏科技,boundary_pending,boundary_pending,retain_exclusion,HDI 与沪电主力高多层板并非完全同工序；扩产需要资本不等于良率可用钱即时复制。最新年报确认高端产品布局，跨代良率、客户替换及扩产后回报仍缺独立验证，先保持边界。,连续产品代际的量产良率、实际认证替换和扩产现金回报,attention_class_migration:2026-09-07:300476:522632,,final_removed_reviews.csv
300573,兴齐眼药,boundary_pending,boundary_pending,retain_exclusion,阿托品首证窗口缺少已证实的长期排他保护，竞争申请已进入审评，暂不按独家长期利润入池。但申请受理不等于获批，也不证明临床和渠道能立即复制；旧判确定性过强。,监管批准、适应症/浓度、专利期、眼科渠道复购与竞争后价格,attention_class_migration:2026-09-07:300573:25d7ca,,final_removed_reviews.csv
301498,乖宝宠物,boundary_pending,boundary_pending,retain_exclusion,自有宠粮品牌已有规模，但分散竞争与获客投入使品牌独立拉力尚待验证。凭近期利润弱化不能证明无壁垒；结合当前缺乏持久复购/价格溢价证据，维持边界合理。,同价位复购、自然流量、销售费用后贡献利润及渠道库存,attention_class_migration:2026-09-07:301498:681b6a,,final_removed_reviews.csv
600233,圆通速递,boundary_pending,boundary_pending,retain_exclusion,网络密度有壁垒，极兔通过收购进入并不等于绿地重建网络。更合理的移出依据是圆通尚缺持续领先同行的单票成本/产品溢价；在同质竞争中仅占据网络席位不足以入池。,剔除派费口径变化后的单票成本差、航空网络变现与现金回报,attention_class_migration:2026-09-07:600233:0c5e84,,final_removed_reviews.csv
600919,江苏银行,boundary_pending,boundary_pending,retain_exclusion,江苏银行属于国内系统重要性银行，不能写成不是系统重要性银行。监管身份也不自动赋予池内代表资格；现有多年经营比较尚不足以进入招行/宁波/成都所代表的最优经营梯队，按当前精选口径暂留池外。,同口径多年负债成本、信贷损失与资本回报；明确系统重要性代表范围,attention_class_migration:2026-09-07:600919:2c3924,,final_removed_reviews.csv
600988,赤峰黄金,boundary_pending,boundary_pending,retain_exclusion,2026H1 自产金营业成本 383.44 元/克、全维持成本 481.45 元/克且同比上升，不支持原来的低成本矿山断言。不能混用其他金企营业成本与本公司的全维持成本，也不采用未经同口径证明的全球排名。,并购完成及权益归属、同口径矿山成本/储量和稳定运营记录,attention_class_migration:2026-09-07:600988:1e5afb,,final_removed_reviews.csv
601872,招商轮船,boundary_pending,boundary_pending,retain_exclusion,船队规模与长协有价值，但船舶可购、运价市场化、国油国运非公司专享；尚缺不可复制航线/成本优势及高于同行的长期合同回报。维持边界并非否认所有航运企业有壁垒。,长协真实资本回报、独占准入和低运价期相对盈利证据,attention_class_migration:2026-09-07:601872:2d1380,,final_removed_reviews.csv
601958,金钼股份,boundary_pending,boundary_pending,retain_exclusion,天然矿体稀缺不要求另有行政配额；原文把无配额记作缺一项是规则误读。矿体和全球钼销量地位得到年报支持，但纯自有矿成本与贸易/深加工分部混杂，成本曲线位置尚不足以确认。,自有矿单位现金/全维持成本及副产品抵扣，核对可采储量口径,attention_class_migration:2026-09-07:601958:73ca54,,final_removed_reviews.csv
603556,海兴电力,boundary_pending,boundary_pending,retain_exclusion,海外 AMI 本地化与长期客户服务不能按国内电表集采一概处理；年报确认海外收入占约三分之二。海外毛利下行需要重视，但同业三至五年可追上缺少实际案例；尚缺存量系统复购和现金回报证据以恢复。,主要国家 AMI 软件/售后复购、老客户续约率和同国同项目竞争,attention_class_migration:2026-09-07:603556:ae37f4,,final_removed_reviews.csv
603605,珀莱雅,boundary_pending,boundary_pending,retain_exclusion,品类高毛利不等于品牌拉力；主品牌、扣非与回款变化使费用后持久溢价仍存疑，前次恢复论证不足。非经常净差额5.037亿元不等于单项重估4.454亿元。,同价格带复购、自然流量、获客费用后利润，不仅是收入转正,attention_class_migration:2026-09-07:603605:9809de,,final_removed_reviews.csv
603979,金诚信,boundary_pending,boundary_pending,retain_exclusion,矿服需要工程经验，矿主有钱并不证明可快速自建同等队伍；天然铜矿也无需行政配额才稀缺。矿服与新矿投产不能用旧公司 ROE 混判，但矿山稳定成本和归属权益证据仍需补齐。,分矿可采储量、回收率、稳定全维持成本及矿服续约利润,attention_class_migration:2026-09-07:603979:ae1796,,final_removed_reviews.csv
688100,威胜信息,boundary_pending,boundary_pending,retain_exclusion,采集终端、通信模块和芯片层需分开；中标第一不构成招标排他。现有材料不足以证明芯片/IP或系统安装形成独立于集采资格的持续锁定，暂不恢复。,自有芯片/IP利润、终端客户替换成本与非招标复购收入,attention_class_migration:2026-09-07:688100:8ce195,,final_removed_reviews.csv
688256,寒武纪,boundary_pending,boundary_pending,retain_exclusion,国产 AI 芯片技术与软件生态应单独研究，历史亏损不能一票否决。当前仍缺跨客户迁移、软件生态和持续交付经济性的充分证据；旧份额数据还存在 1160万/1.65亿却写约3%的算术矛盾，该数字作废。,可复核的客户结构、软件迁移成本、供应保障与扣非现金回报,attention_class_migration:2026-09-07:688256:d0bd60,,final_removed_reviews.csv
688563,航材股份,boundary_pending,boundary_pending,retain_exclusion,2023 年募资 71.091 亿元，净资产由 25.91 亿升至 100.13 亿，同年利润增长；把 ROE 单调下降全解释为独供能力衰退错误。不过多年回款弱与毛利下行仍需拆解，暂不直接恢复。,排除闲置募资后的经营资本回报、军品审价和同口径多年回款,attention_class_migration:2026-09-07:688563:9bfe6e,,final_removed_reviews.csv
688630,芯碁微装,boundary_pending,boundary_pending,retain_exclusion,已有奥宝/Screen 等不等于客户可以无成本替换，更不能把 PCB 直接成像等同普通 PCB 制造。旧材料的全球第一和差现金转换周期同时存在；由于缺少同工序替换及回款验证，暂留边界。,直接成像客户更换设备实例、验收/回款周期及细分工艺利润,attention_class_migration:2026-09-07:688630:03ef44,,final_removed_reviews.csv
688775,影石创新,boundary_pending,boundary_pending,retain_exclusion,大疆已正式推出全景相机，原来近独占产品窗口出现直接挑战；算法与品牌仍有价值，但不足以继续假定难以替代。不能把发布时间倒推成研发只用一年，需用竞争后同价位份额/利润判断。,同价位产品留存、软件生态复购和竞争后稳定经营利润,attention_class_migration:2026-09-07:688775:84223e,,final_removed_reviews.csv
688777,中控技术,worth_attention,worth_attention,restore,用户最终裁定恢复。运行中的流程控制平台、工艺适配、现场可靠性交付及跨行业客户积累形成替换成本；开放协议限制纯接口锁定解释。 核心业务收缩与费用投入、补助减少压低利润；跨行业工程能力仍在，L3保留业务经济性疑点。,核心控制项目客户替换、续用或回款显著恶化；控制产品与非控制业务利润贡献变化；年度经营现金流继续为负或应收及合同资产账龄恶化时复核。,attention_class_migration:2026-09-07:688777:ef0809,attention_class_migration:2026-09-07:688777:final_user_resolution,user_resolution.json
689009,九号公司,boundary_pending,boundary_pending,retain_exclusion,高端两轮车是与爱玛不同的价格带；公司整体毛利不能与同行整车毛利混比，历史滑板车业务 ROE 也不等于当前两轮车回报。品牌溢价是否覆盖获客费用及跨周期持续，证据尚不足。,两轮车分部毛利/费用、同价位复购与品牌溢价持续性,attention_class_migration:2026-09-07:689009:ce8a5e,,final_removed_reviews.csv
920394,民士达,worth_attention,worth_attention,restore,用户最终裁定恢复。芳纶纸分散、成形和整饰工艺及电气绝缘、航空蜂窝客户应用；泰和的优先供应及纤维外售安排承诺加强原料优势归属。 原料高度依赖关联方及杜邦竞争压力；承诺并非上游资产当前所有权，亦不保证永久有利价格。,关联原料定价机制变更、供应及外售承诺履行异常；高端纸同规格客户替换或持续降价；境内收入持续下降伴随份额流失时复核。,attention_class_migration:2026-09-07:920394:c1666e,attention_class_migration:2026-09-07:920394:final_user_resolution,user_resolution.json
920599,同力股份,boundary_pending,worth_attention,restore,用户最终裁定恢复。非公路宽体车重载工况积累、矿区经销及备件服务网络和长期盈利记录；用户采纳保留意见，竞争替代和全寿命成本仍列重点复核。 矿区服务网络的经济保护力仍存研究分歧；竞争者产品接近、电动化及回款是重点路径。具体影响概率待订单和客户数据验证，不将份额追平写成已证实。,同规格车辆全寿命成本、客户复购或替换显示持续劣势；临工产品毛利连续两年不低于同力时复核；电动宽体车实际竞争替代、应收账龄与现金转化恶化时复核。,attention_class_migration:2026-09-07:920599:a01be8,attention_class_migration:2026-09-07:920599:final_user_resolution,user_resolution.json
920982,锦波生物,boundary_pending,boundary_pending,retain_exclusion,巨子生物已取得相邻直接竞争适应症的注射用重组胶原注册证，首证稀缺溢价须重估。不同胶原型别不等于完全同品，剩余专利/医生习惯也未归零；现有证据不足支持继续按独家平台入池。,同适应症竞争后的价格/复购、证书组合与专利保护范围,attention_class_migration:2026-09-07:920982:21f6f7,,final_removed_reviews.csv
