security_code,security_name,current_attention_class,review_outcome,confidence,review_reason,next_hard_evidence,external_check_scope,new_source_ids,new_source_urls,prior_verdict,prior_reason_not_reverified,prior_sources_not_all_reopened,related_migration_decision_id,production_action
000786,北新建材,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为石膏板约六成垄断份额与脱硫石膏＋护面纸锁定的成本曲线最低位（产能 35.6 亿㎡），数十年无有效挑战者；十年 ROE 中位 15.8%，地产下行期毛利仅降 3pt、对照东方雨虹 ROE 归零仍守住 11%。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000786_北新建材/README.md ; docs/peer-group-calibration/a-share-other-building-materials.md ; data/raw/financials/2025-12-31.csv ; https://www.chinabaogao.com/detail/720271.html ; https://finance.sina.com.cn/roll/2025-08-22/doc-infmuxsm8861917.shtml,,none_recommendation_only
000792,盐湖股份,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为察尔汗 3700 km² 采矿权（氯化钾储量占全国 97%、产能占 87%），法定物理独占；十年 ROE 中位仅 2.3% 的结构性原因是镁业项目与 2019-21 破产重整，重整后三年 ROE 14~28% 已恢复超额回报。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000792_盐湖股份/README.md ; docs/peer-group-calibration/a-share-potash-remaining.md ; https://file.finance.qq.com/finance/hs/pdf/2025/03/29/1222951156.PDF ; https://www.chyxx.com/industry/1231545.html ; https://caifuhao.eastmoney.com/news/20260401002437024182530,,none_recommendation_only
000858,五粮液,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为连续使用 650 余年的元明古窖池群（全国重点文保）与浓香第一品牌，资本无法复制；十年 ROE 中位 23.4%、9 年≥15%；2025 年崩塌为渠道周期，毛利 77.5% 未破，载体未被推翻。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000858_五粮液/README.md ; docs/peer-group-calibration/a-share-baijiu.md ; http://art.people.com.cn/n/2013/1014/c206244-23189040.html ; https://thinktank.cnfin.com/jy-sjlb/detail/20240109/3997284_1.html,,none_recommendation_only
000893,亚钾国际,worth_attention,维持关注，成本结论受限,low,矿权与规模有记录；2025 年氯化钾营业成本除销量约 1040 元/吨，提供实际成本证据。该口径不含所有税费/资本支出，不能声称全球最左。暂不因缺全球成本排名移出，须补同市场可比。,含税费/运费/维持资本支出的同口径成本与老挝同行、盐湖及国际矿山比较,targeted_source_check,S28,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12227531,待外部取证,商品三项中稀缺（263 km² 矿权、10 亿吨资源）与规模成立，但成本曲线位置未核实：2024 氯化钾毛利 49.5% 仅「行业中上游」，谷底 ROE 8.2% 低于盐湖 13.6%。待取证事实：吨氯化钾完全成本对盐湖及国际巨头的位置。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000893_亚钾国际/README.md ; docs/peer-group-calibration/a-share-potash-remaining.md ; https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-08-28/f27838a4-df58-4ab6-b1d5-821bd6ff0c34.PDF ; https://pdf.dfcfw.com/pdf/H3_AP202507291717718561_1.pdf ; https://www.21jingji.com/article/20250118/herald/94caf7828c4228d47b6515277921fc8a.html ; https://caifuhao.eastmoney.com/news/20260227094205805669260,,none_recommendation_only
000895,双汇发展,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为火腿肠 37% 份额（2025H1，仍升）的品牌与全国冷链规模，二十年无第二名追上；十年 ROE 中位 27.2%、最低 21.8%、11 年全部≥15%，超额回报持续；品类老化属 Q1 问题非载体破坏。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000895_双汇发展/README.md ; docs/peer-group-calibration/a-share-meat-products.md ; https://t.cj.sina.com.cn/articles/view/7721875497/1cc42782900101gfoo ; https://mtz.china.com/touzi/2025/0430/164378.html,,none_recommendation_only
000933,神火股份,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为 170 万吨电解铝指标（总量控制不可新增，法律锁）叠加新疆自备煤电与云南水电的成本位；指标锁形成后 2021-25 ROE 17~57% 高于云铝/天山，2015-18 低迷属指标制前的河南高成本产能期。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000933_神火股份/README.md ; docs/peer-group-calibration/a-share-aluminum-remaining.md ; data/raw/financials/2025-12-31.csv ; https://news.smm.cn/news/103971795 ; https://news.smm.cn/news/101409229 ; https://www.cls.cn/detail/1306415,,none_recommendation_only
000975,山金国际,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体=高品位矿体带来的成本曲线底部位置：2026H1矿产金单位成本164元/克、分部毛利84%，为赤峰383元/克的43%；东安金矿国内高品位、Osino 2027投产补规模。ROE十年最低4.8%且持续高于中金/山东黄金。,data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000975_山金国际/README.md ; docs/peer-group-calibration/a-share-gold.md ; 东财研报库 太平洋证券 2026-09-06 山金国际点评 AP202609061829079000 ; 东财研报库 国信证券 2026-08-20 山金国际半年报点评 AP202608201828216612 ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,,none_recommendation_only
000999,华润三九,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为 999 感冒灵等 OTC 品牌心智（复方感冒灵零售份额 69%、仍能提价），三十年沉淀同业 3~5 年追不上；十年 ROE 12~18% 无一年低于 12%。配方颗粒牌照锁已随 2021 备案制消失，不再计入载体。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/000999_华润三九/README.md ; docs/peer-group-calibration/a-share-traditional-chinese-medicine.md ; data/raw/financials/2025-12-31.csv ; https://health.baidu.com/m/detail/ar_8889714860910100417 ; https://www.nmpa.gov.cn/directory/web/nmpa/xxgk/fgwj/gzwj/gzwjyp/20211029204631158.html ; https://bg.qianzhan.com/report/detail/300/210721-92de76d6.html,,none_recommendation_only
001232,嘉立创,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为 737 万用户、5593 万设计沉淀的 EDA 生态与半年 1164 万单的拼板规模，SKU 与产能可买但设计沉淀与心智需多年；6 年 ROE 16.9~20.1%、分位≥82，下行期未跌破 15%。载体硬度中等、历史短，置信中。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/001232_嘉立创/README.md ; docs/peer-group-calibration/a-share-electronic-components.md ; https://lceda.cn/ ; https://www.jlcgroup.cn/ ; https://qxb-pdf-osscache.qixin.com/AnBaseinfo/8a3ce132a5b73da0134a1bb57d6d5b79.pdf,,none_recommendation_only
002001,新和成,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为 VA 全球第一（18%）、VE 20% 的寡头成本位与合成平台（蛋氨酸 48 万吨全球第三），同工艺同业浙江医药 ROE 仅其一半；十年 ROE 中位 19.6%、8 年≥15%，谷底年仍高于同业，超额回报持续。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002001_新和成/README.md ; data/raw/financials/2025-12-31.csv ; https://static.cninfo.com.cn/finalpage/2025-05-30/1223733651.PDF ; https://finance.sina.com.cn/wm/2026-05-14/doc-inhxwenm4000589.shtml ; https://finance.sina.com.cn/stock/relnews/cn/2025-04-17/doc-inetnrzr8915271.shtml,,none_recommendation_only
002003,伟星股份,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为品牌客户的辅料认证与小单快反交付（101 亿粒纽扣、6.5 亿米拉链产能），认证需多年审核；11 年毛利 40~42%、ROE 12.3~17.7% 极稳且远高于纺服同业。份额数字缺失、行业分散，置信中。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002003_伟星股份/README.md ; docs/peer-group-calibration/a-share-apparel-accessories.md ; https://file.finance.qq.com/finance/hs/pdf/2025/05/05/1223470978.PDF ; https://stock.hexun.com/2025-03-31/218233414.html ; https://finance.sina.com.cn/jjxw/2024-11-12/doc-incvuxry8249078.shtml,,none_recommendation_only
002027,分众传媒,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为楼宇点位网络+广告主心智（网络效应）：新潮携京东/百度资本挑战十年未盈利，2025 同意被分众收购（交割未完成）。11 年 ROE 中位 30%、分位 96，毛利 70%、OCF/NI 1.48。增长弱属侵蚀非载体破坏。,data/interim/moat_audit_2026-09-07/batch_10_input.json ; data/companies/002027_分众传媒/README.md ; docs/peer-group-calibration/a-share-network-media.md ; https://m.thepaper.cn/newsDetail_forward_30606510 ; https://finance.sina.com.cn/roll/2025-12-31/doc-inhervyx5367444.shtml ; https://finance.sina.com.cn/roll/2026-01-13/doc-inhhchmz9342082.shtml ; https://m.sohu.com/a/1044343207_114984,,none_recommendation_only
002032,苏泊尔,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为炊具与厨房小家电线上线下双第一的品牌心智，加 SEB 母公司作为结构性买方（约半数营收、长期稳定）；11 年 ROE 全部≥21.9%，同品类九阳已跌至 3%，二十年无品牌追上炊具第一，测试过。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002032_苏泊尔/README.md ; docs/peer-group-calibration/a-share-small-appliances.md ; data/raw/financials/2025-12-31.csv ; https://finance.sina.com.cn/wm/2026-04-02/doc-inhtcnfx9405908.shtml ; https://www.fxbaogao.com/detail/5332757,,none_recommendation_only
002050,三花智控,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为四通阀 55.4%、电子膨胀阀 51~55% 的全球过半份额与汽车热管理认证锁，数十年精密制造与客户认证积累不可速成；11 年 ROE 全部≥15%、毛利比阀件第二盾安高 10pt，定价权与超额回报同时成立。,data/interim/moat_audit_2026-09-07/batch_02_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002050_三花智控/README.md ; docs/peer-group-calibration/a-share-refrigeration-ac-equipment.md ; data/raw/financials/2025-12-31.csv ; https://file.finance.qq.com/finance/hs/pdf/2025/08/29/1224613304.PDF ; https://file.finance.qq.com/finance/hs/pdf/2025/03/27/1222913204.PDF,,none_recommendation_only
002128,电投能源,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,"载体=电解铝126.5万吨指标（总量冻结）+6,300万吨露天褐煤坑口自备电一体化：燃料自供、毛利33-37%，ROE中位15.5%、6年≥15%、分位中位80；同池铝企中唯一煤电铝全链自给。",data/interim/moat_audit_2026-09-07/batch_11_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/companies/002128_电投能源/README.md ; docs/peer-group-calibration/a-share-aluminum-remaining.md ; docs/peer-group-calibration/a-share-coal-mining.md ; 东财 F10 经营分析/核心题材（emweb.securities.eastmoney.com/PC_HSF10，2026H1 经营评述与 2025 分部）,,none_recommendation_only
002138,顺络电子,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,片式电感产销量国内第一、全球前三连续多年，01005/008004国内龙头；风华/麦捷二十年未追上。十年ROE中位11.6%平庸，原因为被动元件重资本扩产，与村田/TDK同量级，2024-25分位87/92回升。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://news.qq.com/rain/a/20240417A01QN200 ; https://zhuanlan.zhihu.com/p/1933558830274426283 ; https://t.qianzhan.com/caijing/detail/250909-e01e4536.html,,none_recommendation_only
002142,宁波银行,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,载体为长三角小微/民营客群与风控体系：连续19年不良率<1%（A股唯一）、2025不良0.76%、拨备373%；十年ROE中位16.6%为本批银行最高、10年门类分位≥80，满足十年franchise最优判据，复制测试通过。,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-01-21/ae9938f0-763a-4414-8a02-ec47a12808fa.PDF ; https://finance.cctv.com/2026/04/27/ARTIxgzJ0WHJdTWEwKdu8zet260427.shtml ; https://quote.cfi.cn/ybdata.aspx?id=20260426000492 ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; docs/peer-group-calibration/a-share-bank.md ; data/companies/002142_宁波银行/README.md,,none_recommendation_only
002179,中航光电,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,防务连接器绝对龙头，型号定型后更换需重新认证3-5年；2025防务毛利约45%、民品25%，液冷连接器国内第一。ROE中位17.7%、10/11年≥15%，2025年9.2%系防务需求阶段放缓与降价。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-03-28/19fbc62c-b5b7-40a8-8469-fe38ae2c331f.PDF ; https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/lastest/rptid/829599828070/index.phtml,,none_recommendation_only
002222,福晶科技,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,LBO全球市占约80%、BBO约50%，全球最大LBO/BBO/Nd:YVO4生产商，源自物构所晶体生长工艺；毛利率55%，2017-25年ROE 14~19%，门类分位升至92。晶体生长良率资金无法速成。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://www.sohu.com/a/1021569810_122014422 ; https://mp.ofweek.com/laser/a445693022936,,none_recommendation_only
002262,恩华药业,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,麻醉/精神类定点生产资质为法律准入锁，7个独家、15个首家品种、29个产品全国市占第一；ROE中位17.4%、最低13.9%、10/11年≥15%，毛利74%。集采扩围至麻精非管制品种压缩利润池，为侵蚀路径而非载体破坏。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; data/archive/completed-queues/evidence_review_log.md#恩华药业（上一轮外部取证：caifuhao.eastmoney.com/news/20260122174536096385480；finance.sina.com.cn/tech/roll/2026-05-10 麻醉赛道变天）,,none_recommendation_only
002270,华明装备,worth_attention,档案层面未发现新增移出依据,not_rerated,已检查原载体、财务摘要及移出规则的一致性；未逐项重新外部尽调。原事实和来源单列，不标记为本轮已验证。,原载体被竞争、客户替换或经营证据证伪时复核,prior_record_logic_only,,,维持,有载分接开关2024年按收入全球第二、国内第一，≤500kV按销量全球约57%，国内份额超80%，与德国MR双寡头；毛利55%，2023-25年ROE 16~22%，2018-19年低谷系数控业务拖累。电网认证与运行数据数十年不可速成。,data/interim/moat_audit_2026-09-07/batch_03_input.json ; data/interim/moat_audit_2026-09-07/quant_evidence.csv ; https://m.rccaijing.com/news-7436673921648883427.html ; https://www.yicai.com/news/102878394.html ; https://www.huaon.com/channel/trend/1077357.html,,none_recommendation_only
