section,a_code,name,tier,match_status,h_code,h_name_tencent,h_quote_time,a_price_document_cny,v_document_cny,v_date_document,fx_cny_per_hkd,h_price_hkd,h_price_cny,fair_price_hkd,a_pv_document,h_pv_using_document_v,discount_to_document_v,discount_to_A,h_price_etnet,hkex_name,comment
core,000538,云南白药,L1,not_matched_in_AH_roster,,,,51.32,35.95,2026-08-29,,,,,1.427,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603505,金石资源,L1,not_matched_in_AH_roster,,,,15.42,5.87,2026-08-21,,,,,2.629,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600160,巨化股份,L1,not_matched_in_AH_roster,,,,34.61,14.61,2026-08-26,,,,,2.369,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600406,国电南瑞,L1,not_matched_in_AH_roster,,,,22.23,13.34,2026-08-27,,,,,1.665,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000568,泸州老窖,L2,not_matched_in_AH_roster,,,,71.48,89.03,2026-08-26,,,,,0.803,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300760,迈瑞医疗,L2,not_matched_in_AH_roster,,,,156.68,86.4,2026-08-29,,,,,1.813,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000333,美的集团,L2,same_issuer_HK_listed,00300,美的集团,2026/09/22 16:08:18,82.54,58.7,2026-08-29,0.85974,96.25,82.74997499999999,68.27645567264523,1.406,1.4097099659284495,-0.40970996592844955,-0.002543918100314846,96.25,MIDEA GROUP,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,603288,海天味业,L2,same_issuer_HK_listed,03288,海天味业,2026/09/22 16:08:18,34.29,13.18,2026-08-27,0.85974,27.22,23.402122799999997,15.330216111847768,2.602,1.7755783611532623,-0.7755783611532623,0.31752339457567813,27.22,HAITIAN FLAV,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,688012,中微公司,L2,not_matched_in_AH_roster,,,,350.06,48.68,2026-08-20,,,,,7.191,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300628,亿联网络,L2,not_matched_in_AH_roster,,,,41.74,20.99,2026-08-19,,,,,1.988,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300124,汇川技术,L2,not_matched_in_AH_roster,,,,54.05,20.18,2026-08-29,,,,,2.678,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002179,中航光电,L2,not_matched_in_AH_roster,,,,35.18,19.16,2026-08-27,,,,,1.837,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002270,华明装备,L2,not_matched_in_AH_roster,,,,18.23,7.41,2026-08-29,,,,,2.461,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,601225,陕西煤业,L2,not_matched_in_AH_roster,,,,26.03,21.53,2026-08-28,,,,,1.209,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603195,公牛集团,L2,not_matched_in_AH_roster,,,,37.99,22.6,2026-08-28,,,,,1.681,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600938,中国海油,L2,same_issuer_HK_listed,00883,中国海洋石油,2026/09/22 16:08:17,33.09,38.4,2026-08-27,0.85974,23.68,20.3586432,44.66466606183265,0.862,0.530173,0.469827,0.38474937443336366,23.68,CNOOC,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,601100,恒立液压,L2,not_matched_in_AH_roster,,,,92.39,23.02,2026-08-25,,,,,4.013,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600563,法拉电子,L2,not_matched_in_AH_roster,,,,124.02,52.68,2026-08-22,,,,,2.354,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,605499,东鹏饮料,L2,same_issuer_HK_listed,09980,东鹏饮料,2026/09/22 16:08:19,115.45,86.81,2026-07-31,0.85974,97.85,84.125559,100.97238700072116,1.33,0.9690768229466651,0.030923177053334916,0.27132473798181034,97.85,EASTROC,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,002594,比亚迪,L2,same_issuer_HK_listed,01211,比亚迪股份,2026/09/22 16:08:18,86.58,72.8,2026-08-29,0.85974,81.35,69.939849,84.6767627422244,1.189,0.9607122115384615,0.039287788461538464,0.19219393624393633,81.35,BYD COMPANY,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,002595,豪迈科技,L2,not_matched_in_AH_roster,,,,39.71,24.43,2026-08-29,,,,,1.626,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600887,伊利股份,L2,not_matched_in_AH_roster,,,,26.77,18.25,2026-08-27,,,,,1.467,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002001,新和成,L2,not_matched_in_AH_roster,,,,26.66,32.45,2026-08-20,,,,,0.821,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002050,三花智控,L2,same_issuer_HK_listed,02050,三花智控,2026/09/22 16:08:18,36.2,15.54,2026-08-27,0.85974,24.78,21.3043572,18.0752320468979,2.33,1.3709367567567567,-0.37093675675675675,0.41148184530386744,24.78,SANHUA,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,002372,伟星新材,L2,not_matched_in_AH_roster,,,,8.18,5.6,2026-08-07,,,,,1.46,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300274,阳光电源,L2,not_matched_in_AH_roster,,,,88.2,83.93,2026-08-29,,,,,1.051,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300896,爱美客,L2,not_matched_in_AH_roster,,,,93.35,63.18,2026-08-21,,,,,1.478,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002262,恩华药业,L2,not_matched_in_AH_roster,,,,21.84,15.03,2026-08-18,,,,,1.453,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000786,北新建材,L2,not_matched_in_AH_roster,,,,16.05,24.73,2026-08-21,,,,,0.649,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000858,五粮液,L2,not_matched_in_AH_roster,,,,70.54,77.5,2026-08-29,,,,,0.91,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000999,华润三九,L2,not_matched_in_AH_roster,,,,23.84,17.81,2026-08-22,,,,,1.339,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002690,美亚光电,L2,not_matched_in_AH_roster,,,,15.59,7.13,2026-08-26,,,,,2.184,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600066,宇通客车,L2,not_matched_in_AH_roster,,,,26.17,9.64,2026-08-11,,,,,2.712,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600885,宏发股份,L2,not_matched_in_AH_roster,,,,33.8,16.91,2026-07-30,,,,,1.998,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688188,柏楚电子,L2,not_matched_in_AH_roster,,,,97.13,37.22,2026-08-18,,,,,2.61,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000423,东阿阿胶,L2,not_matched_in_AH_roster,,,,45.75,32.2,2026-08-21,,,,,1.421,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300408,三环集团,L2,same_issuer_HK_listed,06951,三环集团,2026/09/22 16:08:19,129.48,20.22,2026-08-28,0.85974,133.0,114.34541999999999,23.518738223183753,6.404,5.65506528189911,-4.65506528189911,0.1168873957367933,133.0,CCTC,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,688019,安集科技,L2,not_matched_in_AH_roster,,,,232.88,66.9,2026-08-27,,,,,3.481,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,001232,嘉立创,L2,not_matched_in_AH_roster,,,,197.43,39.55,2026-08-27,,,,,4.991,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300699,光威复材,L2,not_matched_in_AH_roster,,,,23.68,9.43,2026-08-25,,,,,2.512,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688072,拓荆科技,L2,not_matched_in_AH_roster,,,,722.46,95.34,2026-08-21,,,,,7.578,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600298,安琪酵母,L2,not_matched_in_AH_roster,,,,39.42,28.27,2026-08-15,,,,,1.394,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600426,华鲁恒升,L2,not_matched_in_AH_roster,,,,20.4,17.76,2026-08-20,,,,,1.149,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,301589,诺瓦星云,L2,not_matched_in_AH_roster,,,,158.79,100.77,2026-08-22,,,,,1.576,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600600,青岛啤酒,L2,same_issuer_HK_listed,00168,青岛啤酒(五百),2026/09/22 16:08:18,50.15,41.91,2026-08-27,0.85974,39.4,33.873756,48.74729569404704,1.197,0.8082499642090194,0.1917500357909806,0.32455122632103683,39.4,TSINGTAO BR-500,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,601899,紫金矿业,L2,same_issuer_HK_listed,02899,紫金矿业,2026/09/22 16:08:18,31.41,27.61,2026-08-22,0.85974,34.02,29.2483548,32.11436015539582,1.138,1.0593391814559943,-0.05933918145599426,0.06882028653295125,34.02,ZIJIN MINING,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,002415,海康威视,L2,not_matched_in_AH_roster,,,,33.18,17.25,2026-07-25,,,,,1.923,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600690,海尔智家,L2,same_issuer_HK_listed,06690,海尔智家,2026/09/22 16:08:18,20.2,22.66,2026-08-28,0.85974,19.9,17.108825999999997,26.356805545862706,0.892,0.7550232127096204,0.24497678729037964,0.15302841584158433,19.9,HAIER SMARTHOME,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,300832,新产业,L2,not_matched_in_AH_roster,,,,49.47,22.95,2026-08-14,,,,,2.156,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688708,佳驰科技,L2,not_matched_in_AH_roster,,,,40.62,20.77,2026-08-27,,,,,1.956,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300487,蓝晓科技,L2,not_matched_in_AH_roster,,,,69.26,20.73,2026-08-20,,,,,3.342,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688617,惠泰医疗,L2,not_matched_in_AH_roster,,,,243.42,81.23,2026-08-20,,,,,2.997,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002222,福晶科技,L2,not_matched_in_AH_roster,,,,71.15,8.54,2026-08-28,,,,,8.328,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600183,生益科技,L2,not_matched_in_AH_roster,,,,143.45,12.94,2026-08-15,,,,,11.087,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600570,恒生电子,L2,not_matched_in_AH_roster,,,,20.5,6.87,2026-08-26,,,,,2.984,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688301,奕瑞科技,L2,not_matched_in_AH_roster,,,,96.27,31.39,2026-08-14,,,,,3.067,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600276,恒瑞医药,L2,same_issuer_HK_listed,01276,恒瑞医药,2026/09/22 16:08:18,45.72,17.41,2026-08-20,0.85974,47.32,40.682896799999995,20.250308232721522,2.627,2.336754554853532,-1.336754554853532,0.11017286089238854,47.32,HENGRUI PHARMA,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,688082,盛美上海,L2,not_matched_in_AH_roster,,,,288.61,53.05,2026-08-08,,,,,5.44,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002027,分众传媒,L2,not_matched_in_AH_roster,,,,4.75,2.29,2026-08-19,,,,,2.071,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600085,同仁堂,L2,not_matched_in_AH_roster,,,,23.66,15.01,2026-08-31,,,,,1.577,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603067,振华股份,L2,not_matched_in_AH_roster,,,,36.24,13.02,2026-08-28,,,,,2.784,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002352,顺丰控股,L2,same_issuer_HK_listed,06936,顺丰控股,2026/09/22 16:08:18,30.94,27.36,2026-08-29,0.85974,28.88,24.829291199999997,31.82357456905576,1.131,0.9075033333333332,0.09249666666666678,0.19750190045248883,28.88,SF HOLDING,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,603259,药明康德,L2,same_issuer_HK_listed,02359,药明康德,2026/09/22 16:08:18,167.85,77.22,2026-08-04,0.85974,208.0,178.82592,89.81785190871659,2.174,2.31579797979798,-1.31579797979798,-0.06539124218051828,208.0,WUXI APPTEC,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,688200,华峰测控,L2,not_matched_in_AH_roster,,,,389.59,60.7,2026-08-31,,,,,6.418,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000792,盐湖股份,L2,not_matched_in_AH_roster,,,,24.87,22.51,2026-08-26,,,,,1.105,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300470,中密控股,L2,not_matched_in_AH_roster,,,,27.86,18.61,2026-08-25,,,,,1.497,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300811,铂科新材,L2,not_matched_in_AH_roster,,,,86.45,15.77,2026-08-26,,,,,5.485,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600132,重庆啤酒,L2,not_matched_in_AH_roster,,,,38.18,17.78,2026-08-20,,,,,2.147,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688190,云路股份,L2,not_matched_in_AH_roster,,,,73.56,36.8,2026-08-29,,,,,1.999,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600989,宝丰能源,L2,not_matched_in_AH_roster,,,,23.21,25.12,2026-08-13,,,,,0.924,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603338,浙江鼎力,L2,not_matched_in_AH_roster,,,,53.55,48.44,2026-08-28,,,,,1.106,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300357,我武生物,L2,not_matched_in_AH_roster,,,,20.19,8.86,2026-08-28,,,,,2.279,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600309,万华化学,L2,not_matched_in_AH_roster,,,,70.66,65.01,2026-08-25,,,,,1.087,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002032,苏泊尔,L2,not_matched_in_AH_roster,,,,39.3,17.71,2026-08-28,,,,,2.219,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300059,东方财富,L2,not_matched_in_AH_roster,,,,18.77,25.96,2026-08-22,,,,,0.723,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688692,达梦数据,L2,not_matched_in_AH_roster,,,,209.87,63.49,2026-08-26,,,,,3.305,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300685,艾德生物,L2,not_matched_in_AH_roster,,,,19.93,10.46,2026-08-25,,,,,1.905,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300033,同花顺,L2,not_matched_in_AH_roster,,,,210.37,44.62,2026-08-22,,,,,4.714,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300866,安克创新,L2,same_issuer_HK_listed,00668,安克创新,2026/09/22 16:08:18,123.9,70.62,2026-08-31,0.85974,116.5,100.15970999999999,82.14111242933912,1.754,1.418290994052676,-0.418290994052676,0.19160847457627128,116.5,ANKER,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,601965,中国汽研,L2,not_matched_in_AH_roster,,,,12.99,12.8,2026-08-26,,,,,1.015,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,920599,同力股份,L2,not_matched_in_AH_roster,,,,17.17,22.14,2026-08-25,,,,,0.775,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688018,乐鑫科技,L2,not_matched_in_AH_roster,,,,123.6,34.75,2026-07-31,,,,,3.556,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600803,新奥股份,L2,not_matched_in_AH_roster,,,,18.63,16.99,2026-08-29,,,,,1.097,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002463,沪电股份,L2,not_matched_in_AH_roster,,,,125.14,20.67,2026-08-26,,,,,6.054,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002568,百润股份,L2,not_matched_in_AH_roster,,,,18.29,8.53,2026-08-05,,,,,2.145,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600176,中国巨石,L2,not_matched_in_AH_roster,,,,45.47,12.59,2026-08-21,,,,,3.611,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603508,思维列控,L2,not_matched_in_AH_roster,,,,21.0,15.73,2026-08-08,,,,,1.335,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603993,洛阳钼业,L2,same_issuer_HK_listed,03993,洛阳钼业,2026/09/22 16:08:18,17.81,10.69,2026-08-20,0.85974,15.71,13.5065154,12.433991671900808,1.667,1.2634719738072966,-0.2634719738072966,0.2416330488489612,15.71,CMOC,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,002916,深南电路,L2,not_matched_in_AH_roster,,,,400.0,89.44,2026-08-27,,,,,4.472,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300910,瑞丰新材,L2,not_matched_in_AH_roster,,,,28.22,30.04,2026-08-26,,,,,0.939,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603279,景津装备,L2,not_matched_in_AH_roster,,,,11.18,17.07,2026-08-26,,,,,0.655,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688300,联瑞新材,L2,not_matched_in_AH_roster,,,,177.21,12.94,2026-08-15,,,,,13.695,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,688278,特宝生物,L2,not_matched_in_AH_roster,,,,52.14,36.52,2026-08-19,,,,,1.428,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002128,电投能源,L2,not_matched_in_AH_roster,,,,28.24,27.73,2026-08-26,,,,,1.018,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002138,顺络电子,L2,not_matched_in_AH_roster,,,,54.35,16.73,2026-07-31,,,,,3.248,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600970,中材国际,L2,not_matched_in_AH_roster,,,,7.6,14.74,2026-08-26,,,,,0.516,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600486,扬农化工,L2,not_matched_in_AH_roster,,,,52.96,38.11,2026-08-25,,,,,1.39,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603596,伯特利,L2,not_matched_in_AH_roster,,,,29.15,21.76,2026-08-28,,,,,1.34,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300394,天孚通信,L2,not_matched_in_AH_roster,,,,275.84,15.82,2026-08-19,,,,,17.434,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000651,格力电器,L2,not_matched_in_AH_roster,,,,38.18,66.61,2026-08-27,,,,,0.573,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002475,立讯精密,L2,same_issuer_HK_listed,02475,立讯精密,2026/09/22 16:08:18,54.84,34.36,2026-08-25,0.85974,60.25,51.799335,39.96557098657734,1.596,1.5075475844004658,-0.5075475844004658,0.05544611597374183,60.25,LUXSHARE ICT,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,002920,德赛西威,L2,not_matched_in_AH_roster,,,,84.71,63.0,2026-08-14,,,,,1.345,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600993,马应龙,L2,not_matched_in_AH_roster,,,,22.55,17.27,2026-08-26,,,,,1.306,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603129,春风动力,L2,not_matched_in_AH_roster,,,,306.36,142.28,2026-08-18,,,,,2.153,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,920394,民士达,L2,not_matched_in_AH_roster,,,,50.33,11.77,2026-08-20,,,,,4.275,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,000338,潍柴动力,L2,same_issuer_HK_listed,02338,潍柴动力,2026/09/22 16:08:18,27.03,20.44,2026-08-28,0.85974,31.06,26.703524399999996,23.774629539163005,1.323,1.3064346575342463,-0.30643465753424626,0.012078268590455243,31.06,WEICHAI POWER,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,300661,圣邦股份,L2,same_issuer_HK_listed,03661,圣邦股份,2026/09/22 16:08:18,121.68,20.62,2026-08-29,0.85974,95.9,82.449066,23.983995161327847,5.903,3.998499806013579,-2.998499806013579,0.3224107001972387,95.9,SG MICRO,沿用文档V的条件换算，非独立港股估值；未调整税费、除息日差异及港股折现率
core,600285,羚锐制药,L2,not_matched_in_AH_roster,,,,19.1,10.84,2026-08-12,,,,,1.762,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600750,华润江中,L2,not_matched_in_AH_roster,,,,22.32,11.14,2026-08-22,,,,,2.002,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,300627,华测导航,L2,not_matched_in_AH_roster,,,,26.83,10.66,2026-08-14,,,,,2.517,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,600007,中国国贸,L2,not_matched_in_AH_roster,,,,19.66,14.55,2026-08-31,,,,,1.351,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,603855,华荣股份,L2,not_matched_in_AH_roster,,,,16.8,12.52,2026-08-27,,,,,1.342,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
core,002409,雅克科技,L2,not_matched_in_AH_roster,,,,135.5,19.99,2026-08-26,,,,,6.778,,,,,,未匹配不等于没有关联港股；仅递表、计划上市、不同主体不代入A股每股V
